matching_tolerance,direction,chemical_system,row_n,rank_within_direction,total_changed_rows
tight,lost_vs_default,F-H-Sb,1,141,925
tight,lost_vs_default,F-Hg-K-Tl,1,142,925
tight,lost_vs_default,F-I,1,143,925
tight,lost_vs_default,F-I-Sb,1,144,925
tight,lost_vs_default,F-In-K-Sc,1,145,925
tight,lost_vs_default,F-K-Lu,1,146,925
tight,lost_vs_default,F-K-Mn,1,147,925
tight,lost_vs_default,Hf-Pt-Zn,1,148,925
tight,lost_vs_default,F-K-Pd-Tl,1,149,925
tight,lost_vs_default,F-Li-Nb,1,150,925
tight,lost_vs_default,F-Li-Ta,1,151,925
tight,lost_vs_default,F-Li-Zr,1,152,925
tight,lost_vs_default,F-Lu-O-Se,1,153,925
tight,lost_vs_default,F-Mg-Mn,1,154,925
tight,lost_vs_default,F-Mn-Rb,1,155,925
tight,lost_vs_default,F-Mo-Na,1,156,925
tight,lost_vs_default,F-K-Nb-Rb,1,157,925
tight,lost_vs_default,Eu-F-Rb,1,158,925
tight,lost_vs_default,Eu-Ga,1,159,925
tight,lost_vs_default,Eu-Ge,1,160,925
tight,lost_vs_default,Eu-K-O-Sn,1,161,925
tight,lost_vs_default,Eu-Mg,1,162,925
tight,lost_vs_default,Eu-Na-O-Pr-W,1,163,925
tight,lost_vs_default,Eu-Na-O-Sr-W,1,164,925
tight,lost_vs_default,Eu-Na-O-W,1,165,925
tight,lost_vs_default,F-H-K,1,166,925
tight,lost_vs_default,Eu-O-Ta-Y,1,167,925
tight,lost_vs_default,F,1,168,925
tight,lost_vs_default,F-Fe-Li-O,1,169,925
tight,lost_vs_default,F-Fe-Li-O-P,1,170,925
tight,lost_vs_default,F-Fe-Li-O-S,1,171,925
tight,lost_vs_default,F-Fe-O-S,1,172,925
tight,lost_vs_default,F-Gd-Rb,1,173,925
tight,lost_vs_default,F-Ge,1,174,925
tight,lost_vs_default,Eu-O-Ta-Tb,1,175,925
tight,lost_vs_default,F-Sc-Tl,1,176,925
tight,lost_vs_default,F-Ti,1,177,925
tight,lost_vs_default,F-Yb,1,178,925
tight,lost_vs_default,F-Yb-Zr,1,179,925
tight,lost_vs_default,Fe-Ga,1,180,925
tight,lost_vs_default,Fe-Ge-Y,1,181,925
tight,lost_vs_default,Fe-Li-Nb-O-Te,1,182,925
tight,lost_vs_default,Fe-Li-Ni-O,1,183,925
tight,lost_vs_default,F-Mo-Zn,1,184,925
tight,lost_vs_default,Fe-Li-O-Sb-W,1,185,925
tight,lost_vs_default,Fe-Li-O-Si,1,186,925
tight,lost_vs_default,Fe-Li-O-Te-W,1,187,925
tight,lost_vs_default,Fe-Mg-N,1,188,925
tight,lost_vs_default,Fe-Mn,1,189,925
tight,lost_vs_default,Fe-Mo-O-Rb,1,190,925
tight,lost_vs_default,Fe-Ni-Se,1,191,925
tight,lost_vs_default,Fe-O-Sn,1,192,925
tight,lost_vs_default,Fe-Li-O,1,193,925
tight,lost_vs_default,F-N-O-Sb,1,194,925
tight,lost_vs_default,F-Na-Yb,1,195,925
tight,lost_vs_default,F-Nb-O,1,196,925
tight,lost_vs_default,F-Nb-Rb,1,197,925
