matching_tolerance,direction,chemical_system,row_n,rank_within_direction,total_changed_rows
tight,lost_vs_default,Au-Cu,1,528,925
tight,lost_vs_default,Au-Dy-Li,1,529,925
tight,lost_vs_default,Au-Bi-Yb,1,530,925
tight,lost_vs_default,Al-Cu-Tb,1,531,925
tight,lost_vs_default,Al-F-In-K,1,532,925
tight,lost_vs_default,Al-F-Li-O-P,1,533,925
tight,lost_vs_default,Al-H-O-Si,1,534,925
tight,lost_vs_default,Al-H-Rb,1,535,925
tight,lost_vs_default,Al-I-Rb-Tl,1,536,925
tight,lost_vs_default,Al-I-Sb,1,537,925
tight,lost_vs_default,Al-Li-Mg,1,538,925
tight,lost_vs_default,Al-Mg-Na,1,539,925
tight,lost_vs_default,Al-Mo-O-Tl,1,540,925
tight,lost_vs_default,As-Cs-I-Rb,1,541,925
tight,lost_vs_default,Al-Pt-Sc,1,542,925
tight,lost_vs_default,As,1,543,925
tight,lost_vs_default,As-Au-O,1,544,925
tight,lost_vs_default,As-Br-K-Na,1,545,925
tight,lost_vs_default,As-Br-K-Tl,1,546,925
tight,lost_vs_default,As-Ca,1,547,925
tight,lost_vs_default,As-Ca-Ni,1,548,925
tight,lost_vs_default,As-Cl-Hg-K,1,549,925
tight,lost_vs_default,As-Cl-K-Rb,1,550,925
tight,lost_vs_default,As-Cl-K-Tl,1,551,925
tight,lost_vs_default,Al-O,1,552,925
tight,lost_vs_default,Cr-F-Mg,1,553,925
tight,lost_vs_default,Cr-F-Na,1,554,925
tight,lost_vs_default,Cr-F-Nb,1,555,925
tight,lost_vs_default,Cr-F-O,1,556,925
tight,lost_vs_default,Cr-F-Rb-Tl,1,557,925
tight,lost_vs_default,Cr-Hg-S,1,558,925
tight,lost_vs_default,Cr-K-O,1,559,925
tight,lost_vs_default,Cr-La-Mn-O,1,560,925
tight,lost_vs_default,Cr-Li-Nb-O-W,1,561,925
tight,lost_vs_default,Br-In-Yb,1,562,925
tight,lost_vs_default,Cr-Li-O-Sb-W,1,563,925
tight,lost_vs_default,Cr-Li-O-W,1,564,925
tight,lost_vs_default,Cr-Mn-O,1,565,925
tight,lost_vs_default,Cr-Na-O,1,566,925
tight,lost_vs_default,Cr-Rb-S,1,567,925
tight,lost_vs_default,Cs-Cu-F-Ni,1,568,925
tight,lost_vs_default,Cs-F-Ga-In,1,569,925
tight,lost_vs_default,Cs-F-Rb-Sc,1,570,925
