matching_tolerance,support,threshold_meV_per_atom,endpoint_a,endpoint_b,n,switch_n,switch_rate
tight,D2_tolerance_specific,0,mp_source_coordinate,alexmp20_source_coordinate,35877,4155,0.11581235889288402
tight,D2_tolerance_specific,0,mp_source_coordinate,alex_pbe_source_coordinate,35877,5534,0.15424924046046212
tight,D2_tolerance_specific,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,35877,3729,0.10393845639267497
tight,Mphys_tolerance_specific,0,mp_source_coordinate,alexmp20_source_coordinate,35745,4129,0.11551265911316268
tight,Mphys_tolerance_specific,0,mp_source_coordinate,alex_pbe_source_coordinate,35745,5517,0.15434326479227864
tight,Mphys_tolerance_specific,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,35745,3714,0.1039026437263953
default,D2_tolerance_specific,0,mp_source_coordinate,alexmp20_source_coordinate,36802,4244,0.1153198195750231
default,D2_tolerance_specific,0,mp_source_coordinate,alex_pbe_source_coordinate,36802,5666,0.1539590239660888
default,D2_tolerance_specific,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,36802,3862,0.10493994891581979
default,Mphys_tolerance_specific,0,mp_source_coordinate,alexmp20_source_coordinate,36650,4215,0.1150068212824011
default,Mphys_tolerance_specific,0,mp_source_coordinate,alex_pbe_source_coordinate,36650,5645,0.15402455661664394
default,Mphys_tolerance_specific,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,3842,0.10482946793997272
loose,D2_tolerance_specific,0,mp_source_coordinate,alexmp20_source_coordinate,36802,4244,0.1153198195750231
loose,D2_tolerance_specific,0,mp_source_coordinate,alex_pbe_source_coordinate,36802,5666,0.1539590239660888
loose,D2_tolerance_specific,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,36802,3862,0.10493994891581979
loose,Mphys_tolerance_specific,0,mp_source_coordinate,alexmp20_source_coordinate,36650,4215,0.1150068212824011
loose,Mphys_tolerance_specific,0,mp_source_coordinate,alex_pbe_source_coordinate,36650,5645,0.15402455661664394
loose,Mphys_tolerance_specific,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,3842,0.10482946793997272
