matching_tolerance,d1_frozen_n,d1_structure_available_n,d1_retained_n,d1_lost_vs_default_n,d1_gained_vs_default_n,d2_frozen_n,d2_official_structure_available_n,d2_retained_n,d2_lost_vs_default_n,d2_gained_vs_default_n,mphys_tolerance_specific_n,equivalence_class_n,non_singleton_equivalence_class_n,largest_equivalence_class_n,failed_equivalence_pair_comparisons,cross_source_estimand,ranking_recomputed_with_tolerance_specific_equivalence_exclusions,default_ranking_max_abs_difference_vs_primary,default_ranking_reproduction_verified
tight,43139,43139,42799,340,0,36802,36802,35877,925,0,35745,35746,918,6,0,survival of frozen D1/D2 mappings; no search for new loose matches,True,,
default,43139,43139,43139,0,0,36802,36802,36802,0,0,36650,35740,922,6,0,survival of frozen D1/D2 mappings; no search for new loose matches,True,0.0,True
loose,43139,43139,43139,0,0,36802,36802,36802,0,0,36650,35449,1155,6,0,survival of frozen D1/D2 mappings; no search for new loose matches,True,,
