matching_tolerance,support_n,model_name,coordinate_endpoint,positive_n,positive_rate,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
tight,35745,ALIGNN-FF,mp_source_coordinate,14859,0.41569450272765424,1000,0.387525018056,999,716,1,1,1,717.0,0.717,717,717,0.717,0.717,717,717,0.717,0.717,0.95,12
tight,35745,ALIGNN-FF,alexmp20_source_coordinate,13158,0.36810742761225346,1000,0.387525018056,999,620,1,1,1,621.0,0.621,621,621,0.621,0.621,621,621,0.621,0.621,0.95,12
tight,35745,ALIGNN-FF,alex_pbe_source_coordinate,11978,0.3350958175968667,1000,0.387525018056,999,553,1,1,1,554.0,0.554,554,554,0.554,0.554,554,554,0.554,0.554,0.95,12
tight,35745,ALIGNN-FF,mp_matched_pool_coordinate,17585,0.4919569170513359,1000,0.387525018056,999,933,1,1,1,934.0,0.934,934,934,0.934,0.934,934,934,0.934,0.934,0.95,12
tight,35745,ALIGNN-FF,alex_pbe_matched_pool_coordinate,19628,0.5491117638830606,1000,0.387525018056,999,974,1,1,1,975.0,0.975,975,975,0.975,0.975,975,975,0.975,0.975,0.95,12
tight,35745,CHGNet,mp_source_coordinate,14859,0.41569450272765424,1000,0.320073604584,999,734,1,0,1,734.0,0.734,734,734,0.734,0.734,734,734,0.734,0.734,0.95,12
tight,35745,CHGNet,alexmp20_source_coordinate,13158,0.36810742761225346,1000,0.320073604584,999,653,1,0,1,653.0,0.653,653,653,0.653,0.653,653,653,0.653,0.653,0.95,12
tight,35745,CHGNet,alex_pbe_source_coordinate,11978,0.3350958175968667,1000,0.320073604584,999,577,1,0,1,577.0,0.577,577,577,0.577,0.577,577,577,0.577,0.577,0.95,12
tight,35745,CHGNet,mp_matched_pool_coordinate,17585,0.4919569170513359,1000,0.320073604584,999,969,1,1,1,970.0,0.97,970,970,0.97,0.97,970,970,0.97,0.97,0.95,12
tight,35745,CHGNet,alex_pbe_matched_pool_coordinate,19628,0.5491117638830606,1000,0.320073604584,999,998,1,1,1,999.0,0.999,999,999,0.999,0.999,999,999,0.999,0.999,0.95,12
tight,35745,M3GNet,mp_source_coordinate,14859,0.41569450272765424,1000,0.313223361969,999,757,1,1,1,758.0,0.758,758,758,0.758,0.758,758,758,0.758,0.758,0.95,12
tight,35745,M3GNet,alexmp20_source_coordinate,13158,0.36810742761225346,1000,0.313223361969,999,685,1,1,1,686.0,0.686,686,686,0.686,0.686,686,686,0.686,0.686,0.95,12
tight,35745,M3GNet,alex_pbe_source_coordinate,11978,0.3350958175968667,1000,0.313223361969,999,606,1,1,1,607.0,0.607,607,607,0.607,0.607,607,607,0.607,0.607,0.95,12
tight,35745,M3GNet,mp_matched_pool_coordinate,17585,0.4919569170513359,1000,0.313223361969,999,971,1,1,1,972.0,0.972,972,972,0.972,0.972,972,972,0.972,0.972,0.95,12
tight,35745,M3GNet,alex_pbe_matched_pool_coordinate,19628,0.5491117638830606,1000,0.313223361969,999,998,1,1,1,999.0,0.999,999,999,0.999,0.999,999,999,0.999,0.999,0.95,12
tight,35745,MACE-MP,mp_source_coordinate,14859,0.41569450272765424,1000,0.288669798109,999,763,1,1,1,764.0,0.764,764,764,0.764,0.764,764,764,0.764,0.764,0.95,12
tight,35745,MACE-MP,alexmp20_source_coordinate,13158,0.36810742761225346,1000,0.288669798109,999,677,1,0,1,677.0,0.677,677,677,0.677,0.677,677,677,0.677,0.677,0.95,12
tight,35745,MACE-MP,alex_pbe_source_coordinate,11978,0.3350958175968667,1000,0.288669798109,999,602,1,0,1,602.0,0.602,602,602,0.602,0.602,602,602,0.602,0.602,0.95,12
tight,35745,MACE-MP,mp_matched_pool_coordinate,17585,0.4919569170513359,1000,0.288669798109,999,970,1,1,1,971.0,0.971,971,971,0.971,0.971,971,971,0.971,0.971,0.95,12
tight,35745,MACE-MP,alex_pbe_matched_pool_coordinate,19628,0.5491117638830606,1000,0.288669798109,999,995,1,1,1,996.0,0.996,996,996,0.996,0.996,996,996,0.996,0.996,0.95,12
default,36650,ALIGNN-FF,mp_source_coordinate,15001,0.4093042291950887,1000,0.39319832325,999,709,1,1,1,710.0,0.71,710,710,0.71,0.71,710,710,0.71,0.71,0.95,12
default,36650,ALIGNN-FF,alexmp20_source_coordinate,13266,0.36196452933151435,1000,0.39319832325,999,614,1,1,1,615.0,0.615,615,615,0.615,0.615,615,615,0.615,0.615,0.95,12
default,36650,ALIGNN-FF,alex_pbe_source_coordinate,12148,0.3314597544338336,1000,0.39319832325,999,553,1,1,1,554.0,0.554,554,554,0.554,0.554,554,554,0.554,0.554,0.95,12
default,36650,ALIGNN-FF,mp_matched_pool_coordinate,17844,0.48687585266030015,1000,0.39319832325,999,928,1,1,1,929.0,0.929,929,929,0.929,0.929,929,929,0.929,0.929,0.95,12
default,36650,ALIGNN-FF,alex_pbe_matched_pool_coordinate,19985,0.545293315143247,1000,0.39319832325,999,972,1,1,1,973.0,0.973,973,973,0.973,0.973,973,973,0.973,0.973,0.95,12
default,36650,CHGNet,mp_source_coordinate,15001,0.4093042291950887,1000,0.328830438502,999,729,1,0,1,729.0,0.729,729,729,0.729,0.729,729,729,0.729,0.729,0.95,12
default,36650,CHGNet,alexmp20_source_coordinate,13266,0.36196452933151435,1000,0.328830438502,999,645,1,0,1,645.0,0.645,645,645,0.645,0.645,645,645,0.645,0.645,0.95,12
default,36650,CHGNet,alex_pbe_source_coordinate,12148,0.3314597544338336,1000,0.328830438502,999,575,1,1,1,576.0,0.576,576,576,0.576,0.576,576,576,0.576,0.576,0.95,12
default,36650,CHGNet,mp_matched_pool_coordinate,17844,0.48687585266030015,1000,0.328830438502,999,969,1,1,1,970.0,0.97,970,970,0.97,0.97,970,970,0.97,0.97,0.95,12
default,36650,CHGNet,alex_pbe_matched_pool_coordinate,19985,0.545293315143247,1000,0.328830438502,999,999,1,1,1,1000.0,1.0,1000,1000,1.0,1.0,1000,1000,1.0,1.0,0.95,12
default,36650,M3GNet,mp_source_coordinate,15001,0.4093042291950887,1000,0.320195028517,999,753,1,1,1,754.0,0.754,754,754,0.754,0.754,754,754,0.754,0.754,0.95,12
default,36650,M3GNet,alexmp20_source_coordinate,13266,0.36196452933151435,1000,0.320195028517,999,676,1,1,1,677.0,0.677,677,677,0.677,0.677,677,677,0.677,0.677,0.95,12
default,36650,M3GNet,alex_pbe_source_coordinate,12148,0.3314597544338336,1000,0.320195028517,999,604,1,1,1,605.0,0.605,605,605,0.605,0.605,605,605,0.605,0.605,0.95,12
default,36650,M3GNet,mp_matched_pool_coordinate,17844,0.48687585266030015,1000,0.320195028517,999,972,1,1,1,973.0,0.973,973,973,0.973,0.973,973,973,0.973,0.973,0.95,12
default,36650,M3GNet,alex_pbe_matched_pool_coordinate,19985,0.545293315143247,1000,0.320195028517,999,998,1,1,1,999.0,0.999,999,999,0.999,0.999,999,999,0.999,0.999,0.95,12
default,36650,MACE-MP,mp_source_coordinate,15001,0.4093042291950887,1000,0.293626475334,999,758,1,1,1,759.0,0.759,759,759,0.759,0.759,759,759,0.759,0.759,0.95,12
default,36650,MACE-MP,alexmp20_source_coordinate,13266,0.36196452933151435,1000,0.293626475334,999,666,1,1,1,667.0,0.667,667,667,0.667,0.667,667,667,0.667,0.667,0.95,12
default,36650,MACE-MP,alex_pbe_source_coordinate,12148,0.3314597544338336,1000,0.293626475334,999,597,1,1,1,598.0,0.598,598,598,0.598,0.598,598,598,0.598,0.598,0.95,12
default,36650,MACE-MP,mp_matched_pool_coordinate,17844,0.48687585266030015,1000,0.293626475334,999,969,1,1,1,970.0,0.97,970,970,0.97,0.97,970,970,0.97,0.97,0.95,12
default,36650,MACE-MP,alex_pbe_matched_pool_coordinate,19985,0.545293315143247,1000,0.293626475334,999,995,1,1,1,996.0,0.996,996,996,0.996,0.996,996,996,0.996,0.996,0.95,12
loose,36650,ALIGNN-FF,mp_source_coordinate,15001,0.4093042291950887,1000,0.400606203079,999,690,1,1,1,691.0,0.691,691,691,0.691,0.691,691,691,0.691,0.691,0.95,12
