formula,mid_i,mid_j,e_form_i,e_form_j,mp_ehull_i,mp_ehull_j,alex_ehull_i,alex_ehull_j,delta_e_form,delta_mp_ehull,delta_alex_ehull,mp_agreement,alex_agreement
Ag,mp-8566,mp-989737,0.0,0.010381675000004,0.0,0.010381675000001,0.0072303158333335,0.0,-0.010381675000004,-0.010381675000001,0.0072303158333335,-2.9993368899638995e-15,-0.0176119908333375
Ag3Au,mp-1183137,mp-1183214,-0.061713688749996,-0.061303661249997,0.0,0.000410027499999,0.0014688149999999,0.0,-0.00041002749999900084,-0.000410027499999,0.0014688149999999,-8.673617379884035e-19,-0.001878842499998901
AgF2,mp-2284,mp-7715,-1.311622154166665,-1.277155026666665,0.0,0.034467127499999,0.0093179183333336,0.0,-0.03446712750000014,-0.034467127499999,0.0093179183333336,-1.1379786002407855e-15,-0.04378504583333374
AgI,mp-22925,mp-580941,-0.465353343333331,-0.467759898333332,0.002406555,0.0,0.0,0.0175226749999994,0.002406555000000976,0.002406555,-0.0175226749999994,9.762156361059482e-16,0.019929230000000377
AgPt,mp-1183209,mp-1229015,-0.0823932825,-0.0792769675,0.0,0.003116314999999,0.0147838050000004,0.0,-0.0031163149999999945,-0.003116314999999,0.0147838050000004,-9.944302326037047e-16,-0.017900120000000394
AlAsO4,mp-5189,mp-7849,-2.456086594583332,-2.443003532916666,0.0,0.013083061666666,0.0052370449999985,0.0,-0.013083061666665952,-0.013083061666666,0.0052370449999985,4.85722573273506e-17,-0.018320106666664452
AlH3,mp-1106356,mp-23933,-0.063617624062499,-0.073632082812499,0.01001445875,0.0,0.0,0.0092763950000005,0.010014458749999997,0.01001445875,-0.0092763950000005,-3.469446951953614e-18,0.019290853750000496
AlHO2,mp-625054,mp-625152,-2.6454554365625,-2.6528255821875,0.007370145624999,0.0,0.0,0.0058256175000002,0.007370145624999935,0.007370145624999,-0.0058256175000002,9.35015953551499e-16,0.013195763125000134
AlPO4,mp-5331,mp-7848,-3.12717220299603,-3.120438762440476,0.0,0.006733440555554,0.0092103111111114,0.0,-0.006733440555553916,-0.006733440555554,0.0092103111111114,8.413408858487514e-17,-0.015943751666665316
AlPS4,mp-1071955,mp-1102285,-0.6891077448710311,-0.6941880198710311,0.005080274999999,0.0,0.0,0.0013250349999998,0.0050802749999999675,0.005080274999999,-0.0013250349999998,9.6710833785707e-16,0.0064053099999997675
As,mp-11,mp-158,0.011004127499999,0.0,0.011004127499999,0.0,0.0,0.0230069049999999,0.011004127499999,0.011004127499999,-0.0230069049999999,0.0,0.0340110324999989
As2S3,mp-1189572,mp-641,-0.156509995187498,-0.156448726187498,0.0,6.126899999969737e-05,0.0020616369999997,0.0,-6.126900000000268e-05,-6.126899999969737e-05,0.0020616369999997,-3.0531133177191805e-16,-0.002122905999999703
As2Se3,mp-1078443,mp-909,-0.112152982437498,-0.139482853937499,0.0273298715,0.0,0.0,0.0058977525000001,0.02732987150000102,0.0273298715,-0.0058977525000001,1.0200174038743626e-15,0.03322762400000112
AsN(OF3)2,mp-1182477,mp-1183269,-1.890011069249999,-1.87874756125,0.0,0.011263508,0.0035711819999999,0.0,-0.011263507999998978,-0.011263508,0.0035711819999999,1.0217521273503394e-15,-0.014834689999998879
BCl(OF2)2,mp-557856,mp-754459,-1.947817728020833,-1.938781272395833,0.0,0.009036455624999,0.0004759074999993,0.0,-0.009036455624999995,-0.009036455624999,0.0004759074999993,-9.957312752106873e-16,-0.009512363124999295
BN,mp-604884,mp-984,-1.412978993125001,-1.407274898125001,0.0,0.005704095,0.0041534174999995,0.0,-0.00570409500000002,-0.005704095,0.0041534174999995,-1.9949319973733282e-17,-0.00985751249999952
