material_id,formula,chemical_system,num_sites,mp_e_above_hull_original,mp_e_above_hull_requeried,alex_e_above_hull,mp_stable_exact,alex_stable_exact,mp_formation_energy_per_atom,mp_energy_per_atom,mp_uncorrected_energy_per_atom
mp-10010,Al(CoSi)2,Al-Co-Si,5,0.015228510000012,0.015228510000012001,0.0,False,True,-0.47014906999999906,-10.619767026,-10.619767026
mp-1001581,LiC6,C-Li,7,0.000490129480517,0.0004901294805170001,0.0,False,True,-0.034716359523808006,-8.90187601,-8.90187601
mp-1001615,LiZrSe2,Li-Se-Zr,4,0.0,0.0,2.8549999999683e-06,True,False,-1.566557159947917,-15.006461855,-15.006461855
mp-1001833,InBi,Bi-In,2,0.0,0.0,0.0259400624999996,True,False,-0.071587387499995,-40.61201945,-40.61201945
mp-1001835,LiB,B-Li,4,0.0,0.0,0.0063941525000004,True,False,-0.22468806208333303,-5.0912183675,-5.0912183675
mp-1002107,LaRh,La-Rh,4,0.0,0.0,0.0289058224999996,True,False,-0.7398523274999991,-6.890009814999999,-27.72441751
mp-1002109,VCo,Co-V,2,0.0,0.0,0.0979241560416657,True,False,-0.14904514000000102,-13.81094857,-13.81094857
mp-1002123,KZrS2,K-S-Zr,4,0.0,0.0,0.0107850187499991,True,False,-1.739137890562498,-6.227604335,-12.955120585
mp-1003314,KMn2O4,K-Mn-O,7,0.000468158571428,0.000468158571428,0.0,False,True,-1.964762960444581,-7.571512149999999,-10.550810237142857
mp-1006256,CeYTl2,Ce-Tl-Y,4,0.0,0.0,0.0039507625000005,True,False,-0.460305484999999,-39.838515205,-39.838515205
mp-1007786,HfIr,Hf-Ir,4,0.0,0.0,0.0481622587499988,True,False,-0.9479872649999981,-10.34579887,-10.34579887
mp-1007881,FeB,B-Fe,4,0.0,0.0,0.0056426325000016,True,False,-0.387946513333332,-7.96265300375,-11.143406615
mp-1007923,CrNi3,Cr-Ni,4,0.0401541225,0.0401541225,0.0,False,True,0.0401541225,-12.714469345,-12.714469345
mp-1008376,CeH3,Ce-H,4,0.049830533203126,0.049830533203126005,0.0,False,True,-0.574761561562498,-10.876253052500001,-10.876253052500001
mp-1008492,BrCl,Br-Cl,4,0.0006782575,0.0006782575000000001,0.0,False,True,-0.35888631750000005,-2.101627915,-1.794627915
mp-1008505,BaPd,Ba-Pd,4,0.005573382499999,0.0055733824999990005,0.0,False,True,-0.5436276374999991,-4.0930560125,-25.241326625
mp-1008617,YbAg2,Ag-Yb,3,0.0,0.0,0.0244626416666666,True,False,-0.35908485500000104,-26.77279588,-26.77279588
mp-1008626,VTe2,Te-V,3,0.018488458888882,0.018488458888882002,0.0,False,True,-0.5893001077777781,-5.712806060000001,-5.431472726666667
mp-10091,KV(CuSe2)2,Cu-K-Se-V,16,0.000778245624999,0.000778245624999,0.0,False,True,-0.929177158953124,-4.978844039375,-4.742844039375
mp-1009130,MnN,Mn-N,2,0.015085967812499,0.015085967812499,0.0,False,True,-0.31152661661637904,-12.21756929,-12.21756929
mp-1009238,Hf2Tl,Hf-Tl,3,0.0,0.0,0.0280729555555554,True,False,-0.030792373333336003,-47.85817082666667,-47.85817082666667
mp-1009581,CrSe2,Cr-Se,3,0.0,0.0,0.022424645,True,False,-0.7685572382291661,-6.3168473800000005,-6.002180713333334
mp-1009657,CaN2,Ca-N,3,0.0,0.0,0.0108470233333353,True,False,-0.639265689166666,-9.07119737,-9.07119737
mp-1009733,Ca2Si,Ca-Si,3,0.0,0.0,0.0134636925000002,True,False,-0.534257671666667,-8.15104167,-8.15104167
mp-1009755,Ca2Ge,Ca-Ge,3,0.0,0.0,0.0158432116666666,True,False,-0.7149471366666661,-10.031135463333333,-10.031135463333333
mp-10112,LaB2Ir3,B-Ir-La,6,0.0,0.0,0.018227074999995,True,False,-0.650002868888892,-8.118351733333336,-34.304554435
mp-10113,ScBIr3,B-Ir-Sc,5,0.0,0.0,0.0688408340000013,True,False,-0.659335980833334,-8.564768664000002,-35.869502491999995
mp-1013554,Sr3PN,N-P-Sr,5,0.0,0.0,0.017218764775861,True,False,-0.95271940134524,-13.66628144,-13.66628144
mp-1013555,Sr3AsN,As-N-Sr,5,0.0,0.0,0.0303672979999998,True,False,-1.052059000250003,-14.906711974,-14.906711974
mp-10139,Sc3SnB,B-Sc-Sn,5,0.0,0.0,0.0082998373333333,True,False,-0.6759556734999991,-13.933555682,-13.933555682
mp-1014230,TiZn,Ti-Zn,2,0.0,0.0,0.0005521000000001,True,False,-0.19293132666666601,-4.77054914,-11.14427242
mp-10167,Na3SbS4,Na-S-Sb,8,0.0,0.0,0.0063865768750011,True,False,-0.9230619964062501,-9.48993779,-9.48993779
mp-10172,Na,Na,2,0.0,0.0,0.0089075384482757,True,False,0.0,-3.56418057,-3.56418057
mp-1017540,ZrCd,Cd-Zr,4,0.0,0.0,0.0015176089999986,True,False,-0.14070795500000302,-21.5680977525,-21.5680977525
mp-1017553,CdCo3N,Cd-Co-N,5,0.003899155999999,0.0038991559999990003,0.0,False,True,-0.020277590999999002,-6.15998521,-6.08778521
mp-1017564,Eu2O3,Eu-O,5,0.0,0.0,0.0174546273333131,True,False,-3.4451725570000002,-10.529193926,-22.014167698
mp-1017567,Hf2SN2,Hf-N-S,5,0.0,0.0,0.0159668450000012,True,False,-2.048511946062501,-25.367385816000002,-25.367385816000002
mp-1017578,HfBRh3,B-Hf-Rh,5,0.0,0.0,0.0326213812222242,True,False,-0.8244594524999961,-25.805750548,-25.805750548
mp-1017579,In2Au3,Au-In,5,0.0,0.0,0.0117904445000012,True,False,-0.22412988400000103,-39.606542126,-39.606542126
mp-1017983,TiMo3,Mo-Ti,4,0.0,0.0,0.0031765862499995,True,False,-0.134486429166667,-22.9229102625,-22.9229102625
mp-1018086,CePd,Ce-Pd,4,0.0,0.0,0.0711280250000001,True,False,-0.7748391274999981,-27.6753803125,-27.6753803125
mp-1018087,CeAu,Au-Ce,4,0.01542586875,0.015425868750000002,0.0,False,True,-0.6405005124999991,-5.245916447500001,-41.5152239425
mp-1018098,Ba2BrN,Ba-Br-N,4,0.0,0.0,0.0527104160416662,True,False,-1.41151841,-4.86481195,-20.2319537775
mp-1018099,Ba2NCl,Ba-Cl-N,4,0.0,0.0,0.0157743385416671,True,False,-1.543993426250001,-5.050186032500001,-18.5634952475
mp-1018103,ZrAu2,Au-Zr,3,0.0,0.0,5.636666666752888e-06,True,False,-0.6513819550000001,-41.95795269,-41.95795269
mp-1018122,Tm,Tm,3,0.006666056666659,0.006666056666659001,0.0,False,True,0.006666056666659001,-35.11438223333334,-35.11438223333334
mp-1018126,GaBi,Bi-Ga,2,0.0,0.0,0.02495955375,True,False,-0.006901732500004001,-34.97942658,-34.97942658
mp-1018276,CeGa,Ce-Ga,4,0.0,0.0,0.0288583725000002,True,False,-0.625698357499999,-21.7674007125,-21.7674007125
mp-1018646,YbH3Pd,H-Pd-Yb,5,0.164609845208332,0.16460984520833202,0.0,False,True,-0.43531103825000006,-14.406344958,-14.406344958
mp-1018647,YbNiH3,H-Ni-Yb,5,0.013078759999986,0.013078759999986,0.0,False,True,-0.48139910224999904,-12.256685732,-12.256685732
mp-1018651,Ba2H3I,Ba-H-I,6,0.0,0.0,0.0477566345833335,True,False,-1.013956369791667,-3.605200005,-15.664340765
mp-1018652,KCdSb,Cd-K-Sb,6,0.0,0.0,0.0014058816666664,True,False,-0.5163164945833331,-17.792838946666667,-17.792838946666667
mp-1018657,CaBiAu,Au-Bi-Ca,6,0.047790710000001,0.047790710000001006,0.0,False,True,-0.759286298333336,-39.46779549666667,-3.734390373333333
mp-1018658,CaCoSi,Ca-Co-Si,6,0.008972159999999,0.008972159999999,0.0,False,True,-0.475822595,-10.15791907,-10.15791907
mp-1018660,CeCoSi,Ce-Co-Si,6,0.0,0.0,0.00704481,True,False,-0.635787703333334,-6.801015910000001,-18.262338765
mp-1018662,CeSbPd,Ce-Pd-Sb,6,0.0,0.0,0.0064727516666662,True,False,-1.184261033333333,-27.686727066666666,-27.686727066666666
mp-1018671,CeZnGa,Ce-Ga-Zn,6,0.0,0.0,0.0041589399999999,True,False,-0.45905287583333104,-3.8673160433333322,-17.592446661666667
mp-1018681,DyZnIn,Dy-In-Zn,6,0.008653926333316,0.008653926333316,0.0,False,True,-0.539421279999996,-21.696420016666664,-21.696420016666664
mp-1018689,ErZnIn,Er-In-Zn,6,0.01149720233333,0.01149720233333,0.0,False,True,-0.509325057777772,-22.314201108333332,-22.314201108333332
mp-1018691,Eu2H3Br,Br-Eu-H,6,0.0,0.0,0.0710175218750013,True,False,-1.128171491458333,-6.527949771666665,-17.910520911666666
mp-1018695,EuBiAu,Au-Bi-Eu,6,0.0,0.0,0.0136324950000012,True,False,-0.7140231450000081,-6.5313658866666735,-50.028720416666665
mp-1018698,EuHgPb,Eu-Hg-Pb,6,0.0,0.0,0.0152066712499996,True,False,-0.45115368583334003,-5.221297360000004,-48.64066540333334
mp-1018714,HfGaCu,Cu-Ga-Hf,6,0.0,0.0,0.0300809099999996,True,False,-0.3825865525,-6.077417126666667,-22.905422285
mp-1018722,HgSe,Hg-Se,6,0.0,0.0,0.0333510750000001,True,False,-0.23692071328125003,-32.07660409,-32.07660409
mp-1018745,LaSbPd,La-Pd-Sb,6,0.0,0.0,0.0031973116666659,True,False,-1.271683155,-27.408866336666666,-27.408866336666666
mp-1018758,LaZnIn,In-La-Zn,6,0.0,0.0,0.0119684033333329,True,False,-0.5646461233333321,-20.97597052,-20.97597052
mp-1018815,NdSbPd,Nd-Pd-Sb,6,0.0,0.0,0.0328748216666667,True,False,-1.065285044166653,-5.757628538333321,-27.216189110000002
mp-1018886,PdO2,O-Pd,6,0.0,0.0,0.0697878916666674,True,False,-0.7275267350000001,-5.7527946750000005,-12.05856505
mp-1018893,PrCuSn,Cu-Pr-Sn,6,0.0,0.0,0.0072401600000002,True,False,-0.5646826888888871,-4.866099349999999,-22.30177331666667
mp-1018902,PrSbPt,Pr-Pt-Sb,6,0.0,0.0,0.0246322516666666,True,False,-1.102482508888886,-6.101017848333332,-36.797121945
mp-1019052,ReN,N-Re,6,0.050731488749999,0.050731488749999006,0.0,False,True,-0.008583725624996002,-30.778266415,-30.778266415
mp-1019253,SmSe2,Se-Sm,6,0.029101980197914,0.029101980197914,0.0,False,True,-1.8409462043750011,-21.29296113166667,-21.29296113166667
mp-1019276,TaSe2,Se-Ta,6,0.0,0.0,0.0068203716666666,True,False,-0.932053956819444,-26.670371681666666,-26.670371681666666
mp-1019544,BaZrO3,Ba-O-Zr,10,0.0,0.0,0.0001757229999999,True,False,-3.639240691,-8.701352408,-17.024169903999997
mp-102,Co,Co,1,0.0,0.0,0.0161139949999995,True,False,0.0,-13.23423113,-13.23423113
mp-1020019,Li2PNO2,Li-N-O-P,12,0.0,0.0,0.0525044454166669,True,False,-2.172982110218253,-6.750901945833333,-6.461735279166667
mp-10212,ScGe2,Ge-Sc,6,0.019243668333334,0.019243668333334,0.0,False,True,-0.571158746666666,-13.618639584999999,-13.618639584999999
mp-1021465,Na2ZnSe2,Na-Se-Zn,10,0.0,0.0,0.0027829635,True,False,-1.117794387489223,-3.304796011999999,-10.046885193
mp-1024052,Na2ZnSe2,Na-Se-Zn,20,0.001040659,0.001040659,0.0,False,True,-1.116753728489223,-3.303755352999999,-10.045844534
mp-1024067,Na2ZnS2,Na-S-Zn,20,0.0028403728,0.0028403728,0.0,False,True,-1.168440589125001,-7.589848229,-7.589848229
mp-1024951,LaScSi,La-Sc-Si,6,0.0,0.0,0.0072874881111113,True,False,-0.7003765700000001,-17.339387288333334,-17.339387288333334
