denominator,model_name,metric,label_view_band,min_over_label_views,max_over_label_views,n_label_views,reference_model_spread_median,uncertainty_dominance_ratio,label_choice_dominates_model_choice
D5_family_complete,ALIGNN-FF,auprc,0.25068384565157964,0.2456887829605552,0.4963726286121348,7,0.6399212352308321,0.3917417204652586,False
D5_family_complete,ALIGNN-FF,f1,0.2582296318933968,0.22515020554442922,0.48337983743782603,7,0.6701802466533151,0.38531370207182375,False
D5_family_complete,ALIGNN-FF,stable_yield@1000,0.254,0.245,0.499,7,0.677,0.37518463810930575,False
D5_family_complete,CHGNet,auprc,0.2534026088487148,0.24775629953573888,0.5011589083844536,7,0.6399212352308321,0.3959903108345944,False
D5_family_complete,CHGNet,f1,0.26134011563817044,0.2232528723516391,0.48459298798980954,7,0.6701802466533151,0.3899549665082295,False
D5_family_complete,CHGNet,stable_yield@1000,0.279,0.261,0.54,7,0.677,0.4121122599704579,False
D5_family_complete,M3GNet,auprc,0.2547196125862757,0.25546418772278606,0.5101838003090617,7,0.6399212352308321,0.3980483824613092,False
D5_family_complete,M3GNet,f1,0.25034577731857566,0.24043427848634974,0.4907800558049254,7,0.6701802466533151,0.37354991969508133,False
D5_family_complete,M3GNet,stable_yield@1000,0.274,0.279,0.553,7,0.677,0.40472673559822747,False
D5_family_complete,MACE-MP,auprc,0.2571445875680926,0.2611515151497135,0.5182961027178061,7,0.6399212352308321,0.401837872242723,False
D5_family_complete,MACE-MP,f1,0.24284876393615806,0.25466427743227577,0.49751304136843383,7,0.6701802466533151,0.36236335694594707,False
D5_family_complete,MACE-MP,stable_yield@1000,0.2879999999999999,0.277,0.565,7,0.677,0.4254062038404725,False
D5_family_complete,MP_common_pool_public_hull_rank,auprc,0.5406403115020154,0.4593596884979845,0.9999999999999999,7,0.6399212352308321,0.8448544629199496,False
D5_family_complete,MP_common_pool_public_hull_rank,f1,0.5328671328671328,0.4671328671328671,1.0,7,0.6701802466533151,0.7951101745062109,False
