denominator,model_name,metric,label_view_band,min_over_label_views,max_over_label_views,n_label_views,reference_model_spread_median,uncertainty_dominance_ratio,label_choice_dominates_model_choice
D5_family_complete,ALIGNN-FF,auprc,0.25068384565157964,0.2456887829605552,0.4963726286121348,7,0.6399212352308321,0.3917417204652586,False
D5_family_complete,ALIGNN-FF,auroc,0.025065320585665463,0.46338782650053,0.48845314708619547,7,0.5274325544538472,0.0475232716941798,False
D5_family_complete,ALIGNN-FF,balanced_accuracy,0.032561671730652,0.4507703156931023,0.4833319874237543,7,0.5395322778480539,0.06035166581789236,False
D5_family_complete,ALIGNN-FF,f1,0.2582296318933968,0.22515020554442922,0.48337983743782603,7,0.6701802466533151,0.38531370207182375,False
D5_family_complete,ALIGNN-FF,precision,0.2582296318933968,0.22515020554442922,0.48337983743782603,7,0.6701802466533151,0.38531370207182375,False
D5_family_complete,ALIGNN-FF,recall,0.2582296318933968,0.22515020554442922,0.48337983743782603,7,0.6701802466533151,0.38531370207182375,False
D5_family_complete,ALIGNN-FF,stable_yield@100,0.31999999999999995,0.25,0.57,7,0.6699999999999999,0.47761194029850745,False
D5_family_complete,ALIGNN-FF,stable_yield@1000,0.254,0.245,0.499,7,0.677,0.37518463810930575,False
D5_family_complete,ALIGNN-FF,stable_yield@10000,0.2435,0.2273,0.4708,7,0.6596,0.36916312916919347,False
D5_family_complete,ALIGNN-FF,stable_yield@300,0.29666666666666663,0.18666666666666668,0.48333333333333334,7,0.7,0.4238095238095238,False
D5_family_complete,ALIGNN-FF,stable_yield@500,0.276,0.204,0.48,7,0.65,0.4246153846153846,False
D5_family_complete,ALIGNN-FF,stable_yield@5000,0.23960000000000004,0.2264,0.466,7,0.6739999999999999,0.35548961424332354,False
D5_family_complete,CHGNet,auprc,0.2534026088487148,0.24775629953573888,0.5011589083844536,7,0.6399212352308321,0.3959903108345944,False
D5_family_complete,CHGNet,auroc,0.02159854278196721,0.4663785149428588,0.487977057724826,7,0.5274325544538472,0.04095034066361784,False
D5_family_complete,CHGNet,balanced_accuracy,0.024687942972541566,0.4599252536351364,0.484613196607678,7,0.5395322778480539,0.045758046341565356,False
D5_family_complete,CHGNet,f1,0.26134011563817044,0.2232528723516391,0.48459298798980954,7,0.6701802466533151,0.3899549665082295,False
D5_family_complete,CHGNet,precision,0.26134011563817044,0.2232528723516391,0.48459298798980954,7,0.6701802466533151,0.3899549665082295,False
D5_family_complete,CHGNet,recall,0.26134011563817044,0.2232528723516391,0.48459298798980954,7,0.6701802466533151,0.3899549665082295,False
D5_family_complete,CHGNet,stable_yield@100,0.37999999999999995,0.34,0.72,7,0.6699999999999999,0.5671641791044776,False
D5_family_complete,CHGNet,stable_yield@1000,0.279,0.261,0.54,7,0.677,0.4121122599704579,False
D5_family_complete,CHGNet,stable_yield@10000,0.24219999999999997,0.2232,0.4654,7,0.6596,0.3671922377198302,False
D5_family_complete,CHGNet,stable_yield@300,0.33666666666666667,0.2833333333333333,0.62,7,0.7,0.48095238095238096,False
D5_family_complete,CHGNet,stable_yield@500,0.31199999999999994,0.266,0.578,7,0.65,0.47999999999999987,False
D5_family_complete,CHGNet,stable_yield@5000,0.2486,0.2294,0.478,7,0.6739999999999999,0.3688427299703264,False
D5_family_complete,M3GNet,auprc,0.2547196125862757,0.25546418772278606,0.5101838003090617,7,0.6399212352308321,0.3980483824613092,False
D5_family_complete,M3GNet,auroc,0.017419219645728068,0.4806903353990174,0.49810955504474547,7,0.5274325544538472,0.03302644006069279,False
D5_family_complete,M3GNet,balanced_accuracy,0.01769298900609495,0.47061860383400467,0.4883115928400996,7,0.5395322778480539,0.03279319835444164,False
D5_family_complete,M3GNet,f1,0.25034577731857566,0.24043427848634974,0.4907800558049254,7,0.6701802466533151,0.37354991969508133,False
D5_family_complete,M3GNet,precision,0.25034577731857566,0.24043427848634974,0.4907800558049254,7,0.6701802466533151,0.37354991969508133,False
D5_family_complete,M3GNet,recall,0.25034577731857566,0.24043427848634974,0.4907800558049254,7,0.6701802466533151,0.37354991969508133,False
D5_family_complete,M3GNet,stable_yield@100,0.37000000000000005,0.31,0.68,7,0.6699999999999999,0.5522388059701494,False
D5_family_complete,M3GNet,stable_yield@1000,0.274,0.279,0.553,7,0.677,0.40472673559822747,False
D5_family_complete,M3GNet,stable_yield@10000,0.2444,0.2398,0.4842,7,0.6596,0.3705275924802911,False
D5_family_complete,M3GNet,stable_yield@300,0.33,0.2866666666666667,0.6166666666666667,7,0.7,0.4714285714285715,False
D5_family_complete,M3GNet,stable_yield@500,0.306,0.292,0.598,7,0.65,0.4707692307692307,False
D5_family_complete,M3GNet,stable_yield@5000,0.255,0.249,0.504,7,0.6739999999999999,0.37833827893175076,False
D5_family_complete,MACE-MP,auprc,0.2571445875680926,0.2611515151497135,0.5182961027178061,7,0.6399212352308321,0.401837872242723,False
D5_family_complete,MACE-MP,auroc,0.022942130446119313,0.4831995649220195,0.5061416953681388,7,0.5274325544538472,0.04349775199195987,False
D5_family_complete,MACE-MP,balanced_accuracy,0.022499825327582268,0.4753979366724656,0.49789776200004787,7,0.5395322778480539,0.04170246387727482,False
D5_family_complete,MACE-MP,f1,0.24284876393615806,0.25466427743227577,0.49751304136843383,7,0.6701802466533151,0.36236335694594707,False
D5_family_complete,MACE-MP,precision,0.24284876393615806,0.25466427743227577,0.49751304136843383,7,0.6701802466533151,0.36236335694594707,False
D5_family_complete,MACE-MP,recall,0.24284876393615806,0.25466427743227577,0.49751304136843383,7,0.6701802466533151,0.36236335694594707,False
