denominator,model_name,label_view,K,K_effective,n_ranked,stable_n,precision_at_k,recall_at_k,stable_yield_at_k,uncertain_fraction_at_k,false_positive_burden_at_k,DAF_at_k,metric_status
D5_full_complete,ALIGNN-FF,uncertain,10000,10000,36769,3067,0.3067,0.2523241464417935,0.3067,0.3067,0.6933,0.9277706540518303,uncertainty_indicator_not_primary_stability_metric
D5_full_complete,ALIGNN-FF,audit_view,100,100,36769,25,0.25,0.002635184989986297,0.25,0.38,0.75,0.9689311689680614,ok
D5_full_complete,ALIGNN-FF,audit_view,300,300,36769,56,0.18666666666666668,0.005902814377569305,0.18666666666666668,0.36333333333333334,0.8133333333333334,0.7234686061628193,ok
D5_full_complete,ALIGNN-FF,audit_view,500,500,36769,102,0.204,0.010751554759144091,0.204,0.322,0.796,0.7906478338779381,ok
D5_full_complete,ALIGNN-FF,audit_view,1000,1000,36769,245,0.245,0.02582481290186571,0.245,0.311,0.755,0.9495525455887002,ok
D5_full_complete,ALIGNN-FF,audit_view,5000,5000,36769,1133,0.2266,0.11942658374617898,0.2266,0.3114,0.7734,0.878239211552651,ok
D5_full_complete,ALIGNN-FF,audit_view,10000,10000,36769,2275,0.2275,0.23980183408875302,0.2275,0.3067,0.7725,0.881727363760936,ok
D5_full_complete,CHGNet,mp_native,100,100,36769,62,0.62,0.00412618128577133,0.62,0.0,0.38,1.5171555969652601,ok
D5_full_complete,CHGNet,mp_native,300,300,36769,162,0.54,0.01078131239185412,0.54,0.0,0.45999999999999996,1.3213935844536138,ok
D5_full_complete,CHGNet,mp_native,500,500,36769,242,0.484,0.016105417276720352,0.484,0.0,0.516,1.1843601756954611,ok
D5_full_complete,CHGNet,mp_native,1000,1000,36769,442,0.442,0.029415679488885932,0.442,0.0,0.558,1.0815851191268469,ok
D5_full_complete,CHGNet,mp_native,5000,5000,36769,1767,0.3534,0.1175961666444829,0.3534,0.0,0.6466000000000001,0.8647786902701983,ok
D5_full_complete,CHGNet,mp_native,10000,10000,36769,3404,0.3404,0.22654066285105817,0.3404,0.0,0.6596,0.8329673632370558,ok
D5_full_complete,CHGNet,alexmp20_native,100,100,36769,42,0.42,0.0031597953656334636,0.42,0.0,0.5800000000000001,1.1618251579897683,ok
D5_full_complete,CHGNet,alexmp20_native,300,300,36769,117,0.39,0.008802287089978935,0.39,0.0,0.61,1.0788376467047849,ok
D5_full_complete,CHGNet,alexmp20_native,500,500,36769,184,0.368,0.013842913030394222,0.368,0.0,0.632,1.0179801384291303,ok
D5_full_complete,CHGNet,alexmp20_native,1000,1000,36769,359,0.359,0.027008727053866987,0.359,0.0,0.641,0.9930838850436353,ok
D5_full_complete,CHGNet,alexmp20_native,5000,5000,36769,1570,0.314,0.11811616009629852,0.314,0.0,0.6859999999999999,0.8686026181161601,ok
D5_full_complete,CHGNet,alexmp20_native,10000,10000,36769,3066,0.3066,0.23066506169124285,0.3066,0.0,0.6934,0.8481323653325309,ok
D5_full_complete,CHGNet,alex_pbe_native,100,100,36769,38,0.38,0.003123202104051944,0.38,0.0,0.62,1.1483701816388592,ok
D5_full_complete,CHGNet,alex_pbe_native,300,300,36769,99,0.33,0.008136763376345854,0.33,0.0,0.6699999999999999,0.9972688419495357,ok
D5_full_complete,CHGNet,alex_pbe_native,500,500,36769,163,0.326,0.013396893235801758,0.326,0.0,0.6739999999999999,0.9851807347743898,ok
D5_full_complete,CHGNet,alex_pbe_native,1000,1000,36769,321,0.321,0.026382838826333525,0.321,0.0,0.679,0.9700706008054575,ok
D5_full_complete,CHGNet,alex_pbe_native,5000,5000,36769,1466,0.2932,0.12048984959316184,0.2932,0.0,0.7068,0.8860582559381935,ok
D5_full_complete,CHGNet,alex_pbe_native,10000,10000,36769,2853,0.2853,0.23448672639105778,0.2853,0.0,0.7147,0.8621842442672804,ok
D5_full_complete,CHGNet,common_pool,100,100,31872,72,0.72,0.004367341987140604,0.72,0.0,0.28,1.3919592381414534,ok
D5_full_complete,CHGNet,common_pool,300,300,31872,186,0.62,0.011282300133446561,0.62,0.0,0.38,1.1986315661773628,ok
