model_name,stable_yield_@mp_native,stable_yield_@alexmp20_native,stable_yield_@alex_pbe_native,stable_yield_@common_pool,stable_yield_@source_union,stable_yield_@consensus,stable_yield_@uncertain,stable_yield_@audit_view,rank_mp_native,rank_alexmp20_native,rank_alex_pbe_native,rank_common_pool,rank_source_union,rank_consensus,rank_uncertain,rank_audit_view,family,coverage_n,rank_stability_score,label_uncertainty_band_stable_yield@1000,topK_uncertain_burden_audit_view@1000
ALIGNN-FF,0.404,0.323,0.299,0.499,,0.355,0.311,0.245,11.0,12.0,12.0,10.0,,11.0,7.0,12.0,strong_gnn,36802,5.0,0.254,0.311
CHGNet,0.442,0.359,0.321,0.54,,0.379,0.354,0.261,10.0,10.0,10.0,9.0,,10.0,3.0,10.0,universal_potential,36801,7.0,0.279,0.354
M3GNet,0.461,0.373,0.338,0.553,,0.413,0.342,0.279,8.0,9.0,8.0,8.0,,7.0,5.0,8.0,universal_potential,36802,4.0,0.274,0.342
MACE-MP,0.465,0.385,0.337,0.565,,0.41,0.354,0.277,7.0,8.0,9.0,7.0,,8.0,3.0,9.0,universal_potential,36802,6.0,0.2879999999999999,0.354
MP_common_pool_public_hull_rank,0.736,0.624,0.557,1.0,,1.0,0.507,0.493,5.0,5.0,5.0,1.0,,1.0,2.0,5.0,public_hull_oracle,36770,4.0,0.507,0.507
MP_source_native_public_hull_rank,1.0,0.864,0.779,0.987,,1.0,0.304,0.696,1.0,4.0,4.0,5.0,,1.0,8.0,4.0,public_hull_oracle,36802,7.0,0.696,0.304
MatterGen_alex_mp20_source_native_public_hull_rank,0.926,1.0,0.855,0.986,,1.0,0.254,0.746,3.0,1.0,3.0,6.0,,1.0,10.0,3.0,public_hull_oracle,36802,9.0,0.746,0.254
consensus_oracle_proxy,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,12.0,1.0,sourceaware_oracle,36802,11.0,1.0,0.0
official_Alexandria_PBE_common_pool_public_hull_rank,0.638,0.553,0.547,1.0,,1.0,0.611,0.389,6.0,6.0,6.0,1.0,,1.0,1.0,6.0,public_hull_oracle,36802,5.0,0.611,0.611
official_Alexandria_PBE_source_native_public_hull_rank,0.915,0.934,1.0,0.999,,1.0,0.187,0.813,4.0,3.0,1.0,4.0,,1.0,11.0,2.0,public_hull_oracle,36802,10.0,0.813,0.187
prevalence_dummy,0.451,0.421,0.378,0.434,,0.311,0.257,0.31,9.0,7.0,7.0,12.0,,12.0,9.0,7.0,dummy_baseline,36802,5.0,0.194,0.257
random_baseline,0.385,0.345,0.314,0.49,,0.39,0.313,0.25,12.0,11.0,11.0,11.0,,9.0,6.0,11.0,random_baseline,36802,6.0,0.24,0.313
