setting,model_name,row_n,score_ok_n,simplex_exclusion_pass_n,full_exclusion_verified_n,simplex_overlap_n
primary,ALIGNN-FF,36681,36681,36681,36681,0
primary,CHGNet,36681,36681,36681,36681,0
primary,M3GNet,36681,36681,36681,36681,0
primary,MACE-MP,36681,36681,36681,36681,0
tight,ALIGNN-FF,36681,36681,36681,36681,0
tight,CHGNet,36681,36681,36681,36681,0
tight,M3GNet,36681,36681,36681,36681,0
tight,MACE-MP,36681,36681,36681,36681,0
default,ALIGNN-FF,36681,36681,36681,36681,0
default,CHGNet,36681,36681,36681,36681,0
default,M3GNet,36681,36681,36681,36681,0
default,MACE-MP,36681,36681,36681,36681,0
loose,ALIGNN-FF,36681,36681,36681,36681,0
loose,CHGNet,36681,36681,36681,36681,0
loose,M3GNet,36681,36681,36681,36681,0
loose,MACE-MP,36681,36681,36681,36681,0
