support,base_threshold_meV_per_atom,indeterminate_width_meV_per_atom,endpoint_a,endpoint_b,n,any_indeterminate_n,any_indeterminate_fraction,decisive_n,robust_conflict_n,robust_conflict_rate_full_support,robust_conflict_rate_decisive_support,definition
Mphys,0,20,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,11687,0.318881309686221,24963,797,0.021746248294679398,0.03192725233345351,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,20,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,36650,9087,0.2479399727148704,27563,1898,0.05178717598908595,0.06886042883575808,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,25,mp_source_coordinate,alexmp20_source_coordinate,36650,12051,0.3288130968622101,24599,1056,0.028813096862210095,0.04292857433228993,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,25,mp_source_coordinate,alex_pbe_source_coordinate,36650,13538,0.36938608458390176,23112,1160,0.03165075034106412,0.05019037729318103,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,13242,0.36130968622100956,23408,653,0.01781718963165075,0.027896445659603555,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,25,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,36650,10370,0.28294679399727146,26280,1642,0.04480218281036835,0.06248097412480974,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,30,mp_source_coordinate,alexmp20_source_coordinate,36650,13392,0.3654024556616644,23258,895,0.02442019099590723,0.0384813827500215,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,30,mp_source_coordinate,alex_pbe_source_coordinate,36650,14922,0.4071487039563438,21728,952,0.02597544338335607,0.04381443298969072,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,30,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,14625,0.3990450204638472,22025,536,0.014624829467939972,0.024335981838819524,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,30,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,36650,11507,0.31396998635743517,25143,1404,0.03830832196452933,0.055840591814819235,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,50,mp_source_coordinate,alexmp20_source_coordinate,36650,17490,0.4772169167803547,19160,520,0.014188267394270123,0.027139874739039668,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,50,mp_source_coordinate,alex_pbe_source_coordinate,36650,19175,0.5231923601637107,17475,511,0.013942701227830832,0.029241773962804005,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,18969,0.5175716234652115,17681,294,0.008021828103683492,0.016628018777218482,robust conflict is definite stable in one coordinate and definite unstable in the other
Mphys,0,50,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,36650,15106,0.41216916780354707,21544,815,0.022237380627557982,0.037829558113627926,robust conflict is definite stable in one coordinate and definite unstable in the other
