threshold_meV_per_atom,metric,coordinate_endpoint,winner_models_json,winner_n,winner_changes_vs_mp
0,ap,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",1,False
0,ap,alex_pbe_source_coordinate,"[""MACE-MP""]",1,False
0,ap,alexmp20_source_coordinate,"[""MACE-MP""]",1,False
0,ap,mp_matched_pool_coordinate,"[""MACE-MP""]",1,False
0,ap,mp_source_coordinate,"[""MACE-MP""]",1,False
0,auroc,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",1,False
0,auroc,alex_pbe_source_coordinate,"[""MACE-MP""]",1,False
0,auroc,alexmp20_source_coordinate,"[""MACE-MP""]",1,False
0,auroc,mp_matched_pool_coordinate,"[""MACE-MP""]",1,False
0,auroc,mp_source_coordinate,"[""MACE-MP""]",1,False
0,excess_hits_over_random,alex_pbe_matched_pool_coordinate,"[""CHGNet""]",1,True
0,excess_hits_over_random,alex_pbe_source_coordinate,"[""M3GNet""]",1,True
0,excess_hits_over_random,alexmp20_source_coordinate,"[""M3GNet""]",1,True
0,excess_hits_over_random,mp_matched_pool_coordinate,"[""M3GNet""]",1,True
0,excess_hits_over_random,mp_source_coordinate,"[""MACE-MP""]",1,False
0,expected_stable_hits,alex_pbe_matched_pool_coordinate,"[""CHGNet""]",1,True
0,expected_stable_hits,alex_pbe_source_coordinate,"[""M3GNet""]",1,True
0,expected_stable_hits,alexmp20_source_coordinate,"[""M3GNet""]",1,True
0,expected_stable_hits,mp_matched_pool_coordinate,"[""M3GNet""]",1,True
0,expected_stable_hits,mp_source_coordinate,"[""MACE-MP""]",1,False
0,expected_stable_yield,alex_pbe_matched_pool_coordinate,"[""CHGNet""]",1,True
0,expected_stable_yield,alex_pbe_source_coordinate,"[""M3GNet""]",1,True
0,expected_stable_yield,alexmp20_source_coordinate,"[""M3GNet""]",1,True
0,expected_stable_yield,mp_matched_pool_coordinate,"[""M3GNet""]",1,True
0,expected_stable_yield,mp_source_coordinate,"[""MACE-MP""]",1,False
