threshold_meV_per_atom,model_name,coordinate_endpoint,support_n,positive_n,positive_rate_pi,random_expected_hits,excess_hits_over_random,enrichment,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
0,ALIGNN-FF,mp_source_coordinate,36650,15001,0.4093042291950887,40.93042291950887,24.06957708049113,1.5880607959469368,100,1.810661280155,99,64,1,1,1,65.0,0.65,65,65,0.65,0.65,65,65,0.65,0.65,0.95,12
0,ALIGNN-FF,mp_source_coordinate,36650,15001,0.4093042291950887,122.79126875852661,81.20873124147339,1.6613559096060264,300,0.956046740214,299,203,1,1,1,204.0,0.68,204,204,0.68,0.68,204,204,0.68,0.68,0.95,12
0,ALIGNN-FF,mp_source_coordinate,36650,15001,0.4093042291950887,204.65211459754434,148.34788540245566,1.7248783414439035,500,0.631121110916,499,353,1,0,1,353.0,0.706,353,353,0.706,0.706,353,353,0.706,0.706,0.95,12
0,ALIGNN-FF,mp_source_coordinate,36650,15001,0.4093042291950887,409.3042291950887,300.6957708049113,1.7346510232651156,1000,0.39319832325,999,709,1,1,1,710.0,0.71,710,710,0.71,0.71,710,710,0.71,0.71,0.95,12
0,ALIGNN-FF,mp_source_coordinate,36650,15001,0.4093042291950887,2046.5211459754435,1420.4788540245565,1.6940943937070863,5000,0.133380598492,4999,3467,1,0,1,3467.0,0.6934,3467,3467,0.6934,0.6934,3467,3467,0.6934,0.6934,0.95,12
0,ALIGNN-FF,alexmp20_source_coordinate,36650,13266,0.36196452933151435,36.196452933151434,34.803547066848566,1.9615181667420472,100,1.810661280155,99,70,1,1,1,71.0,0.71,71,71,0.71,0.71,71,71,0.71,0.71,0.95,12
0,ALIGNN-FF,alexmp20_source_coordinate,36650,13266,0.36196452933151435,108.5893587994543,79.4106412005457,1.7312930298004925,300,0.956046740214,299,187,1,1,1,188.0,0.6266666666666667,188,188,0.6266666666666667,0.6266666666666667,188,188,0.6266666666666667,0.6266666666666667,0.95,12
0,ALIGNN-FF,alexmp20_source_coordinate,36650,13266,0.36196452933151435,180.98226466575719,139.01773533424281,1.7681290517111412,500,0.631121110916,499,320,1,0,1,320.0,0.64,320,320,0.64,0.64,320,320,0.64,0.64,0.95,12
0,ALIGNN-FF,alexmp20_source_coordinate,36650,13266,0.36196452933151435,361.96452933151437,253.03547066848563,1.6990615106286746,1000,0.39319832325,999,614,1,1,1,615.0,0.615,615,615,0.615,0.615,615,615,0.615,0.615,0.95,12
0,ALIGNN-FF,alexmp20_source_coordinate,36650,13266,0.36196452933151435,1809.8226466575718,1206.1773533424282,1.6664616312377505,5000,0.133380598492,4999,3016,1,0,1,3016.0,0.6032,3016,3016,0.6032,0.6032,3016,3016,0.6032,0.6032,0.95,12
0,ALIGNN-FF,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,33.14597544338336,9.854024556616643,1.2972917352650641,100,1.810661280155,99,43,1,0,1,43.0,0.43,43,43,0.43,0.43,43,43,0.43,0.43,0.95,12
0,ALIGNN-FF,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,99.43792633015008,54.56207366984992,1.5487048622544175,300,0.956046740214,299,153,1,1,1,154.0,0.5133333333333333,154,154,0.5133333333333333,0.5133333333333333,154,154,0.5133333333333333,0.5133333333333333,0.95,12
0,ALIGNN-FF,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,165.72987721691678,112.27012278308322,1.6774283832729668,500,0.631121110916,499,277,1,1,1,278.0,0.556,278,278,0.556,0.556,278,278,0.556,0.556,0.95,12
0,ALIGNN-FF,alex_pbe_source_coordinate,36650,12148,0.3314597544338336,331.45975443383355,222.54024556616645,1.6713944682252224,1000,0.39319832325,999,553,1,1,1,554.0,0.554,554,554,0.554,0.554,554,554,0.554,0.554,0.95,12
