threshold_meV_per_atom,K,coordinate_endpoint,model_name,point_stable_hits,point_stable_yield,point_winner,point_winner_models_json,point_first_second_margin_hits,bootstrap_winner_frequency,mp_selected_models_json,point_mp_selection_regret_min_hits,point_mp_selection_regret_max_hits,bootstrap_regret_min_median_hits,bootstrap_regret_min_ci_low_95_hits,bootstrap_regret_min_ci_high_95_hits,bootstrap_regret_max_median_hits,bootstrap_regret_max_ci_low_95_hits,bootstrap_regret_max_ci_high_95_hits,positive_regret_frequency,boundary_tie_n,strictly_before_boundary_n,tie_interval_low_hits,tie_interval_high_hits,first_second_margin_ci_low_95_hits,first_second_margin_median_hits,first_second_margin_ci_high_95_hits
0,100,alexmp20_source_coordinate,M3GNet,71.0,0.71,True,"[""ALIGNN-FF"", ""M3GNet"", ""MACE-MP""]",0.0,0.421,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,0.573,1,99,71,71,0.0,1.0,4.0
0,100,alexmp20_source_coordinate,MACE-MP,71.0,0.71,True,"[""ALIGNN-FF"", ""M3GNet"", ""MACE-MP""]",0.0,0.4,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,0.573,1,99,71,71,0.0,1.0,4.0
0,100,mp_matched_pool_coordinate,ALIGNN-FF,97.0,0.97,True,"[""ALIGNN-FF"", ""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,99,97,97,0.0,0.0,0.0
0,100,mp_matched_pool_coordinate,CHGNet,97.0,0.97,True,"[""ALIGNN-FF"", ""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,99,97,97,0.0,0.0,0.0
0,100,mp_matched_pool_coordinate,M3GNet,97.0,0.97,True,"[""ALIGNN-FF"", ""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,99,97,97,0.0,0.0,0.0
0,100,mp_matched_pool_coordinate,MACE-MP,97.0,0.97,True,"[""ALIGNN-FF"", ""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,99,97,97,0.0,0.0,0.0
0,100,mp_source_coordinate,ALIGNN-FF,65.0,0.65,False,"[""M3GNet"", ""MACE-MP""]",0.0,0.153,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,99,65,65,0.0,1.0,4.0
0,100,mp_source_coordinate,CHGNet,64.0,0.64,False,"[""M3GNet"", ""MACE-MP""]",0.0,0.324,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,99,64,64,0.0,1.0,4.0
0,100,mp_source_coordinate,M3GNet,66.0,0.66,True,"[""M3GNet"", ""MACE-MP""]",0.0,0.548,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,99,66,66,0.0,1.0,4.0
0,100,mp_source_coordinate,MACE-MP,66.0,0.66,True,"[""M3GNet"", ""MACE-MP""]",0.0,0.353,"[""M3GNet"", ""MACE-MP""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,99,66,66,0.0,1.0,4.0
0,300,alex_pbe_matched_pool_coordinate,ALIGNN-FF,300.0,1.0,True,"[""ALIGNN-FF"", ""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""M3GNet""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,299,300,300,0.0,0.0,0.0
0,300,alex_pbe_matched_pool_coordinate,CHGNet,300.0,1.0,True,"[""ALIGNN-FF"", ""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""M3GNet""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,299,300,300,0.0,0.0,0.0
0,300,alex_pbe_matched_pool_coordinate,M3GNet,300.0,1.0,True,"[""ALIGNN-FF"", ""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""M3GNet""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,299,300,300,0.0,0.0,0.0
0,300,alex_pbe_matched_pool_coordinate,MACE-MP,300.0,1.0,True,"[""ALIGNN-FF"", ""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""M3GNet""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,299,300,300,0.0,0.0,0.0
0,300,alex_pbe_source_coordinate,ALIGNN-FF,154.0,0.5133333333333333,False,"[""M3GNet""]",8.0,0.067,"[""M3GNet""]",0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.266,1,299,154,154,0.0,4.0,11.0
0,300,alex_pbe_source_coordinate,CHGNet,152.0,0.5066666666666667,False,"[""M3GNet""]",8.0,0.009,"[""M3GNet""]",0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.266,1,299,152,152,0.0,4.0,11.0
0,300,alex_pbe_source_coordinate,M3GNet,162.0,0.54,True,"[""M3GNet""]",8.0,0.903,"[""M3GNet""]",0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.266,1,299,162,162,0.0,4.0,11.0
0,300,alex_pbe_source_coordinate,MACE-MP,153.0,0.51,False,"[""M3GNet""]",8.0,0.071,"[""M3GNet""]",0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.266,1,299,153,153,0.0,4.0,11.0
0,300,alexmp20_source_coordinate,ALIGNN-FF,188.0,0.6266666666666667,False,"[""M3GNet""]",8.0,0.057,"[""M3GNet""]",0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.246,1,299,188,188,0.0,4.0,9.0
0,300,alexmp20_source_coordinate,CHGNet,187.0,0.6233333333333333,False,"[""M3GNet""]",8.0,0.024,"[""M3GNet""]",0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.246,1,299,187,187,0.0,4.0,9.0
0,300,alexmp20_source_coordinate,M3GNet,196.0,0.6533333333333333,True,"[""M3GNet""]",8.0,0.864,"[""M3GNet""]",0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.246,1,299,196,196,0.0,4.0,9.0
0,300,alexmp20_source_coordinate,MACE-MP,188.0,0.6266666666666667,False,"[""M3GNet""]",8.0,0.123,"[""M3GNet""]",0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.246,1,299,188,188,0.0,4.0,9.0
0,300,mp_matched_pool_coordinate,ALIGNN-FF,293.0,0.9766666666666668,False,"[""M3GNet""]",1.0,0.706,"[""M3GNet""]",0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.48,1,299,293,293,0.0,0.0,3.0
0,300,mp_matched_pool_coordinate,CHGNet,293.0,0.9766666666666668,False,"[""M3GNet""]",1.0,0.585,"[""M3GNet""]",0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.48,1,299,293,293,0.0,0.0,3.0
0,300,mp_matched_pool_coordinate,M3GNet,294.0,0.98,True,"[""M3GNet""]",1.0,0.383,"[""M3GNet""]",0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.48,1,299,294,294,0.0,0.0,3.0
0,300,mp_matched_pool_coordinate,MACE-MP,293.0,0.9766666666666668,False,"[""M3GNet""]",1.0,0.596,"[""M3GNet""]",0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.48,1,299,293,293,0.0,0.0,3.0
0,300,mp_source_coordinate,ALIGNN-FF,204.0,0.68,False,"[""M3GNet""]",7.0,0.152,"[""M3GNet""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,299,204,204,0.0,3.0,9.0
0,300,mp_source_coordinate,CHGNet,204.0,0.68,False,"[""M3GNet""]",7.0,0.057,"[""M3GNet""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,299,204,204,0.0,3.0,9.0
0,300,mp_source_coordinate,M3GNet,212.0,0.7066666666666667,True,"[""M3GNet""]",7.0,0.783,"[""M3GNet""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,299,212,212,0.0,3.0,9.0
0,300,mp_source_coordinate,MACE-MP,205.0,0.6833333333333333,False,"[""M3GNet""]",7.0,0.105,"[""M3GNet""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,299,205,205,0.0,3.0,9.0
0,500,alex_pbe_matched_pool_coordinate,ALIGNN-FF,499.0,0.998,False,"[""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,0.306,"[""MACE-MP""]",0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.136,1,499,499,499,0.0,0.0,0.0
0,500,alex_pbe_matched_pool_coordinate,CHGNet,500.0,1.0,True,"[""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.136,1,499,500,500,0.0,0.0,0.0
0,500,alex_pbe_matched_pool_coordinate,M3GNet,500.0,1.0,True,"[""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.136,1,499,500,500,0.0,0.0,0.0
0,500,alex_pbe_matched_pool_coordinate,MACE-MP,500.0,1.0,True,"[""CHGNet"", ""M3GNet"", ""MACE-MP""]",0.0,1.0,"[""MACE-MP""]",0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.136,1,499,500,500,0.0,0.0,0.0
0,500,alex_pbe_source_coordinate,ALIGNN-FF,278.0,0.556,False,"[""M3GNet""]",1.0,0.091,"[""MACE-MP""]",1.0,1.0,0.0,0.0,11.024999999999975,0.0,0.0,12.0,0.491,1,499,278,278,0.0,3.0,11.0
0,500,alex_pbe_source_coordinate,CHGNet,277.0,0.554,False,"[""M3GNet""]",1.0,0.03,"[""MACE-MP""]",1.0,1.0,0.0,0.0,11.024999999999975,0.0,0.0,12.0,0.491,1,499,277,277,0.0,3.0,11.0
0,500,alex_pbe_source_coordinate,M3GNet,283.0,0.566,True,"[""M3GNet""]",1.0,0.608,"[""MACE-MP""]",1.0,1.0,0.0,0.0,11.024999999999975,0.0,0.0,12.0,0.491,1,499,283,283,0.0,3.0,11.0
0,500,alex_pbe_source_coordinate,MACE-MP,282.0,0.564,False,"[""M3GNet""]",1.0,0.361,"[""MACE-MP""]",1.0,1.0,0.0,0.0,11.024999999999975,0.0,0.0,12.0,0.491,1,499,282,282,0.0,3.0,11.0
0,500,alexmp20_source_coordinate,ALIGNN-FF,320.0,0.64,False,"[""MACE-MP""]",1.0,0.257,"[""MACE-MP""]",0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.417,1,499,320,320,0.0,3.0,9.024999999999977
0,500,alexmp20_source_coordinate,CHGNet,314.0,0.628,False,"[""MACE-MP""]",1.0,0.01,"[""MACE-MP""]",0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.417,1,499,314,314,0.0,3.0,9.024999999999977
