threshold_meV_per_atom,metric,model_a,model_b,coordinate_endpoint,pairwise_margin_a_minus_b,difference_in_differences_vs_mp,pairwise_margin_range_across_endpoints,pairwise_margin_changes_sign
0,expected_stable_hits,M3GNet,MACE-MP,mp_matched_pool_coordinate,3.0,8.0,15.0,True
0,expected_stable_hits,M3GNet,MACE-MP,mp_source_coordinate,-5.0,0.0,15.0,True
0,expected_stable_yield,ALIGNN-FF,CHGNet,alex_pbe_matched_pool_coordinate,-0.027000000000000024,-0.008000000000000007,0.02199999999999991,False
0,expected_stable_yield,ALIGNN-FF,CHGNet,alex_pbe_source_coordinate,-0.02199999999999991,-0.0029999999999998916,0.02199999999999991,False
0,expected_stable_yield,ALIGNN-FF,CHGNet,alexmp20_source_coordinate,-0.030000000000000027,-0.01100000000000001,0.02199999999999991,False
0,expected_stable_yield,ALIGNN-FF,CHGNet,mp_matched_pool_coordinate,-0.040999999999999925,-0.02199999999999991,0.02199999999999991,False
0,expected_stable_yield,ALIGNN-FF,CHGNet,mp_source_coordinate,-0.019000000000000017,0.0,0.02199999999999991,False
0,expected_stable_yield,ALIGNN-FF,M3GNet,alex_pbe_matched_pool_coordinate,-0.026000000000000023,0.018000000000000016,0.03600000000000003,False
0,expected_stable_yield,ALIGNN-FF,M3GNet,alex_pbe_source_coordinate,-0.050999999999999934,-0.006999999999999895,0.03600000000000003,False
0,expected_stable_yield,ALIGNN-FF,M3GNet,alexmp20_source_coordinate,-0.062000000000000055,-0.018000000000000016,0.03600000000000003,False
0,expected_stable_yield,ALIGNN-FF,M3GNet,mp_matched_pool_coordinate,-0.04399999999999993,1.1102230246251565e-16,0.03600000000000003,False
0,expected_stable_yield,ALIGNN-FF,M3GNet,mp_source_coordinate,-0.04400000000000004,0.0,0.03600000000000003,False
0,expected_stable_yield,ALIGNN-FF,MACE-MP,alex_pbe_matched_pool_coordinate,-0.02300000000000002,0.026000000000000023,0.029000000000000026,False
0,expected_stable_yield,ALIGNN-FF,MACE-MP,alex_pbe_source_coordinate,-0.04399999999999993,0.0050000000000001155,0.029000000000000026,False
0,expected_stable_yield,ALIGNN-FF,MACE-MP,alexmp20_source_coordinate,-0.052000000000000046,-0.0030000000000000027,0.029000000000000026,False
0,expected_stable_yield,ALIGNN-FF,MACE-MP,mp_matched_pool_coordinate,-0.040999999999999925,0.008000000000000118,0.029000000000000026,False
