model_name,K,row_n,unique_score_n,rows_in_non_singleton_ties_n,largest_tie_block_n,maximum_score_tie_block_n,boundary_score,strictly_before_boundary_n,boundary_tie_n,selected_from_boundary_n,tie_decimals
ALIGNN-FF,100,36650,36605,90,2,1,1.810661280155,99,1,1,12
ALIGNN-FF,300,36650,36605,90,2,1,0.956046740214,299,1,1,12
ALIGNN-FF,500,36650,36605,90,2,1,0.631121110916,499,1,1,12
ALIGNN-FF,1000,36650,36605,90,2,1,0.39319832325,999,1,1,12
ALIGNN-FF,5000,36650,36605,90,2,1,0.133380598492,4999,1,1,12
CHGNet,100,36650,36391,514,4,1,1.951856791973,99,1,1,12
CHGNet,300,36650,36391,514,4,1,0.999785372189,299,1,1,12
CHGNet,500,36650,36391,514,4,1,0.634941526822,499,1,1,12
CHGNet,1000,36650,36391,514,4,1,0.328830438502,999,1,1,12
CHGNet,5000,36650,36391,514,4,1,0.104039101374,4999,1,1,12
M3GNet,100,36650,36534,228,3,1,1.754652756232,99,1,1,12
M3GNet,300,36650,36534,228,3,1,0.925812516894,299,1,1,12
M3GNet,500,36650,36534,228,3,1,0.568228340149,499,1,1,12
M3GNet,1000,36650,36534,228,3,1,0.320195028517,999,1,1,12
M3GNet,5000,36650,36534,228,3,1,0.10314065218,4999,1,1,12
MACE-MP,100,36650,36537,226,2,1,1.754118760427,99,1,1,12
MACE-MP,300,36650,36537,226,2,1,0.874098658562,299,1,1,12
MACE-MP,500,36650,36537,226,2,1,0.53250863817,499,1,1,12
MACE-MP,1000,36650,36537,226,2,1,0.293626475334,999,1,1,12
MACE-MP,5000,36650,36537,226,2,1,0.097941322327,4999,1,1,12
