threshold_meV_per_atom,metric,coordinate_endpoint,mp_selected_models_json,endpoint_best_value,regret_min,regret_max,regret_definition
0,ap,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",0.9529643258216551,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,ap,alex_pbe_source_coordinate,"[""MACE-MP""]",0.640328505679265,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,ap,alexmp20_source_coordinate,"[""MACE-MP""]",0.6871462750408757,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,ap,mp_matched_pool_coordinate,"[""MACE-MP""]",0.8885254935934132,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,ap,mp_source_coordinate,"[""MACE-MP""]",0.759751245816223,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,auroc,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",0.9370025028522367,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,auroc,alex_pbe_source_coordinate,"[""MACE-MP""]",0.8419048640892332,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,auroc,alexmp20_source_coordinate,"[""MACE-MP""]",0.8489539935612578,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,auroc,mp_matched_pool_coordinate,"[""MACE-MP""]",0.8982317890146664,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,auroc,mp_source_coordinate,"[""MACE-MP""]",0.8672573798481336,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,excess_hits_over_random,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",454.706684856753,4.0,4.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,excess_hits_over_random,alex_pbe_source_coordinate,"[""MACE-MP""]",273.54024556616645,7.0,7.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,excess_hits_over_random,alexmp20_source_coordinate,"[""MACE-MP""]",315.03547066848563,10.0,10.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,excess_hits_over_random,mp_matched_pool_coordinate,"[""MACE-MP""]",486.12414733969985,3.0,3.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,excess_hits_over_random,mp_source_coordinate,"[""MACE-MP""]",349.6957708049113,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_hits,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",1000.0,4.0,4.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_hits,alex_pbe_source_coordinate,"[""MACE-MP""]",605.0,7.0,7.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_hits,alexmp20_source_coordinate,"[""MACE-MP""]",677.0,10.0,10.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_hits,mp_matched_pool_coordinate,"[""MACE-MP""]",973.0,3.0,3.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_hits,mp_source_coordinate,"[""MACE-MP""]",759.0,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_yield,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",1.0,0.0040000000000000036,0.0040000000000000036,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_yield,alex_pbe_source_coordinate,"[""MACE-MP""]",0.605,0.007000000000000006,0.007000000000000006,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_yield,alexmp20_source_coordinate,"[""MACE-MP""]",0.677,0.010000000000000009,0.010000000000000009,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_yield,mp_matched_pool_coordinate,"[""MACE-MP""]",0.973,0.0030000000000000027,0.0030000000000000027,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,expected_stable_yield,mp_source_coordinate,"[""MACE-MP""]",0.759,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,normalized_ap,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",0.8965582083026499,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,normalized_ap,alex_pbe_source_coordinate,"[""MACE-MP""]",0.4620047234162543,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,normalized_ap,alexmp20_source_coordinate,"[""MACE-MP""]",0.5096609211532711,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,normalized_ap,mp_matched_pool_coordinate,"[""MACE-MP""]",0.7827533414973195,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
0,normalized_ap,mp_source_coordinate,"[""MACE-MP""]",0.5932783573913147,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
10,ap,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",0.9639251047535957,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
10,ap,alex_pbe_source_coordinate,"[""MACE-MP""]",0.7714142208052451,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
10,ap,alexmp20_source_coordinate,"[""MACE-MP""]",0.7866699105934566,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
10,ap,mp_matched_pool_coordinate,"[""MACE-MP""]",0.915064020470566,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
10,ap,mp_source_coordinate,"[""MACE-MP""]",0.8320233802153887,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
10,auroc,alex_pbe_matched_pool_coordinate,"[""MACE-MP""]",0.9335085710377846,0.0,0.0,endpoint best minus performance of a model selected as best on the MP coordinate at the same threshold
