support,threshold_meV_per_atom,endpoint_a,endpoint_b,n,switch_n,switch_rate,endpoint_a_positive_rate,endpoint_b_positive_rate
Mphys,10,mp_source_coordinate,alex_pbe_source_coordinate,36650,4856,0.13249658935879946,0.5237926330150068,0.4820463847203274
Mphys,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,3290,0.08976807639836289,0.4954160982264666,0.4820463847203274
Mphys,10,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,36650,4768,0.13009549795361527,0.5813915416098226,0.6499317871759891
Mphys,25,mp_source_coordinate,alexmp20_source_coordinate,36650,3240,0.08840381991814461,0.6465211459754434,0.6365893587994543
Mphys,25,mp_source_coordinate,alex_pbe_source_coordinate,36650,4151,0.11326057298772169,0.6465211459754434,0.6290313778990451
Mphys,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,2977,0.08122783083219645,0.6365893587994543,0.6290313778990451
Mphys,25,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,36650,4292,0.11710777626193725,0.683956343792633,0.7534788540245566
Mphys,50,mp_source_coordinate,alexmp20_source_coordinate,36650,2383,0.06502046384720328,0.7859208731241474,0.788130968622101
Mphys,50,mp_source_coordinate,alex_pbe_source_coordinate,36650,3268,0.08916780354706685,0.7859208731241474,0.7859208731241474
Mphys,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,2409,0.06572987721691678,0.788130968622101,0.7859208731241474
Mphys,50,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,36650,3404,0.09287858117326057,0.8105593451568895,0.8644201909959073
Mphys,100,mp_source_coordinate,alexmp20_source_coordinate,36650,807,0.022019099590723058,0.977980900409277,1.0
Mphys,100,mp_source_coordinate,alex_pbe_source_coordinate,36650,1504,0.0410368349249659,0.977980900409277,0.9749795361527968
Mphys,100,alexmp20_source_coordinate,alex_pbe_source_coordinate,36650,917,0.025020463847203273,1.0,0.9749795361527968
Mphys,100,mp_matched_pool_coordinate,alex_pbe_matched_pool_coordinate,36650,1266,0.034542974079126876,0.9757435197817189,0.9885129604365621
