sample_role,material_id,formula,chemical_system,native_mp_ehull,native_alex_ehull,native_mp_stable,native_alex_stable,native_discordant,mp_common_composition_ehull,alex_common_composition_ehull,mp_common_composition_stable,alex_common_composition_stable,common_formula_count,mp_competitor_formula_count,alex_competitor_formula_count,mechanism_class,claim_scope
concordant_control_sample,mp-1205357,KAgF3,Ag-F-K,0.0,0.0,True,True,False,,,,,0,3,17,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-753299,LiAgF2,Ag-F-Li,0.095086063125,0.0782447329166666,False,False,False,,,,,0,19,38,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-760804,Li2AgF4,Ag-F-Li,0.068921813571428,0.0805487664285715,False,False,False,,,,,0,19,38,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-7767,RbAgF3,Ag-F-Rb,0.001153603999998,0.0001677650000004,False,False,False,,,,,0,1,12,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1224733,Gd2ZnAg,Ag-Gd-Zn,0.0,0.0,True,True,False,,,,,1,1,46,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-867245,LaAgHg2,Ag-Hg-La,0.004949376250003,0.0012067247860345,False,False,False,,,,,3,3,110,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-2222914,KMgAg2SbS4,Ag-K-Mg-S-Sb,0.096787971666659,0.0949179832098767,False,False,False,,,,,1,1,191,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-19412,VAg3O4,Ag-O-V,0.030719149999999,0.0307847787500001,False,False,False,,,,,0,12,3,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1105212,Rb2AgPS4,Ag-P-Rb-S,0.0,0.0,True,True,False,,,,,2,2,88,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1229100,Ag2Se,Ag-Se,0.025343620000001,0.0307831149999997,False,False,False,,,,,4,4,17,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1100873,YAgSe2,Ag-Se-Y,0.040672718749998,0.0525320837499991,False,False,False,,,,,1,1,52,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-972524,SmSiAg,Ag-Si-Sm,0.0,0.0,True,True,False,,,,,2,2,38,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-862736,SmAg3,Ag-Sm,0.062381017635136,0.0366989294565218,False,False,False,,,,,4,4,17,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1188064,YbAg3,Ag-Yb,0.045363002499996,0.0307383654166661,False,False,False,,,,,6,6,12,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-865047,Mg2AlB2Ir5,Al-B-Ir-Mg,0.0,0.0,True,True,False,,,,,1,1,108,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-15939,SrAl2B2O7,Al-B-O-Sr,0.000961427916665,0.000964920416667,False,False,False,,,,,0,2,23,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1219359,Sm2Al2Fe15C,Al-C-Fe-Sm,0.031389450064816,0.0379169278611062,False,False,False,,,,,1,1,108,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-972176,Zr5Al3C,Al-C-Zr,0.038045804598763,0.0427040295555549,False,False,False,,,,,9,9,44,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1227019,Ce2Mn7Al10,Al-Ce-Mn,0.023142428529947,0.0402861307017525,False,False,False,,,,,4,4,53,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1226920,Ce2Al11Pd3,Al-Ce-Pd,0.02842589402344,0.0284127245117273,False,False,False,,,,,10,10,73,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1225045,Er2Al3Co,Al-Co-Er,0.031454980000001,0.0376482152083346,False,False,False,,,,,3,3,79,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-12274,LaAl4Co,Al-Co-La,0.0,0.0,True,True,False,,,,,2,2,73,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1217016,TiAlCo2,Al-Co-Ti,0.086721725000002,0.0867217249999994,False,False,False,,,,,4,4,75,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1078489,HoAlCu,Al-Cu-Ho,0.0,0.0,True,True,False,,,,,6,6,95,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1223260,La(Al5Cu)2,Al-Cu-La,0.024090036410255,0.0304489515384593,False,False,False,,,,,6,6,101,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1069375,NdAl3Cu,Al-Cu-Nd,0.0,0.0,True,True,False,,,,,5,5,109,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1225297,DyAlNi4,Al-Dy-Ni,0.0,0.0,True,True,False,,,,,8,8,83,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1078545,ErAlPd,Al-Er-Pd,0.0153762425,0.0047226655555556,False,False,False,,,,,3,3,91,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1079783,EuAl,Al-Eu,0.074368061000001,0.0483135500000004,False,False,False,,,,,4,4,10,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1113775,Rb2AlInF6,Al-F-In-Rb,0.017926034811109,0.0306706205000013,False,False,False,,,,,0,1,24,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1224464,Hf3AlGe5,Al-Ge-Hf,0.055593709444451,0.0370658186728363,False,False,False,,,,,1,1,36,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-568788,La2AlNi9H2,Al-H-La-Ni,0.055809019428568,0.0571693594285713,False,False,False,,,,,0,3,79,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1185517,Mg(AlH4)2,Al-H-Mg,0.047517344545453,0.0403560063636354,False,False,False,,,,,0,3,27,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1080524,LaAl5Ni2,Al-La-Ni,0.0,0.0,True,True,False,,,,,7,7,79,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-866178,Li2NdAl,Al-Li-Nd,0.000458898541666,0.0089052745833337,False,False,False,,,,,2,2,67,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1220636,Nb3Al2Mo3,Al-Mo-Nb,0.024551298900004,0.0302331803999997,False,False,False,,,,,2,2,50,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1218116,TaAlNi,Al-Ni-Ta,0.03117661633334,0.0369358388888887,False,False,False,,,,,5,5,72,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1217963,SrPrAlO4,Al-O-Pr-Sr,0.006274690552731,0.0062811764710835,False,False,False,,,,,0,2,41,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1106219,Zr5AlPb3,Al-Pb-Zr,0.0,0.0,True,True,False,,,,,1,1,35,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1106232,PrAl,Al-Pr,0.003349645,0.0033496450000001,False,False,False,,,,,8,8,17,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-364,AlRh,Al-Rh,0.0,0.0,True,True,False,,,,,5,5,22,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-11220,Sc2Al,Al-Sc,0.0,0.0,True,True,False,,,,,6,6,19,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1247927,Al2Se3,Al-Se,0.080221246,0.087801454,False,False,False,,,,,2,2,7,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-11233,ZrAl,Al-Zr,0.018204155999997,0.0154897766666666,False,False,False,,,,,10,10,18,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-12752,Zr4Al3,Al-Zr,0.0,0.0,True,True,False,,,,,10,10,18,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-863258,Sr2AsAu,As-Au-Sr,0.006150627895831,0.0069077419791665,False,False,False,,,,,2,2,40,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-555074,Hg3AsS4Br,As-Br-Hg-S,0.001731107500001,0.0017080588888878,False,False,False,,,,,1,2,69,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-676464,Cd3AsI3,As-Cd-I,0.0,0.0,True,True,False,,,,,3,3,25,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-10478,CeAsRh,As-Ce-Rh,0.0,0.0,True,True,False,,,,,2,2,38,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1112503,Cs2TlAsF6,As-Cs-F-Tl,0.005042952749997,0.0052729184999993,False,False,False,,,,,0,1,42,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1209892,Nd(FeAs3)4,As-Fe-Nd,0.0,0.0,True,True,False,,,,,2,2,27,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1223791,InGaAs2,As-Ga-In,0.0321341,0.0298857325000003,False,False,False,,,,,3,3,33,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-9124,LiZnAs,As-Li-Zn,0.0,0.0,True,True,False,,,,,1,1,51,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1112918,Cs2YAuBr6,Au-Br-Cs-Y,0.095617688249996,0.0955338452499994,False,False,False,,,,,1,1,85,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1113546,Rb2HgAuBr6,Au-Br-Hg-Rb,0.061487237999999,0.0693563203749998,False,False,False,,,,,1,1,214,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-9040,Ca3AuN,Au-Ca-N,0.020319659999998,0.0206056259999982,False,False,False,,,,,0,3,22,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1183643,CdAu3,Au-Cd,0.003911571249993,0.0055240750000002,False,False,False,,,,,6,6,36,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1072041,GdCu4Au,Au-Cu-Gd,0.0,0.0,True,True,False,,,,,2,2,42,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1102090,Ga2Au,Au-Ga,0.09809407083333,0.095683315,False,False,False,,,,,5,5,20,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-30381,Li2GaAu,Au-Ga-Li,0.0,0.0,True,True,False,,,,,3,3,137,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-635426,GdAu,Au-Gd,0.0,0.0,True,True,False,,,,,3,3,5,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-862722,LiHoAu2,Au-Ho-Li,0.009861843437505,0.0088821425,False,False,False,,,,,1,1,55,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1184617,Ho2ZnAu,Au-Ho-Zn,0.013419112499999,0.0154975112500013,False,False,False,,,,,1,1,113,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1112333,K2TlAuI6,Au-I-K-Tl,0.094231981,0.0971667444999977,False,False,False,,,,,1,1,185,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-866171,YMgAu2,Au-Mg-Y,0.0,0.0,True,True,False,,,,,2,2,86,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-11252,MnAu2,Au-Mn,0.0,0.0,True,True,False,,,,,8,8,18,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1105839,Sm(CoB)4,B-Co-Sm,0.0,0.0,True,True,False,,,,,10,11,45,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-5714,TmCo3B2,B-Co-Tm,0.0,0.0,True,True,False,,,,,8,8,46,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-15809,Cr2B,B-Cr,0.067169883333331,0.0012028224999998,False,False,False,,,,,8,8,12,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-260,CrB,B-Cr,0.010095695,0.009382423749999,False,False,False,,,,,8,8,12,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-983565,CuBSe2,B-Cu-Se,0.005428625950001,0.0468120279166681,False,False,False,,,,,1,1,27,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1106175,Mg2GeB2Ir5,B-Ge-Ir-Mg,0.0,0.0,True,True,False,,,,,1,1,78,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-8365,MnB,B-Mn,0.0,0.0,True,True,False,,,,,6,6,11,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1215920,YB2Mo,B-Mo-Y,0.097765241805557,0.0977652418055559,False,False,False,,,,,3,3,22,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-10129,TmNi4B,B-Ni-Tm,0.0,0.0,True,True,False,,,,,9,9,50,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1188249,TmB2Os,B-Os-Tm,0.0,0.0,True,True,False,,,,,3,3,26,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1215922,YSiBRh3,B-Rh-Si-Y,0.076231861250006,0.0764108300000003,False,False,False,,,,,1,1,100,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1024941,YB2Rh3,B-Rh-Y,0.0,0.0,True,True,False,,,,,7,7,45,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-56,Ba,Ba,0.015972544999999,0.0159542999999999,False,False,False,0.015972544999999002,0.015954299999999977,False,False,1,1,1,concordant_under_native_and_common_composition,common_composition_hull_proxy_subset
concordant_control_sample,mp-15472,Ba4LiCu(CO5)2,Ba-C-Cu-Li-O,0.0,0.0,True,True,False,,,,,0,1,79,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-4559,BaCO3,Ba-C-O,0.021844735000001,0.0218447350000037,False,False,False,,,,,0,8,7,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-558231,Ba3Ho2Cu2PtO10,Ba-Cu-Ho-O-Pt,0.025942222152788,0.0119653589705883,False,False,False,,,,,0,2,112,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1228350,Ba2ScCuO4,Ba-Cu-O-Sc,0.0,0.0,True,True,False,,,,,0,3,31,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1214577,Ba2Sm(CuO2)4,Ba-Cu-O-Sm,0.0,0.0,True,True,False,,,,,0,7,30,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1517277,BaEuHfZrO6,Ba-Eu-Hf-O-Zr,0.04404608825,0.0475107017500011,False,False,False,,,,,0,1,26,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1183392,BaSr2Eu,Ba-Eu-Sr,0.045107088749998,0.0482165489000001,False,False,False,,,,,2,2,51,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1103747,BaGe6,Ba-Ge,0.060501316964286,0.0522275958928588,False,False,False,,,,,15,15,20,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-13140,BaLiGe2,Ba-Ge-Li,0.0,0.0,True,True,False,,,,,2,2,72,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-867912,Ba2SnHg,Ba-Hg-Sn,0.0,0.0,True,True,False,,,,,3,3,106,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1228262,Ba2Y2Mn4O11,Ba-Mn-O-Y,0.037077382390359,0.0318640816140494,False,False,False,,,,,0,7,13,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1214424,BaNa3(PO4)2,Ba-Na-O-P,0.030977829017846,0.0314928166964225,False,False,False,,,,,0,3,57,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1205691,Ba2ZnOsO6,Ba-O-Os-Zn,0.0,0.0,True,True,False,,,,,0,1,25,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1522690,BaSrPrSnO6,Ba-O-Pr-Sn-Sr,0.075396946203125,0.075940556015623,False,False,False,,,,,0,1,109,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1518103,BaSrPrWO6,Ba-O-Pr-Sr-W,0.044418244458324,0.0510371807499971,False,False,False,,,,,0,1,47,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-21246,Ba2Pb,Ba-Pb,0.0,0.0,True,True,False,,,,,5,5,16,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-768203,BeH2,Be-H,0.0,0.0,True,True,False,,,,,0,2,1,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1110723,Rb2CuBiBr6,Bi-Br-Cu-Rb,0.042909025124997,0.0508648697083398,False,False,False,,,,,1,1,75,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-752949,BiOF,Bi-F-O,0.049569285833332,0.0343092116666658,False,False,False,,,,,0,15,1,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1221875,MnFe3(BiO3)4,Bi-Fe-Mn-O,0.03937309520834,0.039370680250002,False,False,False,,,,,0,3,28,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1067937,Ho2BiO2,Bi-Ho-O,0.0,0.0,True,True,False,,,,,0,5,10,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-2229851,K6Mg(BiO4)2,Bi-K-Mg-O,0.090718046029416,0.0907724795588231,False,False,False,,,,,0,5,41,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1028071,Mg14MnBi,Bi-Mg-Mn,0.091871647473059,0.0874918456060047,False,False,False,,,,,2,2,28,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1028329,Mg14NiBi,Bi-Mg-Ni,0.087677510677083,0.0822330428379236,False,False,False,,,,,3,3,43,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1216575,Tl4Bi,Bi-Tl,0.026826100333337,0.0296893513333333,False,False,False,,,,,5,5,19,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-568066,Pr2CBr,Br-C-Pr,0.0,0.0,True,True,False,,,,,9,9,27,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1112177,CsTlBr3,Br-Cs-Tl,0.012241769749997,0.0113081332499991,False,False,False,,,,,5,5,51,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-998612,KGeBr3,Br-Ge-K,0.0,0.0,True,True,False,,,,,1,1,29,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1114106,Rb3InBr6,Br-In-Rb,0.0576820855,0.0576820855000006,False,False,False,,,,,3,3,53,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-567780,RbSn2Br5,Br-Rb-Sn,0.011171426562495,0.0012684496875001,False,False,False,,,,,3,3,43,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-997182,C,C,0.014401535000001,0.0099297174999986,False,False,False,0.014401535000001001,0.009929717499998603,False,False,1,1,1,concordant_under_native_and_common_composition,common_composition_hull_proxy_subset
concordant_control_sample,mp-6524,CaMg3(CO3)4,C-Ca-Mg-O,0.003653424500001,0.0036456560000015,False,False,False,,,,,0,12,48,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1218086,Ta6Co(CS2)3,C-Co-S-Ta,0.037698032499999,0.0346326290625,False,False,False,,,,,1,1,68,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1104515,Lu2FeC4,C-Fe-Lu,0.0,0.0,True,True,False,,,,,4,4,30,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-22706,Mn3GeC,C-Ge-Mn,0.013187981739129,0.0184443359999999,False,False,False,,,,,1,1,25,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-642991,TbH3(CO2)3,C-H-O-Tb,0.076864080769241,0.0766325267788419,False,False,False,,,,,0,3,6,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-2228787,MgV2(CO3)4,C-Mg-O-V,0.031486574802629,0.0319651186184177,False,False,False,,,,,0,5,26,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-999144,SmNiC2,C-Ni-Sm,0.0,0.0,True,True,False,,,,,2,2,25,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-2795,ZrC,C-Zr,0.0,0.0,True,True,False,,,,,3,3,9,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-866104,CaCdHg2,Ca-Cd-Hg,0.0,0.0,True,True,False,,,,,2,2,154,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-22936,Ca2NCl,Ca-Cl-N,0.0,0.0,True,True,False,,,,,0,3,1,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1282800,Ca2CrWO6,Ca-Cr-O-W,0.015114458194442,0.0136174109166677,False,False,False,,,,,0,2,25,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-998428,CsCaI3,Ca-Cs-I,0.0,0.0,True,True,False,,,,,1,1,22,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1400773,Ca(FeO2)2,Ca-Fe-O,0.054162608392847,0.048315043392864,False,False,False,,,,,0,20,2,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1094055,Sr3Ca(FeO3)4,Ca-Fe-O-Sr,0.013213005375005,0.0132130053749994,False,False,False,,,,,0,7,38,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1183464,Ca2ZnHg,Ca-Hg-Zn,0.013920215000001,0.0139202149999999,False,False,False,,,,,1,1,78,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-998592,RbCaI3,Ca-I-Rb,0.0,0.0,True,True,False,,,,,1,1,19,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-756500,Sr2CaI6,Ca-I-Sr,0.062325065833332,0.0699194622222219,False,False,False,,,,,4,4,47,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1367209,CaNd2Ti2Mn2O12,Ca-Mn-Nd-O-Ti,0.071006519846486,0.0707767383223725,False,False,False,,,,,0,2,32,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1227657,Ca3MnO4,Ca-Mn-O,0.03100333375,0.0176611931249999,False,False,False,,,,,0,33,4,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1186132,NaCa3,Ca-Na,0.081487712499999,0.0675430983620688,False,False,False,,,,,2,2,20,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-38843,CaTa2O6,Ca-O-Ta,0.098550697222222,0.0985507694444436,False,False,False,,,,,0,7,2,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-5157,Ca(PRu)2,Ca-P-Ru,0.0,0.0,True,True,False,,,,,1,1,26,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1218334,Sr5Ca3Si4,Ca-Si-Sr,0.004134818749999,0.0041315664583327,False,False,False,,,,,8,8,63,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1183861,CeEuCd2,Cd-Ce-Eu,0.048233525625004,0.066416071249999,False,False,False,,,,,1,1,23,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-11118,CsPrCdSe3,Cd-Cs-Pr-Se,0.0,0.0,True,True,False,,,,,1,1,74,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1079838,Dy2CdGe2,Cd-Dy-Ge,0.0,0.0,True,True,False,,,,,1,1,38,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1183962,Eu2CdPb,Cd-Eu-Pb,0.0,0.0,True,True,False,,,,,2,2,46,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-30488,CdHg2,Cd-Hg,0.026849116666667,0.0276182691666667,False,False,False,,,,,4,4,40,common_hull_unavailable,common_composition_hull_proxy_subset
