sample_role,material_id,formula,chemical_system,native_mp_ehull,native_alex_ehull,native_mp_stable,native_alex_stable,native_discordant,mp_common_composition_ehull,alex_common_composition_ehull,mp_common_composition_stable,alex_common_composition_stable,common_formula_count,mp_competitor_formula_count,alex_competitor_formula_count,mechanism_class,claim_scope
concordant_control_sample,mp-1112104,K2AlAgBr6,Ag-Al-Br-K,0.102740740249999,0.0967429397500008,False,False,False,,,,,1,1,114,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1188566,VAg2AsO6,Ag-As-O-V,0.016075591749999,0.0205973799999998,False,False,False,,,,,0,2,23,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-864892,NdAgAu2,Ag-Au-Nd,0.011866030044641,0.0097958746130943,False,False,False,,,,,1,1,96,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1227658,BaSr3Ag4,Ag-Ba-Sr,0.007500831906248,0.0063770321874998,False,False,False,,,,,3,3,85,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1110851,K2AgBiF6,Ag-Bi-F-K,0.085758537249997,0.0749270346666657,False,False,False,,,,,0,1,39,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-23454,CsAgBr2,Ag-Br-Cs,0.021267064062498,0.0147399085416668,False,False,False,,,,,3,3,53,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-571100,CsAgBr2,Ag-Br-Cs,0.012572614062498,0.0072798772916664,False,False,False,,,,,3,3,53,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1105645,Ag3SBr,Ag-Br-S,0.098312406499996,0.0524145480000002,False,False,False,,,,,2,2,38,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1188009,ZrCdAg2,Ag-Cd-Zr,0.0,0.0,True,True,False,,,,,1,1,92,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1212465,KCeAgTe4,Ag-Ce-K-Te,0.153018554761905,0.0094274500000004,False,False,False,,,,,2,2,90,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1111468,Rb2GaAgCl6,Ag-Cl-Ga-Rb,0.061879645125001,0.0644121251250018,False,False,False,,,,,0,1,65,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1113588,Cs2InAgF6,Ag-Cs-F-In,0.0,0.0,True,True,False,,,,,0,2,54,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-2618,DyAg2,Ag-Dy,0.0,0.0,True,True,False,,,,,4,4,15,common_hull_unavailable,common_composition_hull_proxy_subset
concordant_control_sample,mp-1225134,EuGaAg4,Ag-Eu-Ga,0.011971512500004,0.009076437962963,False,False,False,,,,,5,5,64,common_hull_unavailable,common_composition_hull_proxy_subset
