denominator,model_name,label_view,metric,value,ci_low_95,ci_high_95,bootstrap_method
D5_full_complete,ALIGNN-FF,mp_native,f1,0.35032610142419807,0.3454497037044419,0.35520249914395424,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,mp_native,precision,0.35032610142419807,0.3454497037044419,0.35520249914395424,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,mp_native,recall,0.35032610142419807,0.3454497037044419,0.35520249914395424,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,mp_native,balanced_accuracy,0.45067700922748327,0.4455911802517056,0.45576283820326097,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,mp_native,auroc,0.4633158203470023,0.4582188380678921,0.4684128026261125,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,mp_native,auprc,0.3801416610243876,0.3751799196868713,0.38510340236190393,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alexmp20_native,f1,0.3108636773999398,0.30613267985469395,0.31559467494518567,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alexmp20_native,precision,0.3108636773999398,0.30613267985469395,0.31559467494518567,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alexmp20_native,recall,0.3108636773999398,0.30613267985469395,0.31559467494518567,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alexmp20_native,balanced_accuracy,0.4603472878629805,0.4552526286547699,0.46544194707119113,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alexmp20_native,auroc,0.4707274794056062,0.4656254893116633,0.47582946949954913,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alexmp20_native,auprc,0.3351240909283344,0.3302991912792748,0.339948990577394,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alex_pbe_native,f1,0.29177282814169475,0.28712635022945093,0.29641930605393857,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alex_pbe_native,precision,0.29177282814169475,0.28712635022945093,0.29641930605393857,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alex_pbe_native,recall,0.29177282814169475,0.28712635022945093,0.29641930605393857,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alex_pbe_native,balanced_accuracy,0.47075837569998324,0.4656563670951552,0.4758603843048113,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alex_pbe_native,auroc,0.48272191321508673,0.4776142093518054,0.4878296170783681,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,alex_pbe_native,auprc,0.31276013854400475,0.3080212659657093,0.3174990111223002,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,common_pool,f1,0.48337983743782603,0.4778935146654832,0.4888661602101689,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,common_pool,precision,0.48337983743782603,0.4778935146654832,0.4888661602101689,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,common_pool,recall,0.48337983743782603,0.4778935146654832,0.4888661602101689,deterministic_binomial_approximation_phase2_v1
D5_full_complete,ALIGNN-FF,common_pool,balanced_accuracy,0.46491232870201454,0.4594365055090989,0.47038815189493016,deterministic_binomial_approximation_phase2_v1
