denominator,label_view,metric,model_name,metric_value,rank,real_model_rank
D5_full_complete,mp_native,f1,ALIGNN-FF,0.35032610142419807,12,4
D5_full_complete,mp_native,precision,ALIGNN-FF,0.35032610142419807,12,4
D5_full_complete,mp_native,recall,ALIGNN-FF,0.35032610142419807,12,4
D5_full_complete,mp_native,balanced_accuracy,ALIGNN-FF,0.45067700922748327,12,4
D5_full_complete,mp_native,auroc,ALIGNN-FF,0.4633158203470023,12,4
D5_full_complete,mp_native,auprc,ALIGNN-FF,0.3801416610243876,12,4
D5_full_complete,mp_native,stable_yield@100,ALIGNN-FF,0.52,9,4
D5_full_complete,mp_native,stable_yield@300,ALIGNN-FF,0.4166666666666667,10,4
D5_full_complete,mp_native,stable_yield@500,ALIGNN-FF,0.404,11,4
D5_full_complete,mp_native,stable_yield@1000,ALIGNN-FF,0.404,11,4
D5_full_complete,mp_native,stable_yield@5000,ALIGNN-FF,0.3388,12,4
D5_full_complete,mp_native,stable_yield@10000,ALIGNN-FF,0.3413,11,3
D5_full_complete,alexmp20_native,f1,ALIGNN-FF,0.3108636773999398,12,4
D5_full_complete,alexmp20_native,precision,ALIGNN-FF,0.3108636773999398,12,4
D5_full_complete,alexmp20_native,recall,ALIGNN-FF,0.3108636773999398,12,4
D5_full_complete,alexmp20_native,balanced_accuracy,ALIGNN-FF,0.4603472878629805,12,4
D5_full_complete,alexmp20_native,auroc,ALIGNN-FF,0.4707274794056062,12,4
D5_full_complete,alexmp20_native,auprc,ALIGNN-FF,0.3351240909283344,12,4
D5_full_complete,alexmp20_native,stable_yield@100,ALIGNN-FF,0.35,10,3
D5_full_complete,alexmp20_native,stable_yield@300,ALIGNN-FF,0.2633333333333333,12,4
D5_full_complete,alexmp20_native,stable_yield@500,ALIGNN-FF,0.268,12,4
D5_full_complete,alexmp20_native,stable_yield@1000,ALIGNN-FF,0.323,12,4
D5_full_complete,alexmp20_native,stable_yield@5000,ALIGNN-FF,0.2964,12,4
D5_full_complete,alexmp20_native,stable_yield@10000,ALIGNN-FF,0.3053,12,4
D5_full_complete,alex_pbe_native,f1,ALIGNN-FF,0.29177282814169475,11,3
D5_full_complete,alex_pbe_native,precision,ALIGNN-FF,0.29177282814169475,11,3
D5_full_complete,alex_pbe_native,recall,ALIGNN-FF,0.29177282814169475,11,3
D5_full_complete,alex_pbe_native,balanced_accuracy,ALIGNN-FF,0.47075837569998324,11,3
D5_full_complete,alex_pbe_native,auroc,ALIGNN-FF,0.48272191321508673,11,3
D5_full_complete,alex_pbe_native,auprc,ALIGNN-FF,0.31276013854400475,12,4
D5_full_complete,alex_pbe_native,stable_yield@100,ALIGNN-FF,0.29,11,4
D5_full_complete,alex_pbe_native,stable_yield@300,ALIGNN-FF,0.22,12,4
D5_full_complete,alex_pbe_native,stable_yield@500,ALIGNN-FF,0.238,12,4
D5_full_complete,alex_pbe_native,stable_yield@1000,ALIGNN-FF,0.299,12,4
D5_full_complete,alex_pbe_native,stable_yield@5000,ALIGNN-FF,0.2894,12,4
D5_full_complete,alex_pbe_native,stable_yield@10000,ALIGNN-FF,0.2917,11,3
D5_full_complete,common_pool,f1,ALIGNN-FF,0.48337983743782603,11,4
D5_full_complete,common_pool,precision,ALIGNN-FF,0.48337983743782603,11,4
D5_full_complete,common_pool,recall,ALIGNN-FF,0.48337983743782603,11,4
D5_full_complete,common_pool,balanced_accuracy,ALIGNN-FF,0.46491232870201454,11,4
D5_full_complete,common_pool,auroc,ALIGNN-FF,0.47764713928991565,11,3
D5_full_complete,common_pool,auprc,ALIGNN-FF,0.4963726286121347,12,4
D5_full_complete,common_pool,stable_yield@100,ALIGNN-FF,0.57,10,4
D5_full_complete,common_pool,stable_yield@300,ALIGNN-FF,0.48333333333333334,12,4
D5_full_complete,common_pool,stable_yield@500,ALIGNN-FF,0.48,11,4
D5_full_complete,common_pool,stable_yield@1000,ALIGNN-FF,0.499,10,4
D5_full_complete,common_pool,stable_yield@5000,ALIGNN-FF,0.466,12,4
D5_full_complete,common_pool,stable_yield@10000,ALIGNN-FF,0.4708,11,3
D5_full_complete,consensus,f1,ALIGNN-FF,0.32981975334668495,12,4
D5_full_complete,consensus,precision,ALIGNN-FF,0.32981975334668495,12,4
D5_full_complete,consensus,recall,ALIGNN-FF,0.32981975334668495,12,4
D5_full_complete,consensus,balanced_accuracy,ALIGNN-FF,0.4547558474540657,12,4
D5_full_complete,consensus,auroc,ALIGNN-FF,0.4725325785828121,12,4
D5_full_complete,consensus,auprc,ALIGNN-FF,0.3600787647691679,12,4
D5_full_complete,consensus,stable_yield@100,ALIGNN-FF,0.37,12,4
D5_full_complete,consensus,stable_yield@300,ALIGNN-FF,0.3,12,4
D5_full_complete,consensus,stable_yield@500,ALIGNN-FF,0.35,12,4
D5_full_complete,consensus,stable_yield@1000,ALIGNN-FF,0.355,11,4
D5_full_complete,consensus,stable_yield@5000,ALIGNN-FF,0.326,12,4
D5_full_complete,consensus,stable_yield@10000,ALIGNN-FF,0.33,12,4
D5_full_complete,uncertain,f1,ALIGNN-FF,0.3081036610448375,9,4
D5_full_complete,uncertain,precision,ALIGNN-FF,0.3081036610448375,9,4
D5_full_complete,uncertain,recall,ALIGNN-FF,0.3081036610448375,9,4
D5_full_complete,uncertain,balanced_accuracy,ALIGNN-FF,0.4832140958998462,9,4
D5_full_complete,uncertain,auroc,ALIGNN-FF,0.47722301859426114,11,4
D5_full_complete,uncertain,auprc,ALIGNN-FF,0.3173117638568035,11,4
D5_full_complete,uncertain,stable_yield@100,ALIGNN-FF,0.38,6,4
D5_full_complete,uncertain,stable_yield@300,ALIGNN-FF,0.36333333333333334,6,4
D5_full_complete,uncertain,stable_yield@500,ALIGNN-FF,0.322,6,4
