denominator,model_name,label_view,K,metric,value,ci_low_95,ci_high_95,ci_denominator_n,bootstrap_method,metric_status
D5_full_complete,ALIGNN-FF,mp_native,500,false_positive_burden@500,0.596,0.5529884709781203,0.6390115290218796,500.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,500,recall@500,0.013443364834287236,0.011601959561168393,0.015284770107406078,15026.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,500,DAF@500,0.9885981631838148,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,mp_native,1000,precision@1000,0.404,0.3735862561594269,0.43441374384057313,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,1000,stable_yield@1000,0.404,0.3735862561594269,0.43441374384057313,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,1000,uncertain_fraction@1000,0.0,0.0,0.0,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,1000,false_positive_burden@1000,0.596,0.5655862561594268,0.6264137438405731,1000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,1000,recall@1000,0.02688672966857447,0.024300392941984043,0.0294730663951649,15026.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,1000,DAF@1000,0.9885981631838148,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,mp_native,5000,precision@5000,0.3388,0.3256807444289243,0.3519192555710757,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,5000,stable_yield@5000,0.3388,0.3256807444289243,0.3519192555710757,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,5000,uncertain_fraction@5000,0.0,0.0,0.0,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,5000,false_positive_burden@5000,0.6612,0.6480807444289244,0.6743192555710756,5000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,5000,recall@5000,0.11273792093704246,0.1076808930321721,0.11779494884191283,15026.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,5000,DAF@5000,0.8290521229868228,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,mp_native,10000,precision@10000,0.3413,0.3320067408661116,0.3505932591338884,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,10000,stable_yield@10000,0.3413,0.3320067408661116,0.3505932591338884,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,10000,uncertain_fraction@10000,0.0,0.0,0.0,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,10000,false_positive_burden@10000,0.6587000000000001,0.6494067408661117,0.6679932591338884,10000.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,10000,recall@10000,0.2271396246506056,0.2204402949486551,0.2338389543525561,15026.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,mp_native,10000,DAF@10000,0.8351696858778118,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alexmp20_native,100,precision@100,0.35,0.2565139582611393,0.44348604173886064,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,100,stable_yield@100,0.35,0.2565139582611393,0.44348604173886064,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,100,uncertain_fraction@100,0.0,0.0,0.0,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,100,false_positive_burden@100,0.65,0.5565139582611394,0.7434860417388607,100.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,100,recall@100,0.0026331628046945533,0.001761944036213057,0.0035043815731760496,13292.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,100,DAF@100,0.9681876316581403,,,,deterministic_binomial_topk_approximation_phase2_v1,point_estimate_only_ratio_metric
D5_full_complete,ALIGNN-FF,alexmp20_native,300,precision@300,0.2633333333333333,0.21349266334199807,0.31317400332466855,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,300,stable_yield@300,0.2633333333333333,0.21349266334199807,0.31317400332466855,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,300,uncertain_fraction@300,0.0,0.0,0.0,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
D5_full_complete,ALIGNN-FF,alexmp20_native,300,false_positive_burden@300,0.7366666666666667,0.6868259966753315,0.7865073366580019,300.0,deterministic_binomial_topk_approximation_phase2_v1,ok
