denominator,model_name,label_view,metric,value,ci_low_95,ci_high_95,bootstrap_replicates,bootstrap_method,metric_status
D5_family_complete,ALIGNN-FF,mp_native,f1,0.3502727151789278,0.3438912628128436,0.3551828544278654,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,mp_native,precision,0.3502727151789278,0.3438912628128436,0.3551828544278654,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,mp_native,recall,0.3502727151789278,0.3438912628128436,0.3551828544278654,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,mp_native,balanced_accuracy,0.4507703156931023,0.44587067088532784,0.4545115204664381,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,mp_native,auroc,0.46338782650053,0.4572395791119381,0.467919174708933,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,mp_native,auprc,0.3800404239143464,0.37462912357092004,0.3858003427452271,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alexmp20_native,f1,0.31090225563909774,0.3021021283933812,0.318660612566695,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alexmp20_native,precision,0.31090225563909774,0.3021021283933812,0.318660612566695,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alexmp20_native,recall,0.31090225563909774,0.3021021283933812,0.318660612566695,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alexmp20_native,balanced_accuracy,0.4604677221519461,0.4547771895901306,0.4658944592595574,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alexmp20_native,auroc,0.47078815880651337,0.46563974980664313,0.47611576868357547,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alexmp20_native,auprc,0.33506030471085,0.32935858602241913,0.3399939583405708,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alex_pbe_native,f1,0.2918856767411301,0.2862705468980113,0.3021974729630332,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alex_pbe_native,precision,0.2918856767411301,0.2862705468980113,0.3021974729630332,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alex_pbe_native,recall,0.2918856767411301,0.2862705468980113,0.3021974729630332,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alex_pbe_native,balanced_accuracy,0.4708839575129349,0.4679784130107382,0.4774898406183848,40,deterministic_row_resampling_phase2_v1,ok
D5_family_complete,ALIGNN-FF,alex_pbe_native,auroc,0.4827987217685911,0.47886658819963085,0.4900307422949348,40,deterministic_row_resampling_phase2_v1,ok
