denominator,metric,label_view_a,label_view_b,common_real_model_n,real_model_rank_inversion_count,top_real_model_a,top_real_model_b,top_real_model_inversion,claim_interpretation
D5_family_complete,auprc,alex_pbe_native,alexmp20_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alex_pbe_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alex_pbe_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alex_pbe_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alex_pbe_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alexmp20_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,alexmp20_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,audit_view,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,audit_view,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,audit_view,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,audit_view,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,common_pool,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,common_pool,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,consensus,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,consensus,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auprc,mp_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,alex_pbe_native,alexmp20_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,alex_pbe_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,alex_pbe_native,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,alex_pbe_native,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,alex_pbe_native,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,alexmp20_native,audit_view,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,alexmp20_native,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,alexmp20_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,audit_view,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,audit_view,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,audit_view,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,audit_view,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,common_pool,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,common_pool,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,common_pool,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,auroc,consensus,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,consensus,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,auroc,mp_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,alex_pbe_native,alexmp20_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,alex_pbe_native,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,alex_pbe_native,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,alex_pbe_native,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,alex_pbe_native,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,alexmp20_native,audit_view,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,alexmp20_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,audit_view,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,audit_view,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,audit_view,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,audit_view,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,balanced_accuracy,common_pool,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,common_pool,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,consensus,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,consensus,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,balanced_accuracy,mp_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,alex_pbe_native,alexmp20_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,alex_pbe_native,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,alex_pbe_native,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,alex_pbe_native,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,alex_pbe_native,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,alexmp20_native,audit_view,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,alexmp20_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,audit_view,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,audit_view,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,audit_view,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,audit_view,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,f1,common_pool,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,common_pool,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,common_pool,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,consensus,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,consensus,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,f1,mp_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,alex_pbe_native,alexmp20_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,alex_pbe_native,audit_view,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,alex_pbe_native,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,alex_pbe_native,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,alex_pbe_native,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,alex_pbe_native,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,alexmp20_native,audit_view,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,alexmp20_native,common_pool,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,alexmp20_native,consensus,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,alexmp20_native,mp_native,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,alexmp20_native,uncertain,4,0,MACE-MP,MACE-MP,False,real_model_order_stable_for_this_pair
D5_family_complete,precision,audit_view,common_pool,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,audit_view,consensus,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,audit_view,mp_native,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
D5_family_complete,precision,audit_view,uncertain,4,1,MACE-MP,MACE-MP,False,lower_rank_real_model_order_changes
