cluster,threshold_meV_per_atom,K,endpoint,regret_max_hits_ci_low_95,regret_max_hits_median,regret_max_hits_ci_high_95,bootstrap_replicates
chemical_system,0,100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,0,100,alex_pbe_source_coordinate,0.0,0.0,7.0,1000
chemical_system,0,100,alexmp20_source_coordinate,0.0,1.0,6.0,1000
chemical_system,0,100,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,0,100,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,0,300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,0,300,alex_pbe_source_coordinate,0.0,0.0,10.0,1000
chemical_system,0,300,alexmp20_source_coordinate,0.0,0.0,7.0,1000
chemical_system,0,300,mp_matched_pool_coordinate,0.0,0.0,3.0,1000
chemical_system,0,300,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,0,500,alex_pbe_matched_pool_coordinate,0.0,0.0,2.0249999999999773,1000
chemical_system,0,500,alex_pbe_source_coordinate,0.0,0.0,12.024999999999977,1000
chemical_system,0,500,alexmp20_source_coordinate,0.0,0.0,10.0,1000
chemical_system,0,500,mp_matched_pool_coordinate,0.0,0.0,7.0,1000
chemical_system,0,500,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,0,1000,alex_pbe_matched_pool_coordinate,0.0,3.0,7.0,1000
chemical_system,0,1000,alex_pbe_source_coordinate,0.0,2.0,18.0,1000
chemical_system,0,1000,alexmp20_source_coordinate,0.0,3.0,18.0,1000
chemical_system,0,1000,mp_matched_pool_coordinate,0.0,1.0,7.0,1000
chemical_system,0,1000,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,10,100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,10,100,alex_pbe_source_coordinate,0.0,1.0,6.0,1000
chemical_system,10,100,alexmp20_source_coordinate,0.0,1.0,6.024999999999977,1000
chemical_system,10,100,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,10,100,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,10,300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,10,300,alex_pbe_source_coordinate,0.0,0.0,11.0,1000
chemical_system,10,300,alexmp20_source_coordinate,0.0,0.0,8.0,1000
chemical_system,10,300,mp_matched_pool_coordinate,0.0,0.0,2.0,1000
chemical_system,10,300,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,10,500,alex_pbe_matched_pool_coordinate,0.0,0.0,1.0,1000
chemical_system,10,500,alex_pbe_source_coordinate,0.0,0.0,11.0,1000
chemical_system,10,500,alexmp20_source_coordinate,0.0,0.0,9.0,1000
chemical_system,10,500,mp_matched_pool_coordinate,0.0,0.0,3.0,1000
chemical_system,10,500,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,10,1000,alex_pbe_matched_pool_coordinate,0.0,3.0,8.0,1000
chemical_system,10,1000,alex_pbe_source_coordinate,0.0,0.0,11.024999999999977,1000
chemical_system,10,1000,alexmp20_source_coordinate,0.0,1.0,14.0,1000
chemical_system,10,1000,mp_matched_pool_coordinate,0.0,2.0,6.0,1000
chemical_system,10,1000,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,25,100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,25,100,alex_pbe_source_coordinate,0.0,1.0,6.0,1000
chemical_system,25,100,alexmp20_source_coordinate,0.0,0.0,6.0,1000
chemical_system,25,100,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,25,100,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,25,300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,25,300,alex_pbe_source_coordinate,0.0,0.0,7.0,1000
chemical_system,25,300,alexmp20_source_coordinate,0.0,0.0,8.0,1000
chemical_system,25,300,mp_matched_pool_coordinate,0.0,0.0,3.0,1000
chemical_system,25,300,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,25,500,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,25,500,alex_pbe_source_coordinate,0.0,0.0,12.0,1000
chemical_system,25,500,alexmp20_source_coordinate,0.0,0.0,7.0,1000
chemical_system,25,500,mp_matched_pool_coordinate,0.0,0.0,2.0,1000
chemical_system,25,500,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,25,1000,alex_pbe_matched_pool_coordinate,0.0,1.0,4.0,1000
chemical_system,25,1000,alex_pbe_source_coordinate,0.0,0.0,9.0,1000
chemical_system,25,1000,alexmp20_source_coordinate,0.0,0.0,9.0,1000
chemical_system,25,1000,mp_matched_pool_coordinate,0.0,1.0,5.0,1000
chemical_system,25,1000,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,50,100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,50,100,alex_pbe_source_coordinate,0.0,0.0,5.0,1000
chemical_system,50,100,alexmp20_source_coordinate,0.0,1.0,6.0,1000
chemical_system,50,100,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,50,100,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,50,300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,50,300,alex_pbe_source_coordinate,0.0,0.0,5.0,1000
chemical_system,50,300,alexmp20_source_coordinate,0.0,0.0,6.0,1000
chemical_system,50,300,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,50,300,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,50,500,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,50,500,alex_pbe_source_coordinate,0.0,2.0,15.0,1000
chemical_system,50,500,alexmp20_source_coordinate,0.0,1.0,6.0,1000
chemical_system,50,500,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
chemical_system,50,500,mp_source_coordinate,0.0,0.0,0.0,1000
chemical_system,50,1000,alex_pbe_matched_pool_coordinate,0.0,1.0,4.0,1000
chemical_system,50,1000,alex_pbe_source_coordinate,0.0,0.0,6.0,1000
chemical_system,50,1000,alexmp20_source_coordinate,0.0,0.0,8.0,1000
chemical_system,50,1000,mp_matched_pool_coordinate,0.0,1.0,5.0,1000
chemical_system,50,1000,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,0,100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,0,100,alex_pbe_source_coordinate,0.0,1.0,7.0,1000
equivalence_class_id,0,100,alexmp20_source_coordinate,0.0,1.0,6.0,1000
equivalence_class_id,0,100,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,0,100,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,0,300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,0,300,alex_pbe_source_coordinate,0.0,0.0,9.0,1000
equivalence_class_id,0,300,alexmp20_source_coordinate,0.0,0.0,8.0,1000
equivalence_class_id,0,300,mp_matched_pool_coordinate,0.0,0.0,3.0,1000
equivalence_class_id,0,300,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,0,500,alex_pbe_matched_pool_coordinate,0.0,0.0,3.0,1000
equivalence_class_id,0,500,alex_pbe_source_coordinate,0.0,0.0,12.024999999999977,1000
equivalence_class_id,0,500,alexmp20_source_coordinate,0.0,0.0,9.0,1000
equivalence_class_id,0,500,mp_matched_pool_coordinate,0.0,0.0,7.0,1000
equivalence_class_id,0,500,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,0,1000,alex_pbe_matched_pool_coordinate,0.0,3.0,8.0,1000
equivalence_class_id,0,1000,alex_pbe_source_coordinate,0.0,1.0,17.0,1000
equivalence_class_id,0,1000,alexmp20_source_coordinate,0.0,3.0,18.0,1000
equivalence_class_id,0,1000,mp_matched_pool_coordinate,0.0,1.0,7.0,1000
equivalence_class_id,0,1000,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,10,100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,10,100,alex_pbe_source_coordinate,0.0,1.0,6.0,1000
equivalence_class_id,10,100,alexmp20_source_coordinate,0.0,1.0,7.0,1000
equivalence_class_id,10,100,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,10,100,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,10,300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,10,300,alex_pbe_source_coordinate,0.0,0.0,11.024999999999977,1000
equivalence_class_id,10,300,alexmp20_source_coordinate,0.0,0.0,8.0,1000
equivalence_class_id,10,300,mp_matched_pool_coordinate,0.0,0.0,2.0,1000
equivalence_class_id,10,300,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,10,500,alex_pbe_matched_pool_coordinate,0.0,0.0,1.0,1000
equivalence_class_id,10,500,alex_pbe_source_coordinate,0.0,1.0,11.0,1000
equivalence_class_id,10,500,alexmp20_source_coordinate,0.0,0.0,9.0,1000
equivalence_class_id,10,500,mp_matched_pool_coordinate,0.0,0.0,3.0,1000
equivalence_class_id,10,500,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,10,1000,alex_pbe_matched_pool_coordinate,0.0,3.0,8.0,1000
equivalence_class_id,10,1000,alex_pbe_source_coordinate,0.0,0.0,11.0,1000
equivalence_class_id,10,1000,alexmp20_source_coordinate,0.0,1.0,14.0,1000
equivalence_class_id,10,1000,mp_matched_pool_coordinate,0.0,2.0,6.0,1000
equivalence_class_id,10,1000,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,25,100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,25,100,alex_pbe_source_coordinate,0.0,1.0,6.0,1000
equivalence_class_id,25,100,alexmp20_source_coordinate,0.0,1.0,6.0,1000
equivalence_class_id,25,100,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,25,100,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,25,300,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,25,300,alex_pbe_source_coordinate,0.0,0.0,7.0,1000
equivalence_class_id,25,300,alexmp20_source_coordinate,0.0,0.0,8.0,1000
equivalence_class_id,25,300,mp_matched_pool_coordinate,0.0,0.0,3.0,1000
equivalence_class_id,25,300,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,25,500,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,25,500,alex_pbe_source_coordinate,0.0,0.0,12.0,1000
equivalence_class_id,25,500,alexmp20_source_coordinate,0.0,0.0,7.0,1000
equivalence_class_id,25,500,mp_matched_pool_coordinate,0.0,0.0,3.0,1000
equivalence_class_id,25,500,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,25,1000,alex_pbe_matched_pool_coordinate,0.0,1.0,4.024999999999977,1000
equivalence_class_id,25,1000,alex_pbe_source_coordinate,0.0,0.0,9.0,1000
equivalence_class_id,25,1000,alexmp20_source_coordinate,0.0,0.0,9.0,1000
equivalence_class_id,25,1000,mp_matched_pool_coordinate,0.0,1.0,5.0,1000
equivalence_class_id,25,1000,mp_source_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,50,100,alex_pbe_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,50,100,alex_pbe_source_coordinate,0.0,1.0,5.0,1000
equivalence_class_id,50,100,alexmp20_source_coordinate,0.0,1.0,6.0,1000
equivalence_class_id,50,100,mp_matched_pool_coordinate,0.0,0.0,0.0,1000
equivalence_class_id,50,100,mp_source_coordinate,0.0,0.0,0.0,1000
