cluster,threshold_meV_per_atom,endpoint_a,endpoint_b,switch_rate_ci_low_95,switch_rate_median,switch_rate_ci_high_95,bootstrap_replicates
chemical_system,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.10135404766224855,0.1050438314850703,0.10858080148328222,1000
chemical_system,0,mp_source_coordinate,alex_pbe_source_coordinate,0.14942019587425423,0.15398271928109705,0.1586947041123466,1000
chemical_system,0,mp_source_coordinate,alexmp20_source_coordinate,0.1113960172725483,0.1152398204909684,0.1192502174067757,1000
chemical_system,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.08687153943858157,0.09011188381134269,0.09376211722417135,1000
chemical_system,10,mp_source_coordinate,alex_pbe_source_coordinate,0.12836935893169818,0.13273663027789406,0.13701263283277212,1000
chemical_system,10,mp_source_coordinate,alexmp20_source_coordinate,0.10267335112900092,0.10664079043754066,0.11037879894054282,1000
chemical_system,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.07790873816565129,0.0814449312768313,0.0848100437894462,1000
chemical_system,25,mp_source_coordinate,alex_pbe_source_coordinate,0.10907900785098466,0.11336821005914705,0.1177806235450587,1000
chemical_system,25,mp_source_coordinate,alexmp20_source_coordinate,0.08506431149320785,0.0886328182386441,0.09253526692438194,1000
chemical_system,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.062482620516658746,0.06592189883541685,0.06959078330983401,1000
chemical_system,50,mp_source_coordinate,alex_pbe_source_coordinate,0.08532160179062707,0.08932425556685039,0.09360503480994163,1000
chemical_system,50,mp_source_coordinate,alexmp20_source_coordinate,0.061830203758915354,0.06507790883320125,0.06826185593251387,1000
equivalence_class_id,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.10158571512232945,0.10486983112957265,0.10757910275205781,1000
equivalence_class_id,0,mp_source_coordinate,alex_pbe_source_coordinate,0.15004886693672645,0.1538430148974505,0.15753774049738417,1000
equivalence_class_id,0,mp_source_coordinate,alexmp20_source_coordinate,0.11192667040849205,0.11517968873402884,0.11832981475608907,1000
equivalence_class_id,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.08737555408850184,0.09006564858442914,0.09289508014519134,1000
equivalence_class_id,10,mp_source_coordinate,alex_pbe_source_coordinate,0.12939351187875872,0.132742399954842,0.13605204161050063,1000
equivalence_class_id,10,mp_source_coordinate,alexmp20_source_coordinate,0.10351879507488518,0.1066397051985036,0.10948265954506808,1000
equivalence_class_id,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.07849835845494925,0.08136564919549565,0.08431454187130034,1000
equivalence_class_id,25,mp_source_coordinate,alex_pbe_source_coordinate,0.11006040446957098,0.11339940252403935,0.11665380775844769,1000
equivalence_class_id,25,mp_source_coordinate,alexmp20_source_coordinate,0.08577596260649616,0.08850807275867295,0.09142013466631585,1000
equivalence_class_id,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.06326166253862782,0.0658157396929259,0.06848508519768358,1000
equivalence_class_id,50,mp_source_coordinate,alex_pbe_source_coordinate,0.08648754936490789,0.08939740179006675,0.09245828885330597,1000
equivalence_class_id,50,mp_source_coordinate,alexmp20_source_coordinate,0.0626898420167999,0.06519817792518015,0.06769583917337148,1000
reduced_formula,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.10171953471013245,0.104964051965166,0.10811224067248767,1000
reduced_formula,0,mp_source_coordinate,alex_pbe_source_coordinate,0.1502715106013478,0.15398098461385556,0.15802824501705828,1000
reduced_formula,0,mp_source_coordinate,alexmp20_source_coordinate,0.11196502748914001,0.11533178691631091,0.11870615630084357,1000
reduced_formula,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.08703274083616848,0.09002908930550585,0.09313948780716931,1000
reduced_formula,10,mp_source_coordinate,alex_pbe_source_coordinate,0.12902930075247462,0.13276289243663486,0.136470973022543,1000
reduced_formula,10,mp_source_coordinate,alexmp20_source_coordinate,0.10285466084066716,0.1066182965402088,0.11017385368587884,1000
reduced_formula,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.07837700326823821,0.08132168564742195,0.08444590328259086,1000
reduced_formula,25,mp_source_coordinate,alex_pbe_source_coordinate,0.10958108103666271,0.1133572032117253,0.11696824765515836,1000
reduced_formula,25,mp_source_coordinate,alexmp20_source_coordinate,0.08522867213704956,0.0884248512678671,0.09176867517468879,1000
reduced_formula,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,0.06311835498398051,0.0658635518594736,0.06889755668082145,1000
reduced_formula,50,mp_source_coordinate,alex_pbe_source_coordinate,0.086134422116339,0.08950739087052159,0.09288151519011993,1000
reduced_formula,50,mp_source_coordinate,alexmp20_source_coordinate,0.06238449413950407,0.0651356652500817,0.06785119220815156,1000
