cluster,threshold_meV_per_atom,endpoint,K,model,stable_hits_ci_low_95,stable_hits_median,stable_hits_ci_high_95,bootstrap_replicates
chemical_system,0,alex_pbe_matched_pool_coordinate,100,ALIGNN-FF,100.0,100.0,100.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,100,CHGNet,100.0,100.0,100.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,100,M3GNet,100.0,100.0,100.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,100,MACE-MP,100.0,100.0,100.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,300,ALIGNN-FF,300.0,300.0,300.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,300,CHGNet,300.0,300.0,300.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,300,M3GNet,300.0,300.0,300.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,300,MACE-MP,300.0,300.0,300.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,500,ALIGNN-FF,494.975,499.0,500.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,500,CHGNet,500.0,500.0,500.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,500,M3GNet,500.0,500.0,500.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,500,MACE-MP,500.0,500.0,500.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,1000,ALIGNN-FF,963.0,973.0,982.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,1000,CHGNet,998.0,1000.0,1000.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,1000,M3GNet,996.0,999.0,1000.0,1000
chemical_system,0,alex_pbe_matched_pool_coordinate,1000,MACE-MP,992.0,996.0,999.0,1000
chemical_system,0,alex_pbe_source_coordinate,100,ALIGNN-FF,33.0,43.0,53.0,1000
chemical_system,0,alex_pbe_source_coordinate,100,CHGNet,36.0,46.0,57.0,1000
chemical_system,0,alex_pbe_source_coordinate,100,M3GNet,37.0,47.0,57.0,1000
chemical_system,0,alex_pbe_source_coordinate,100,MACE-MP,36.0,46.0,56.0,1000
chemical_system,0,alex_pbe_source_coordinate,300,ALIGNN-FF,138.975,155.0,173.0,1000
chemical_system,0,alex_pbe_source_coordinate,300,CHGNet,138.0,153.0,171.0,1000
chemical_system,0,alex_pbe_source_coordinate,300,M3GNet,145.975,162.0,179.0,1000
chemical_system,0,alex_pbe_source_coordinate,300,MACE-MP,138.0,155.0,174.0,1000
chemical_system,0,alex_pbe_source_coordinate,500,ALIGNN-FF,255.0,277.0,299.0,1000
chemical_system,0,alex_pbe_source_coordinate,500,CHGNet,255.0,277.0,299.0,1000
chemical_system,0,alex_pbe_source_coordinate,500,M3GNet,263.975,286.0,308.0,1000
chemical_system,0,alex_pbe_source_coordinate,500,MACE-MP,262.0,283.0,306.0,1000
chemical_system,0,alex_pbe_source_coordinate,1000,ALIGNN-FF,522.0,552.0,585.0,1000
chemical_system,0,alex_pbe_source_coordinate,1000,CHGNet,546.975,577.0,608.0,1000
chemical_system,0,alex_pbe_source_coordinate,1000,M3GNet,573.0,604.0,635.025,1000
chemical_system,0,alex_pbe_source_coordinate,1000,MACE-MP,568.0,599.0,631.0,1000
chemical_system,0,alexmp20_source_coordinate,100,ALIGNN-FF,60.0,70.0,79.0,1000
chemical_system,0,alexmp20_source_coordinate,100,CHGNet,59.0,69.0,79.0,1000
chemical_system,0,alexmp20_source_coordinate,100,M3GNet,61.0,71.0,79.0,1000
chemical_system,0,alexmp20_source_coordinate,100,MACE-MP,61.0,70.0,80.0,1000
chemical_system,0,alexmp20_source_coordinate,300,ALIGNN-FF,173.0,189.5,206.0,1000
chemical_system,0,alexmp20_source_coordinate,300,CHGNet,173.0,189.0,206.0,1000
chemical_system,0,alexmp20_source_coordinate,300,M3GNet,180.0,195.0,211.0,1000
chemical_system,0,alexmp20_source_coordinate,300,MACE-MP,174.0,191.0,208.0,1000
chemical_system,0,alexmp20_source_coordinate,500,ALIGNN-FF,296.0,318.0,340.0,1000
chemical_system,0,alexmp20_source_coordinate,500,CHGNet,294.0,315.0,336.0,1000
chemical_system,0,alexmp20_source_coordinate,500,M3GNet,301.975,322.0,343.0,1000
chemical_system,0,alexmp20_source_coordinate,500,MACE-MP,301.975,322.0,342.025,1000
chemical_system,0,alexmp20_source_coordinate,1000,ALIGNN-FF,583.0,615.0,644.0,1000
chemical_system,0,alexmp20_source_coordinate,1000,CHGNet,613.0,645.0,674.0,1000
chemical_system,0,alexmp20_source_coordinate,1000,M3GNet,643.0,675.0,703.0,1000
chemical_system,0,alexmp20_source_coordinate,1000,MACE-MP,636.0,668.0,695.0,1000
chemical_system,0,mp_matched_pool_coordinate,100,ALIGNN-FF,93.0,97.0,100.0,1000
chemical_system,0,mp_matched_pool_coordinate,100,CHGNet,93.0,97.0,100.0,1000
chemical_system,0,mp_matched_pool_coordinate,100,M3GNet,93.0,97.0,100.0,1000
chemical_system,0,mp_matched_pool_coordinate,100,MACE-MP,93.0,97.0,100.0,1000
chemical_system,0,mp_matched_pool_coordinate,300,ALIGNN-FF,288.975,294.0,298.0,1000
chemical_system,0,mp_matched_pool_coordinate,300,CHGNet,288.0,294.0,298.0,1000
chemical_system,0,mp_matched_pool_coordinate,300,M3GNet,288.0,293.0,298.0,1000
chemical_system,0,mp_matched_pool_coordinate,300,MACE-MP,288.0,294.0,298.0,1000
chemical_system,0,mp_matched_pool_coordinate,500,ALIGNN-FF,470.975,482.0,491.0,1000
chemical_system,0,mp_matched_pool_coordinate,500,CHGNet,472.0,483.0,492.0,1000
chemical_system,0,mp_matched_pool_coordinate,500,M3GNet,475.0,486.0,495.0,1000
chemical_system,0,mp_matched_pool_coordinate,500,MACE-MP,476.975,487.0,495.0,1000
chemical_system,0,mp_matched_pool_coordinate,1000,ALIGNN-FF,911.0,930.0,948.0,1000
chemical_system,0,mp_matched_pool_coordinate,1000,CHGNet,956.0,970.0,981.025,1000
chemical_system,0,mp_matched_pool_coordinate,1000,M3GNet,960.0,973.0,983.025,1000
chemical_system,0,mp_matched_pool_coordinate,1000,MACE-MP,956.0,971.0,982.0,1000
chemical_system,0,mp_source_coordinate,100,ALIGNN-FF,54.0,63.0,73.0,1000
