cluster,threshold_meV_per_atom,endpoint,K,model,winner_frequency,winner_equivalent_replicates,bootstrap_replicates
chemical_system,0,mp_matched_pool_coordinate,300,CHGNet,0.2525,252.5,1000
chemical_system,0,mp_matched_pool_coordinate,300,M3GNet,0.1695,169.5,1000
chemical_system,0,mp_matched_pool_coordinate,300,MACE-MP,0.22866666666666666,228.66666666666666,1000
chemical_system,0,mp_matched_pool_coordinate,500,ALIGNN-FF,0.08083333333333333,80.83333333333333,1000
chemical_system,0,mp_matched_pool_coordinate,500,CHGNet,0.019666666666666666,19.666666666666664,1000
chemical_system,0,mp_matched_pool_coordinate,500,M3GNet,0.3835,383.5,1000
chemical_system,0,mp_matched_pool_coordinate,500,MACE-MP,0.516,516.0,1000
chemical_system,0,mp_matched_pool_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
chemical_system,0,mp_matched_pool_coordinate,1000,CHGNet,0.1085,108.5,1000
chemical_system,0,mp_matched_pool_coordinate,1000,M3GNet,0.6535,653.5,1000
chemical_system,0,mp_matched_pool_coordinate,1000,MACE-MP,0.238,238.0,1000
chemical_system,0,mp_source_coordinate,100,ALIGNN-FF,0.09933333333333333,99.33333333333333,1000
chemical_system,0,mp_source_coordinate,100,CHGNet,0.22466666666666665,224.66666666666666,1000
chemical_system,0,mp_source_coordinate,100,M3GNet,0.4336666666666667,433.6666666666667,1000
chemical_system,0,mp_source_coordinate,100,MACE-MP,0.24233333333333335,242.33333333333334,1000
chemical_system,0,mp_source_coordinate,300,ALIGNN-FF,0.1365,136.5,1000
chemical_system,0,mp_source_coordinate,300,CHGNet,0.026333333333333334,26.333333333333332,1000
chemical_system,0,mp_source_coordinate,300,M3GNet,0.7355,735.5,1000
chemical_system,0,mp_source_coordinate,300,MACE-MP,0.10166666666666667,101.66666666666667,1000
chemical_system,0,mp_source_coordinate,500,ALIGNN-FF,0.24391666666666667,243.91666666666666,1000
chemical_system,0,mp_source_coordinate,500,CHGNet,0.05408333333333334,54.083333333333336,1000
chemical_system,0,mp_source_coordinate,500,M3GNet,0.33158333333333334,331.5833333333333,1000
chemical_system,0,mp_source_coordinate,500,MACE-MP,0.37041666666666667,370.4166666666667,1000
chemical_system,0,mp_source_coordinate,1000,ALIGNN-FF,0.0,0.0,1000
