row_id,formula,chemical_system,source_native_mp_ehull,source_native_alex_pbe_ehull,source_native_mp_label,source_native_alex_pbe_label,discordant_zero_mev,mp_ehull_mev,alexandria_ehull_mev
SAS36K-00053,KMn4O8,K-Mn-O,0.006818451410256,0.0035451513,False,False,False,6.818451410255999,3.5451513
SAS36K-00054,Li2Mn3O6,Li-Mn-O,0.044186239090902,0.04578379,False,False,False,44.186239090902006,45.783789999999996
SAS36K-00055,KMn2O4,K-Mn-O,0.000468158571428,0.0,False,True,True,0.468158571428,0.0
SAS36K-00056,KMn4O8,K-Mn-O,0.00781912448718,0.0,False,True,True,7.81912448718,0.0
SAS36K-00057,Mn3HO6,H-Mn-O,0.03371158980208,0.019368332,False,False,False,33.71158980208,19.368332
SAS36K-00058,CaMnO2,Ca-Mn-O,0.043864950624999,0.0063625085,False,False,False,43.864950624999,6.3625085
SAS36K-00059,CaMnO2,Ca-Mn-O,0.046893344999999,0.0073557124,False,False,False,46.893344999998995,7.3557124
SAS36K-00060,CaMn4O8,Ca-Mn-O,0.028905956842955,0.027482437,False,False,False,28.905956842955,27.482436999999997
SAS36K-00061,CaMnO2,Ca-Mn-O,0.051909011249999,0.008520386,False,False,False,51.909011249999,8.520386
SAS36K-00062,Ce3AlC,Al-C-Ce,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00063,LiMn3O6,Li-Mn-O,0.029378997508326,0.019527493,False,False,False,29.378997508325998,19.527493
SAS36K-00064,AlCo3C,Al-C-Co,0.021354330499999,0.023429625,False,False,False,21.354330499998998,23.429624999999998
SAS36K-00065,Li3Mn4O8,Li-Mn-O,0.064444198000007,0.06058571,False,False,False,64.444198000007,60.58571
SAS36K-00066,MgMnO2,Mg-Mn-O,0.041349101875001,0.008383389,False,False,False,41.349101875001004,8.383389
SAS36K-00067,Pr3AlC,Al-C-Pr,0.054900408666668,0.054283224,False,False,False,54.90040866666801,54.283224
SAS36K-00068,LiMnO2,Li-Mn-O,0.017628958124999,0.004307527,False,False,False,17.628958124999002,4.307527
SAS36K-00069,BAs,As-B,0.080389767499999,0.07778561,False,False,False,80.389767499999,77.78561
SAS36K-00070,Ba5As3,As-Ba,0.009240693990385,0.008888001,False,False,False,9.240693990385,8.888001
SAS36K-00071,SmB12,B-Sm,0.038252772692306,0.0274638,False,False,False,38.252772692306,27.4638
SAS36K-00072,V2AsC,As-C-V,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00073,Ca5As3,As-Ca,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00074,PrB12,B-Pr,0.06963110730769,0.08025903,False,False,False,69.63110730769,80.25903
SAS36K-00075,NdB12,B-Nd,0.07411886807692,0.060149014,False,False,False,74.11886807692001,60.149014
SAS36K-00076,Mn3(HO3)2,H-Mn-O,0.016911048503782,0.0129443025,False,False,False,16.911048503782,12.9443025
SAS36K-00077,MnAsRu,As-Mn-Ru,0.0,0.0,True,True,False,0.0,0.0
SAS36K-00078,TeAs,As-Te,0.090813455833334,0.104694925,False,False,False,90.813455833334,104.694925
SAS36K-00079,TiAs,As-Ti,0.01102338625,0.008342338,False,False,False,11.02338625,8.342338
SAS36K-00080,ZrAs,As-Zr,0.062737618749999,0.06734929,False,False,False,62.737618749999,67.34929000000001
