support,base_threshold_meV_per_atom,indeterminate_width_meV_per_atom,endpoint_a,endpoint_b,n,any_indeterminate_n,any_indeterminate_fraction,decisive_n,robust_conflict_n,robust_conflict_rate_full_support,robust_conflict_rate_decisive_support,definition,any_indeterminate_fraction_ci_low_95,any_indeterminate_fraction_median,any_indeterminate_fraction_ci_high_95,robust_conflict_rate_full_support_ci_low_95,robust_conflict_rate_full_support_median,robust_conflict_rate_full_support_ci_high_95,robust_conflict_rate_decisive_support_ci_low_95,robust_conflict_rate_decisive_support_median,robust_conflict_rate_decisive_support_ci_high_95
D2_reconstructable,0,10,mp_source_coordinate,alex_pbe_source_coordinate,36770,7675,0.2087299428882241,29095,2484,0.0675550720696219,0.0853754940711462,robust conflict is definite stable in one coordinate and definite unstable in the other,0.2034080482596355,0.2090769056160489,0.2142924516084878,0.0646415445526341,0.0676467823161836,0.0705839539433964,0.0817727723536898,0.0855504097447592,0.0891698944743242
D2_reconstructable,0,20,mp_source_coordinate,alex_pbe_source_coordinate,36770,11980,0.3258090834919772,24790,1455,0.0395703018765297,0.0586930213795885,robust conflict is definite stable in one coordinate and definite unstable in the other,0.3194522408687527,0.3261446780979343,0.3328204067593339,0.0373685077290162,0.0396090869408453,0.0419118811973364,0.0553807845692201,0.0587816605309981,0.0622843487516668
D2_reconstructable,0,25,mp_source_coordinate,alex_pbe_source_coordinate,36770,13610,0.370138700027196,23160,1163,0.0316290454174598,0.0502158894645941,robust conflict is definite stable in one coordinate and definite unstable in the other,0.3630863717201245,0.3704384601960178,0.3775226183904901,0.0297724169774315,0.0316403535364651,0.0336811510883144,0.0471882366840617,0.0503245945743606,0.0535301445997282
D2_reconstructable,0,30,mp_source_coordinate,alex_pbe_source_coordinate,36770,14997,0.4078596682077781,21773,954,0.0259450639107968,0.0438157350847379,robust conflict is definite stable in one coordinate and definite unstable in the other,0.4005050421528257,0.4081601783121016,0.4151177298163911,0.0242560480329455,0.0259705451815933,0.0277739478981501,0.0409747309215204,0.0438767416831578,0.047014597163918
D2_reconstructable,0,50,mp_source_coordinate,alex_pbe_source_coordinate,36770,19265,0.5239325537122654,17505,512,0.0139243948871362,0.0292487860611253,robust conflict is definite stable in one coordinate and definite unstable in the other,0.5165057580380291,0.5239941714960816,0.5304044226815051,0.0127282844900448,0.0139874351711072,0.0151998440502473,0.0267095842242725,0.0293757971019612,0.031863941679102
