support,threshold_meV_per_atom,endpoint_a,endpoint_b,n,switch_n,switch_rate,endpoint_a_positive_rate,endpoint_b_positive_rate,switch_rate_ci_low_95,switch_rate_median,switch_rate_ci_high_95,pair
D2_native_full,0,mp_source_coordinate,alexmp20_source_coordinate,36802,4244,0.1153198195750231,0.4085104070430955,0.361393402532471,0.1114820565685723,0.1153372331732704,0.1194000941870886,MP–alex-mp-20
D2_native_full,0,mp_source_coordinate,alex_pbe_source_coordinate,36802,5666,0.1539590239660888,0.4085104070430955,0.3308515841530351,0.1491413216740631,0.1540766963503581,0.1590685233324083,MP–Alexandria-PBE
D2_native_full,0,alexmp20_source_coordinate,alex_pbe_source_coordinate,36802,3862,0.1049399489158197,0.361393402532471,0.3308515841530351,0.1013022816495793,0.1047951775671147,0.108538519006129,alex-mp-20–Alexandria-PBE
D2_native_full,10,mp_source_coordinate,alexmp20_source_coordinate,36802,3923,0.1065974675289386,0.5231780881473833,0.4953263409597304,0.1025028989717007,0.1066481280939125,0.110844477188606,MP–alex-mp-20
D2_native_full,10,mp_source_coordinate,alex_pbe_source_coordinate,36802,4886,0.132764523667192,0.5231780881473833,0.4819846747459377,0.1284576947692826,0.1327331844910537,0.1370828885192824,MP–Alexandria-PBE
D2_native_full,10,alexmp20_source_coordinate,alex_pbe_source_coordinate,36802,3315,0.0900766262703113,0.4953263409597304,0.4819846747459377,0.0866458409747698,0.0899558125120576,0.0935796817290134,alex-mp-20–Alexandria-PBE
D2_native_full,25,mp_source_coordinate,alexmp20_source_coordinate,36802,3258,0.088527797402315,0.646459431552633,0.6365686647464812,0.0848056997385077,0.0885155865217947,0.0924546449139216,MP–alex-mp-20
D2_native_full,25,mp_source_coordinate,alex_pbe_source_coordinate,36802,4173,0.1133905765990978,0.646459431552633,0.6289875550241835,0.1089151855530645,0.1133634882643977,0.1176828815330997,MP–Alexandria-PBE
D2_native_full,25,alexmp20_source_coordinate,alex_pbe_source_coordinate,36802,2995,0.0813814466605075,0.6365686647464812,0.6289875550241835,0.0778308273941844,0.0811697649470451,0.0846655059235372,alex-mp-20–Alexandria-PBE
D2_native_full,50,mp_source_coordinate,alexmp20_source_coordinate,36802,2396,0.065105157328406,0.7857996847997392,0.788136514319874,0.0617839968167269,0.0650811781692408,0.068346122346501,MP–alex-mp-20
D2_native_full,50,mp_source_coordinate,alex_pbe_source_coordinate,36802,3291,0.0894244877995761,0.7857996847997392,0.7858268572360197,0.0850452965497791,0.0893808094737192,0.0940311097187992,MP–Alexandria-PBE
D2_native_full,50,alexmp20_source_coordinate,alex_pbe_source_coordinate,36802,2425,0.0658931579805445,0.788136514319874,0.7858268572360197,0.0622866383429126,0.0658007020023729,0.0693141720310071,alex-mp-20–Alexandria-PBE
