ranking,ranking_score,ranking_direction,K,label_view,topk_n,evaluation_n,retained_fraction,stable_n,stable_fraction,bootstrap_ci_low,bootstrap_ci_high,bootstrap_n,bootstrap_seed,evidence_scope
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,1000,MP,1000,1000,1.0,1000,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,1000,MatterGen_alex_mp20,1000,1000,1.0,864,0.864,0.843,0.886,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,1000,official_Alexandria_PBE,1000,1000,1.0,779,0.779,0.753,0.804,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,1000,consensus_all_three_stable,1000,1000,1.0,752,0.752,0.725,0.7790249999999999,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,1000,conflict_excluded_consensus,1000,752,0.752,752,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,5000,MP,5000,5000,1.0,5000,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,5000,MatterGen_alex_mp20,5000,5000,1.0,4033,0.8066,0.795395,0.8168,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,5000,official_Alexandria_PBE,5000,5000,1.0,3614,0.7228,0.7102,0.7348,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,5000,consensus_all_three_stable,5000,5000,1.0,3418,0.6836,0.6704,0.6964,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,5000,conflict_excluded_consensus,5000,3418,0.6836,3418,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,100,MP,100,100,1.0,92,0.92,0.87,0.97,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MatterGen_alex_mp20_source_native_ehull_rank,alex_mp20_e_above_hull,ascending_lower_ehull_first,100,MatterGen_alex_mp20,100,100,1.0,100,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
