denominator_rule,cutoff_mev_atom,source_pair,source_a,source_b,n,conflict_n,conflict_fraction,evidence_scope
include_multiple_first_official_alexandria_identifier,0,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,41760,5158,0.12351532567049808,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,0,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,41760,4995,0.11961206896551724,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,1,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,41760,7089,0.1697557471264368,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,1,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,41760,5050,0.12092911877394635,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,1,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,41760,4959,0.11875,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,5,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,41760,6811,0.16309865900383141,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,5,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,41760,4836,0.11580459770114943,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,5,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,41760,4841,0.11592432950191571,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,10,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,41760,6455,0.15457375478927204,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,10,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,41760,4671,0.11185344827586206,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,10,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,41760,4586,0.10981800766283525,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,25,MP--official_Alexandria_PBE,MP,official_Alexandria_PBE,41760,5605,0.13421934865900384,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,25,MatterGen_alex_mp20--official_Alexandria_PBE,MatterGen_alex_mp20,official_Alexandria_PBE,41760,4241,0.10155651340996169,source_native_public_label_audit_not_common_hull
include_multiple_first_official_alexandria_identifier,25,MP--MatterGen_alex_mp20,MP,MatterGen_alex_mp20,41760,3766,0.09018199233716476,source_native_public_label_audit_not_common_hull
