cutoff_mev_atom,source_pair,stratum_type,stratum,n,chemical_system_n,conflict_n,conflict_fraction,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,bootstrap_unit,n_bootstrap,bootstrap_seed,evidence_scope
0,alex-mp-20--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,1587,0.11857441721458457,0.11273050332263942,0.12432844328825056,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,alex-mp-20--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,859,0.09228620541469704,0.08404574503568327,0.1004793708712958,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,alex-mp-20--official_Alexandria_PBE,element_family,halogen_present,4954,2810,660,0.13322567622123538,0.11731891063442301,0.15082598903983982,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,overall,all,36802,19361,4244,0.1153198195750231,0.11134047232105389,0.11929321243936282,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,element_count,unary,120,61,26,0.21666666666666667,0.1379247876061969,0.3017241379310345,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,element_count,binary,7259,1975,860,0.11847361895577903,0.11014031738365995,0.12701030182848658,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,element_count,ternary,22108,12061,2786,0.12601773113804957,0.12038356472083964,0.1315996030128729,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,element_count,quaternary_or_higher,7315,5264,572,0.07819548872180451,0.07128584448631546,0.0852368336247259,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,element_family,transition_metal_present,27596,14434,3039,0.11012465574720974,0.10562372765441944,0.11472982468955878,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,element_family,lanthanide_present,13384,7762,1796,0.13419007770472205,0.12788959456540178,0.1404483305176928,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,element_family,oxygen_present,9308,4393,707,0.07595616673828964,0.06874592293032335,0.0832972432431631,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
0,MP--alex-mp-20,element_family,halogen_present,4954,2810,745,0.15038352846184902,0.13138942515720856,0.17055459592415897,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,overall,all,36802,19361,5463,0.1484430194011195,0.14392804738644324,0.1529586817906831,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,element_count,unary,120,61,18,0.15,0.08333333333333333,0.2231423406139315,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,element_count,binary,7259,1975,1151,0.15856178536988566,0.14764909273403154,0.16989142765086132,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,element_count,ternary,22108,12061,3576,0.16175140220734577,0.15556605914700203,0.16815975332192024,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,element_count,quaternary_or_higher,7315,5264,718,0.09815447710184552,0.09012710104944321,0.10640721972902202,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,element_family,transition_metal_present,27596,14434,4096,0.14842730830555154,0.14286742059036733,0.1541325700853828,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,2263,0.1690824865511058,0.162499027163265,0.17571323704471214,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,875,0.09400515685431887,0.08615827227230945,0.10206948225290284,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--official_Alexandria_PBE,element_family,halogen_present,4954,2810,808,0.16310052482842147,0.1443298559786576,0.18510856457965236,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,overall,all,36802,19361,3688,0.10021194500298897,0.09671564981723615,0.1037885984493102,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,element_count,unary,120,61,18,0.15,0.09153329065300897,0.21849396008403352,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,element_count,binary,7259,1975,705,0.09712081553933048,0.08954591556256564,0.10489620875702578,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,element_count,ternary,22108,12061,2315,0.10471322598154514,0.10001718749018357,0.10940444515968165,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,element_count,quaternary_or_higher,7315,5264,650,0.08885850991114148,0.08149588678121426,0.09660106640979921,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,element_family,transition_metal_present,27596,14434,2673,0.09686186403826641,0.09279067912051561,0.10105189739720147,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,element_family,lanthanide_present,13384,7762,1534,0.11461446503287508,0.1088726765504746,0.12030214924468527,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,element_family,oxygen_present,9308,4393,812,0.08723678556080791,0.07992451040045336,0.0950650084958577,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,alex-mp-20--official_Alexandria_PBE,element_family,halogen_present,4954,2810,604,0.12192167945094873,0.10757562589978581,0.13851131041664816,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--alex-mp-20,overall,all,36802,19361,4217,0.1145861637954459,0.1106569324565301,0.1187102348259108,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--alex-mp-20,element_count,unary,120,61,24,0.2,0.12280287984111221,0.2788517441860464,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--alex-mp-20,element_count,binary,7259,1975,888,0.12233089957294394,0.11266071176203687,0.1323334545110317,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
1,MP--alex-mp-20,element_count,ternary,22108,12061,2733,0.12362040890175502,0.11828958230781823,0.12916050820165995,chemical_system,5000,20260705,chemistry_stratified_source_conflict_public_label_audit
