denominator_rule,cutoff_mev_atom,source_pair,source_a_stable_source_b_unstable_n,source_a_unstable_source_b_stable_n,source_a_stable_source_b_unstable_fraction,source_a_unstable_source_b_stable_fraction,evidence_scope
single_match_primary,0,MP--official_Alexandria_PBE,4262,1404,0.11580892342807456,0.03815010053801424,directionality_for_source_native_public_label_conflicts
single_match_primary,0,MatterGen_alex_mp20--official_Alexandria_PBE,2493,1369,0.06774088364762784,0.037199065268191944,directionality_for_source_native_public_label_conflicts
single_match_primary,0,MP--MatterGen_alex_mp20,2989,1255,0.08121841204282376,0.03410140753219934,directionality_for_source_native_public_label_conflicts
single_match_primary,1,MP--official_Alexandria_PBE,4041,1422,0.1098038150100538,0.038639204391065704,directionality_for_source_native_public_label_conflicts
single_match_primary,1,MatterGen_alex_mp20--official_Alexandria_PBE,2339,1349,0.06355632846040976,0.036655616542579206,directionality_for_source_native_public_label_conflicts
single_match_primary,1,MP--MatterGen_alex_mp20,2923,1294,0.07942503124830172,0.035161132547144175,directionality_for_source_native_public_label_conflicts
single_match_primary,5,MP--official_Alexandria_PBE,3654,1535,0.09928808216944732,0.04170968969077767,directionality_for_source_native_public_label_conflicts
single_match_primary,5,MatterGen_alex_mp20--official_Alexandria_PBE,2074,1382,0.056355632846040976,0.03755230693984023,directionality_for_source_native_public_label_conflicts
single_match_primary,5,MP--MatterGen_alex_mp20,2780,1353,0.07553937286017064,0.036764306287701755,directionality_for_source_native_public_label_conflicts
single_match_primary,10,MP--official_Alexandria_PBE,3201,1685,0.08697896853431879,0.04578555513287321,directionality_for_source_native_public_label_conflicts
single_match_primary,10,MatterGen_alex_mp20--official_Alexandria_PBE,1903,1412,0.05170914624205206,0.038367480028259335,directionality_for_source_native_public_label_conflicts
single_match_primary,10,MP--MatterGen_alex_mp20,2474,1449,0.06722460735829575,0.0393728601706429,directionality_for_source_native_public_label_conflicts
single_match_primary,25,MP--official_Alexandria_PBE,2408,1765,0.0654312265637737,0.047959350035324165,directionality_for_source_native_public_label_conflicts
single_match_primary,25,MatterGen_alex_mp20--official_Alexandria_PBE,1637,1358,0.04448127819140264,0.03690016846910494,directionality_for_source_native_public_label_conflicts
single_match_primary,25,MP--MatterGen_alex_mp20,1811,1447,0.04920928210423346,0.03931851529808163,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,0,MP--official_Alexandria_PBE,4738,2277,0.11345785440613027,0.054525862068965515,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,0,MatterGen_alex_mp20--official_Alexandria_PBE,2730,2422,0.0653735632183908,0.05799808429118774,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,0,MP--MatterGen_alex_mp20,3574,1421,0.08558429118773947,0.034027777777777775,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,1,MP--official_Alexandria_PBE,4514,2297,0.10809386973180077,0.05500478927203065,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,1,MatterGen_alex_mp20--official_Alexandria_PBE,2592,2388,0.06206896551724138,0.05718390804597701,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,1,MP--MatterGen_alex_mp20,3486,1473,0.08347701149425288,0.03527298850574713,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,5,MP--official_Alexandria_PBE,4074,2432,0.09755747126436781,0.05823754789272031,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,5,MatterGen_alex_mp20--official_Alexandria_PBE,2305,2404,0.055196360153256706,0.05756704980842912,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,5,MP--MatterGen_alex_mp20,3291,1550,0.07880747126436781,0.037116858237547894,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,10,MP--official_Alexandria_PBE,3561,2583,0.08527298850574713,0.06185344827586207,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,10,MatterGen_alex_mp20--official_Alexandria_PBE,2109,2411,0.05050287356321839,0.05773467432950192,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,10,MP--MatterGen_alex_mp20,2933,1653,0.07023467432950191,0.03958333333333333,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,25,MP--official_Alexandria_PBE,2653,2641,0.06352969348659004,0.06324233716475096,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,25,MatterGen_alex_mp20--official_Alexandria_PBE,1803,2269,0.04317528735632184,0.05433429118773946,directionality_for_source_native_public_label_conflicts
include_multiple_lowest_official_alexandria_ehull,25,MP--MatterGen_alex_mp20,2122,1644,0.05081417624521073,0.03936781609195402,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,0,MP--official_Alexandria_PBE,5600,1661,0.13409961685823754,0.039774904214559384,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,0,MatterGen_alex_mp20--official_Alexandria_PBE,3472,1686,0.08314176245210728,0.04037356321839081,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,0,MP--MatterGen_alex_mp20,3574,1421,0.08558429118773947,0.034027777777777775,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,1,MP--official_Alexandria_PBE,5358,1731,0.12830459770114944,0.041451149425287354,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,1,MatterGen_alex_mp20--official_Alexandria_PBE,3332,1718,0.07978927203065134,0.04113984674329502,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,1,MP--MatterGen_alex_mp20,3486,1473,0.08347701149425288,0.03527298850574713,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,5,MP--official_Alexandria_PBE,4889,1922,0.11707375478927202,0.04602490421455939,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,5,MatterGen_alex_mp20--official_Alexandria_PBE,3031,1805,0.07258141762452107,0.04322318007662835,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,5,MP--MatterGen_alex_mp20,3291,1550,0.07880747126436781,0.037116858237547894,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,10,MP--official_Alexandria_PBE,4349,2106,0.1041427203065134,0.05043103448275862,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,10,MatterGen_alex_mp20--official_Alexandria_PBE,2817,1854,0.06745689655172414,0.04439655172413793,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,10,MP--MatterGen_alex_mp20,2933,1653,0.07023467432950191,0.03958333333333333,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,25,MP--official_Alexandria_PBE,3384,2221,0.08103448275862069,0.05318486590038314,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,25,MatterGen_alex_mp20--official_Alexandria_PBE,2463,1778,0.05897988505747127,0.042576628352490424,directionality_for_source_native_public_label_conflicts
include_multiple_first_official_alexandria_identifier,25,MP--MatterGen_alex_mp20,2122,1644,0.05081417624521073,0.03936781609195402,directionality_for_source_native_public_label_conflicts
