cutoff_mev_atom,label_tuple_mp_alexmp20_officialalex,n,fraction,interpretation,evidence_scope
0,000,19790,0.5377425139938047,unstable in all three sources,three_source_source_native_label_composition
0,001,723,0.019645671430900496,stable only in official Alexandria-PBE,three_source_source_native_label_composition
0,010,574,0.015596978425085593,stable only in alex-mp-20,three_source_source_native_label_composition
0,011,681,0.018504429107113744,stable in alex-mp-20 and official Alexandria-PBE,three_source_source_native_label_composition
0,100,2343,0.0636650182055323,stable only in MP,three_source_source_native_label_composition
0,101,646,0.017553393837291452,stable in MP and official Alexandria-PBE,three_source_source_native_label_composition
0,110,1919,0.05214390522254225,stable in MP and alex-mp-20,three_source_source_native_label_composition
0,111,10126,0.2751480897777295,stable in all three sources,three_source_source_native_label_composition
1,000,19193,0.5215205695342644,unstable in all three sources,three_source_source_native_label_composition
1,001,674,0.018314222053149285,stable only in official Alexandria-PBE,three_source_source_native_label_composition
1,010,546,0.01483615020922776,stable only in alex-mp-20,three_source_source_native_label_composition
1,011,748,0.02032498233791642,stable in alex-mp-20 and official Alexandria-PBE,three_source_source_native_label_composition
1,100,2248,0.0610836367588718,stable only in MP,three_source_source_native_label_composition
1,101,675,0.01834139448942992,stable in MP and official Alexandria-PBE,three_source_source_native_label_composition
1,110,1793,0.048720178251182,stable in MP and alex-mp-20,three_source_source_native_label_composition
1,111,10925,0.2968588663659584,stable in all three sources,three_source_source_native_label_composition
5,000,17333,0.4709798380522798,unstable in all three sources,three_source_source_native_label_composition
5,001,665,0.01806967012662355,stable only in official Alexandria-PBE,three_source_source_native_label_composition
5,010,483,0.013124286723547634,stable only in alex-mp-20,three_source_source_native_label_composition
5,011,870,0.02364001956415412,stable in alex-mp-20 and official Alexandria-PBE,three_source_source_native_label_composition
5,100,2063,0.05605673604695397,stable only in MP,three_source_source_native_label_composition
5,101,717,0.019482636813216672,stable in MP and official Alexandria-PBE,three_source_source_native_label_composition
5,110,1591,0.043231346122493346,stable in MP and alex-mp-20,three_source_source_native_label_composition
5,111,13080,0.3554154665507309,stable in all three sources,three_source_source_native_label_composition
10,000,15394,0.4182924841041248,unstable in all three sources,three_source_source_native_label_composition
10,001,705,0.01915656757784903,stable only in official Alexandria-PBE,three_source_source_native_label_composition
10,010,469,0.012743872615618716,stable only in alex-mp-20,three_source_source_native_label_composition
10,011,980,0.026628987555024183,stable in alex-mp-20 and official Alexandria-PBE,three_source_source_native_label_composition
10,100,1767,0.04801369490788544,stable only in MP,three_source_source_native_label_composition
10,101,707,0.019210912450410303,stable in MP and official Alexandria-PBE,three_source_source_native_label_composition
10,110,1434,0.038965273626433344,stable in MP and alex-mp-20,three_source_source_native_label_composition
10,111,15346,0.4169882071626542,stable in all three sources,three_source_source_native_label_composition
25,000,10849,0.29479376120863,unstable in all three sources,three_source_source_native_label_composition
25,001,715,0.019428291940655398,stable only in official Alexandria-PBE,three_source_source_native_label_composition
25,010,397,0.010787457203412858,stable only in alex-mp-20,three_source_source_native_label_composition
25,011,1050,0.028531058094668767,stable in alex-mp-20 and official Alexandria-PBE,three_source_source_native_label_composition
25,100,1168,0.031737405575783924,stable only in MP,three_source_source_native_label_composition
25,101,643,0.017471876528449542,stable in MP and official Alexandria-PBE,three_source_source_native_label_composition
25,110,1240,0.03369382098798979,stable in MP and alex-mp-20,three_source_source_native_label_composition
25,111,20740,0.5635563284604097,stable in all three sources,three_source_source_native_label_composition
