ranking,ranking_score,ranking_direction,K,label_view,topk_n,evaluation_n,retained_fraction,stable_n,stable_fraction,bootstrap_ci_low,bootstrap_ci_high,bootstrap_n,bootstrap_seed,evidence_scope
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,100,MP,100,100,1.0,100,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,100,MatterGen_alex_mp20,100,100,1.0,86,0.86,0.79,0.92,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,100,official_Alexandria_PBE,100,100,1.0,73,0.73,0.64,0.82,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,100,consensus_all_three_stable,100,100,1.0,73,0.73,0.64,0.82,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,100,conflict_excluded_consensus,100,73,0.73,73,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,300,MP,300,300,1.0,300,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,300,MatterGen_alex_mp20,300,300,1.0,258,0.86,0.8233333333333334,0.8966666666666666,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,300,official_Alexandria_PBE,300,300,1.0,235,0.7833333333333333,0.7366666666666667,0.83,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,300,consensus_all_three_stable,300,300,1.0,228,0.76,0.7133333333333334,0.8066666666666666,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
MP_source_native_ehull_rank,mp_e_above_hull,ascending_lower_ehull_first,300,conflict_excluded_consensus,300,228,0.76,228,1.0,1.0,1.0,2000,20260705,fixed_source_native_ranking_label_uncertainty_band_not_model_benchmark
