model_name,external_rows_n,external_unique_formula_n,formula_overlap_rows_n,formula_overlap_fraction,formula_overlap_unique_formula_n,formula_unique_in_sourceaware_rows_n,mapping_status,guardrail
ALIGNN-FF,256963,168150,28184,0.10968116032269237,11839,23175,formula_overlap_only_no_exact_structure_mapping,Formula overlap is public coverage evidence only; it is never used for SourceAware stable/unstable label assignment.
CGCNN,256961,168148,28184,0.10968201400212484,11839,23175,formula_overlap_only_no_exact_structure_mapping,Formula overlap is public coverage evidence only; it is never used for SourceAware stable/unstable label assignment.
CGCNN+P,256961,168148,28184,0.10968201400212484,11839,23175,formula_overlap_only_no_exact_structure_mapping,Formula overlap is public coverage evidence only; it is never used for SourceAware stable/unstable label assignment.
MEGNet,256963,168150,28184,0.10968116032269237,11839,23175,formula_overlap_only_no_exact_structure_mapping,Formula overlap is public coverage evidence only; it is never used for SourceAware stable/unstable label assignment.
MEGNet-RS2RE,256953,168144,28178,0.10966207827890703,11835,23171,formula_overlap_only_no_exact_structure_mapping,Formula overlap is public coverage evidence only; it is never used for SourceAware stable/unstable label assignment.
Voronoi RF,257469,168150,28169,0.10940734612710656,11839,23171,formula_overlap_only_no_exact_structure_mapping,Formula overlap is public coverage evidence only; it is never used for SourceAware stable/unstable label assignment.
eSEN-30M-MP,256963,168150,28184,0.10968116032269237,11839,23175,formula_overlap_only_no_exact_structure_mapping,Formula overlap is public coverage evidence only; it is never used for SourceAware stable/unstable label assignment.
