evaluation_scope,model_name,n,positive_rate,stable_threshold_eV,f1,precision,recall,balanced_accuracy,auroc,auprc,source_label_field,guardrail
external_wbm_native_context_only,ALIGNN-FF,256963,0.16665823484314862,0.0,0.21597197898423817,0.21597197898423817,0.21597197898423817,0.5295879471082358,0.6306056088343268,0.21948798109716525,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,CGCNN,256961,0.16665953199123604,0.0,0.21405720957384705,0.21405720957384705,0.21405720957384705,0.5284383630713783,0.6482639234067461,0.22481573260439858,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,CGCNN+P,256961,0.16665953199123604,0.0,0.20625802685347344,0.20625802685347344,0.20625802685347344,0.52375889350295,0.6310815703681971,0.2156020601819433,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet,256963,0.16665823484314862,0.0,0.21244600116754234,0.21244600116754234,0.21244600116754234,0.5274723818239061,0.6508783259653005,0.22831139299997605,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet-RS2RE,256953,0.1666647207855133,0.0,0.20861646234676007,0.20861646234676007,0.20861646234676007,0.525170986161051,0.642937324828848,0.22385565276583064,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,Voronoi RF,256946,0.16666536937722323,0.0,0.203857649915935,0.203857649915935,0.203857649915935,0.522315333583891,0.6157638236051349,0.2094625416915208,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,eSEN-30M-MP,256963,0.16665823484314862,0.0,0.21585522475189725,0.21585522475189725,0.21585522475189725,0.5295178952776288,0.6532374066279785,0.22709077613211823,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
