model_name,model_family,coverage_n,missing_n,score_status,include_in_primary_leaderboard
Wrenformer,coordinate_free_prototype,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
CGCNN,early_gnn,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
CGCNN+P,early_gnn,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
MEGNet,early_gnn,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
Voronoi RF,fingerprint_baseline,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
BOWSR,optimization_strategy,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
ALIGNN,strong_gnn,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
EquiformerV2+DeNS,universal_potential,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
ORB,universal_potential,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
SevenNet,universal_potential,0,36802,not_scored_no_exact_sourceaware_mapping_or_download,False
prevalence_dummy,dummy_baseline,36802,0,scored,True
MP_common_pool_public_hull_rank,public_hull_oracle,36770,32,scored,True
MP_source_native_public_hull_rank,public_hull_oracle,36802,0,scored,True
MatterGen_alex_mp20_source_native_public_hull_rank,public_hull_oracle,36802,0,scored,True
official_Alexandria_PBE_common_pool_public_hull_rank,public_hull_oracle,36802,0,scored,True
official_Alexandria_PBE_source_native_public_hull_rank,public_hull_oracle,36802,0,scored,True
random_baseline,random_baseline,36802,0,scored,True
consensus_oracle_proxy,sourceaware_oracle,36802,0,scored,True
ALIGNN-FF,strong_gnn,36802,0,scored,True
CHGNet,universal_potential,36801,1,scored,True
M3GNet,universal_potential,36802,0,scored,True
MACE-MP,universal_potential,36802,0,scored,True
