model_name,model_family,input_type,training_data,score_type,score_direction,score_direction_original,score_direction_standardized,coverage_n,missing_n,whether_calibrated_energy,whether_hull_distance,source_of_score,score_status,model_role,include_in_primary_leaderboard,failure_reason,external_score_rows_n,external_score_status
Wrenformer,coordinate_free_prototype,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_prediction_target,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",0,not_applicable
CGCNN,early_gnn,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_wbm_prediction_downloaded_unmapped,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",256961,downloaded_external_unmapped
CGCNN+P,early_gnn,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_wbm_prediction_downloaded_unmapped,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",256961,downloaded_external_unmapped
MEGNet,early_gnn,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_wbm_prediction_downloaded_unmapped,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",256963,downloaded_external_unmapped
Voronoi RF,fingerprint_baseline,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_wbm_prediction_downloaded_unmapped,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",257469,downloaded_external_unmapped
BOWSR,optimization_strategy,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_prediction_target,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",0,not_applicable
ALIGNN,strong_gnn,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_prediction_target,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",0,not_applicable
EquiformerV2+DeNS,universal_potential,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_prediction_target,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",0,not_applicable
ORB,universal_potential,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_prediction_target,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",0,not_applicable
SevenNet,universal_potential,unknown_or_external,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,0,36802,False,False,matbench_discovery_public_prediction_target,not_scored_no_exact_sourceaware_mapping_or_download,external_target_not_scored,False,"Matbench/WBM predictions require WBM-to-SourceAware exact mapping or local score generation; recorded as ecosystem target, not primary SourceAware evidence.",0,not_applicable
prevalence_dummy,dummy_baseline,sourceaware_row_metadata_or_public_hull_baseline,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,36802,0,False,False,phase2_deterministic_baseline,scored,baseline,True,,0,not_applicable
MP_common_pool_public_hull_rank,public_hull_oracle,sourceaware_row_metadata_or_public_hull_baseline,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,36770,32,False,True,MP_common_pool_public_hull_rank,scored,baseline,True,,0,not_applicable
MP_source_native_public_hull_rank,public_hull_oracle,sourceaware_row_metadata_or_public_hull_baseline,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,36802,0,False,True,MP_source_native_public_hull_rank,scored,baseline,True,,0,not_applicable
MatterGen_alex_mp20_source_native_public_hull_rank,public_hull_oracle,sourceaware_row_metadata_or_public_hull_baseline,reported_by_source_or_not_applicable_for_baseline,standardized_higher_more_stable,descending_higher_score_first,varies_by_source_standardized_in_pipeline,higher_score_more_likely_stable,36802,0,False,True,MatterGen_alex_mp20_source_native_public_hull_rank,scored,baseline,True,,0,not_applicable
