evaluation_scope,model_name,K,K_effective,stable_n,stable_yield_at_k,recall_at_k,DAF_at_k,source_label_field,guardrail
external_wbm_native_context_only,MEGNet,1000,1000,339,0.339,0.007915936952714536,2.0341029071803853,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet,5000,5000,1544,0.3088,0.036053706946876825,1.852893739638062,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet,10000,10000,2355,0.2355,0.05499124343257443,1.4130714886164624,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet-RS2RE,100,100,44,0.44,0.0010274372446001168,2.6400308231173377,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet-RS2RE,300,300,95,0.31666666666666665,0.002218330414477525,1.9000221833041446,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet-RS2RE,500,500,159,0.318,0.003712784588441331,1.9080222767075306,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet-RS2RE,1000,1000,326,0.326,0.007612375948628138,1.9560228371278459,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet-RS2RE,5000,5000,1491,0.2982,0.034816112084063044,1.7892208896672506,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,MEGNet-RS2RE,10000,10000,2328,0.2328,0.05436077057793345,1.3968163082311733,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,Voronoi RF,100,100,37,0.37,0.0008640014944890715,2.22001728002989,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,Voronoi RF,300,300,91,0.30333333333333334,0.002124976648608257,1.8200141665109908,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,Voronoi RF,500,500,143,0.286,0.0033392490192415466,1.7160133569960767,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,Voronoi RF,1000,1000,287,0.287,0.006701849430226042,1.7220134036988604,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,Voronoi RF,5000,5000,1188,0.2376,0.027741453390622083,1.4256110965813562,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,Voronoi RF,10000,10000,2002,0.2002,0.046749486269381656,1.2012093498972538,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,eSEN-30M-MP,100,100,38,0.38,0.0008873321657910099,2.280115353181553,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,eSEN-30M-MP,300,300,90,0.3,0.0021015761821366026,1.800091068301226,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,eSEN-30M-MP,500,500,162,0.324,0.0037828371278458843,1.944098353765324,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,eSEN-30M-MP,1000,1000,310,0.31,0.007238762405137186,1.8600941039112668,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,eSEN-30M-MP,5000,5000,1368,0.2736,0.03194395796847636,1.6416830542907181,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
external_wbm_native_context_only,eSEN-30M-MP,10000,10000,2228,0.2228,0.052025685931115,1.3368676333917104,e_above_hull_mp2020_corrected_ppd_mp<=0,WBM-native contextual evaluation only; WBM IDs are not exact SourceAware row IDs and these metrics are not SourceAware label-view evidence.
