model_name,endpoint,support_n,positive_n,positive_rate,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
MACE-MP,mp_native,36650,15001,0.4093042291950887,100,1.876758063281,99,51,1,1,1,52.0,0.52,52,52,0.52,0.52,52,52,0.52,0.52,0.95,12
MACE-MP,mp_native,36650,15001,0.4093042291950887,300,0.919641256332,299,197,1,0,1,197.0,0.6566666666666666,197,197,0.6566666666666666,0.6566666666666666,197,197,0.6566666666666666,0.6566666666666666,0.95,12
MACE-MP,mp_native,36650,15001,0.4093042291950887,500,0.559423685074,499,341,1,0,1,341.0,0.682,341,341,0.682,0.682,341,341,0.682,0.682,0.95,12
MACE-MP,mp_native,36650,15001,0.4093042291950887,1000,0.299654878889,999,735,1,0,1,735.0,0.735,735,735,0.735,0.735,735,735,0.735,0.735,0.95,12
MACE-MP,mp_native,36650,15001,0.4093042291950887,5000,0.098865085178,4999,4022,1,1,1,4023.0,0.8046,4023,4023,0.8046,0.8046,4023,4023,0.8046,0.8046,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,100,1.876758063281,99,57,1,1,1,58.0,0.58,58,58,0.58,0.58,58,58,0.58,0.58,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,300,0.919641256332,299,185,1,0,1,185.0,0.6166666666666667,185,185,0.6166666666666667,0.6166666666666667,185,185,0.6166666666666667,0.6166666666666667,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,500,0.559423685074,499,308,1,0,1,308.0,0.616,308,308,0.616,0.616,308,308,0.616,0.616,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,1000,0.299654878889,999,647,1,0,1,647.0,0.647,647,647,0.647,0.647,647,647,0.647,0.647,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,5000,0.098865085178,4999,3647,1,0,1,3647.0,0.7294,3647,3647,0.7294,0.7294,3647,3647,0.7294,0.7294,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,100,1.876758063281,99,39,1,0,1,39.0,0.39,39,39,0.39,0.39,39,39,0.39,0.39,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,300,0.919641256332,299,151,1,0,1,151.0,0.5033333333333333,151,151,0.5033333333333333,0.5033333333333333,151,151,0.5033333333333333,0.5033333333333333,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,500,0.559423685074,499,272,1,1,1,273.0,0.546,273,273,0.546,0.546,273,273,0.546,0.546,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,1000,0.299654878889,999,581,1,0,1,581.0,0.581,581,581,0.581,0.581,581,581,0.581,0.581,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,5000,0.098865085178,4999,3428,1,0,1,3428.0,0.6856,3428,3428,0.6856,0.6856,3428,3428,0.6856,0.6856,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,100,1.876758063281,99,86,1,1,1,87.0,0.87,87,87,0.87,0.87,87,87,0.87,0.87,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,300,0.919641256332,299,282,1,1,1,283.0,0.9433333333333334,283,283,0.9433333333333334,0.9433333333333334,283,283,0.9433333333333334,0.9433333333333334,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,500,0.559423685074,499,473,1,0,1,473.0,0.946,473,473,0.946,0.946,473,473,0.946,0.946,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,1000,0.299654878889,999,952,1,1,1,953.0,0.953,953,953,0.953,0.953,953,953,0.953,0.953,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,5000,0.098865085178,4999,4746,1,0,1,4746.0,0.9492,4746,4746,0.9492,0.9492,4746,4746,0.9492,0.9492,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,100,1.876758063281,99,90,1,1,1,91.0,0.91,91,91,0.91,0.91,91,91,0.91,0.91,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,300,0.919641256332,299,289,1,1,1,290.0,0.9666666666666667,290,290,0.9666666666666667,0.9666666666666667,290,290,0.9666666666666667,0.9666666666666667,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,500,0.559423685074,499,488,1,1,1,489.0,0.978,489,489,0.978,0.978,489,489,0.978,0.978,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,1000,0.299654878889,999,980,1,1,1,981.0,0.981,981,981,0.981,0.981,981,981,0.981,0.981,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,5000,0.098865085178,4999,4947,1,1,1,4948.0,0.9896,4948,4948,0.9896,0.9896,4948,4948,0.9896,0.9896,0.95,12
