model_name,endpoint,support_n,positive_n,positive_rate,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
M3GNet,mp_native,36650,15001,0.4093042291950887,100,1.828029870987,99,52,1,1,1,53.0,0.53,53,53,0.53,0.53,53,53,0.53,0.53,0.95,12
M3GNet,mp_native,36650,15001,0.4093042291950887,300,0.985832023621,299,196,1,1,1,197.0,0.6566666666666666,197,197,0.6566666666666666,0.6566666666666666,197,197,0.6566666666666666,0.6566666666666666,0.95,12
M3GNet,mp_native,36650,15001,0.4093042291950887,500,0.58789370954,499,340,1,0,1,340.0,0.68,340,340,0.68,0.68,340,340,0.68,0.68,0.95,12
M3GNet,mp_native,36650,15001,0.4093042291950887,1000,0.324778318405,999,735,1,1,1,736.0,0.736,736,736,0.736,0.736,736,736,0.736,0.736,0.95,12
M3GNet,mp_native,36650,15001,0.4093042291950887,5000,0.103857159615,4999,3925,1,1,1,3926.0,0.7852,3926,3926,0.7852,0.7852,3926,3926,0.7852,0.7852,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,100,1.828029870987,99,58,1,1,1,59.0,0.59,59,59,0.59,0.59,59,59,0.59,0.59,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,300,0.985832023621,299,185,1,1,1,186.0,0.62,186,186,0.62,0.62,186,186,0.62,0.62,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,500,0.58789370954,499,310,1,0,1,310.0,0.62,310,310,0.62,0.62,310,310,0.62,0.62,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,1000,0.324778318405,999,657,1,1,1,658.0,0.658,658,658,0.658,0.658,658,658,0.658,0.658,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,5000,0.103857159615,4999,3502,1,1,1,3503.0,0.7006,3503,3503,0.7006,0.7006,3503,3503,0.7006,0.7006,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,100,1.828029870987,99,41,1,1,1,42.0,0.42,42,42,0.42,0.42,42,42,0.42,0.42,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,300,0.985832023621,299,154,1,1,1,155.0,0.5166666666666667,155,155,0.5166666666666667,0.5166666666666667,155,155,0.5166666666666667,0.5166666666666667,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,500,0.58789370954,499,275,1,0,1,275.0,0.55,275,275,0.55,0.55,275,275,0.55,0.55,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,1000,0.324778318405,999,588,1,1,1,589.0,0.589,589,589,0.589,0.589,589,589,0.589,0.589,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,5000,0.103857159615,4999,3315,1,1,1,3316.0,0.6632,3316,3316,0.6632,0.6632,3316,3316,0.6632,0.6632,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,100,1.828029870987,99,86,1,1,1,87.0,0.87,87,87,0.87,0.87,87,87,0.87,0.87,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,300,0.985832023621,299,281,1,1,1,282.0,0.94,282,282,0.94,0.94,282,282,0.94,0.94,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,500,0.58789370954,499,471,1,1,1,472.0,0.944,472,472,0.944,0.944,472,472,0.944,0.944,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,1000,0.324778318405,999,957,1,1,1,958.0,0.958,958,958,0.958,0.958,958,958,0.958,0.958,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,5000,0.103857159615,4999,4634,1,1,1,4635.0,0.927,4635,4635,0.927,0.927,4635,4635,0.927,0.927,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,100,1.828029870987,99,90,1,1,1,91.0,0.91,91,91,0.91,0.91,91,91,0.91,0.91,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,300,0.985832023621,299,289,1,1,1,290.0,0.9666666666666667,290,290,0.9666666666666667,0.9666666666666667,290,290,0.9666666666666667,0.9666666666666667,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,500,0.58789370954,499,487,1,1,1,488.0,0.976,488,488,0.976,0.976,488,488,0.976,0.976,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,1000,0.324778318405,999,985,1,1,1,986.0,0.986,986,986,0.986,0.986,986,986,0.986,0.986,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,5000,0.103857159615,4999,4883,1,1,1,4884.0,0.9768,4884,4884,0.9768,0.9768,4884,4884,0.9768,0.9768,0.95,12
