model_name,coordinate_endpoint,endpoint_label,K,support_n,positive_n,expected_stable_hits,stable_yield,recall,boundary_tie_n,ranking_estimand,tie_policy
ALIGNN-FF,official__mp_source_coordinate,MP native,100,36650,15001,65.0,0.65,0.00433304446370242,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__mp_source_coordinate,MP native,300,36650,15001,204.0,0.68,0.013599093393773748,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__mp_source_coordinate,MP native,500,36650,15001,353.0,0.706,0.023531764549030065,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__mp_source_coordinate,MP native,1000,36650,15001,710.0,0.71,0.047330177988134124,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__mp_source_coordinate,MP native,5000,36650,15001,3467.0,0.6934,0.23111792547163523,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__mp_source_coordinate,MP native,10000,36650,15001,6514.0,0.6514,0.43423771748550094,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alexmp20_source_coordinate,alex-mp-20 native,100,36650,13266,71.0,0.71,0.0053520277400874415,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alexmp20_source_coordinate,alex-mp-20 native,300,36650,13266,188.0,0.6266666666666667,0.01417156641037238,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alexmp20_source_coordinate,alex-mp-20 native,500,36650,13266,320.0,0.64,0.024121815166591287,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alexmp20_source_coordinate,alex-mp-20 native,1000,36650,13266,615.0,0.615,0.046359113523292625,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alexmp20_source_coordinate,alex-mp-20 native,5000,36650,13266,3016.0,0.6032,0.22734810794512286,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alexmp20_source_coordinate,alex-mp-20 native,10000,36650,13266,5724.0,0.5724,0.4314789687924016,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alex_pbe_source_coordinate,Alexandria-PBE native,100,36650,12148,43.0,0.43,0.003539677313137965,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alex_pbe_source_coordinate,Alexandria-PBE native,300,36650,12148,154.0,0.5133333333333333,0.012676983865656898,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alex_pbe_source_coordinate,Alexandria-PBE native,500,36650,12148,278.0,0.556,0.022884425419822194,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alex_pbe_source_coordinate,Alexandria-PBE native,1000,36650,12148,554.0,0.554,0.045604214685544944,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alex_pbe_source_coordinate,Alexandria-PBE native,5000,36650,12148,2788.0,0.5576,0.22950279881461969,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
ALIGNN-FF,official__alex_pbe_source_coordinate,Alexandria-PBE native,10000,36650,12148,5325.0,0.5325,0.43834376028975963,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__mp_source_coordinate,MP native,100,36650,15001,64.0,0.64,0.004266382241183921,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__mp_source_coordinate,MP native,300,36650,15001,204.0,0.68,0.013599093393773748,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__mp_source_coordinate,MP native,500,36650,15001,353.0,0.706,0.023531764549030065,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
CHGNet,official__mp_source_coordinate,MP native,1000,36650,15001,729.0,0.729,0.0485967602159856,1,equivalence-class-excluded batch-relative transductive signed reference-hull margin,analytic expectation within rounded-12-decimal score ties
