model_name,K,row_n,unique_score_n,rows_in_non_singleton_ties_n,largest_tie_block_n,maximum_score_tie_block_n,boundary_score,strictly_before_boundary_n,boundary_tie_n,selected_from_boundary_n,tie_decimals
ALIGNN-FF,100,31872,16162,15734,15688,15688,-0.0,0,15688,100,12
ALIGNN-FF,300,31872,16162,15734,15688,15688,-0.0,0,15688,300,12
ALIGNN-FF,500,31872,16162,15734,15688,15688,-0.0,0,15688,500,12
ALIGNN-FF,1000,31872,16162,15734,15688,15688,-0.0,0,15688,1000,12
ALIGNN-FF,5000,31872,16162,15734,15688,15688,-0.0,0,15688,5000,12
CHGNet,100,31872,12548,19457,19190,19190,-0.0,0,19190,100,12
CHGNet,300,31872,12548,19457,19190,19190,-0.0,0,19190,300,12
CHGNet,500,31872,12548,19457,19190,19190,-0.0,0,19190,500,12
CHGNet,1000,31872,12548,19457,19190,19190,-0.0,0,19190,1000,12
CHGNet,5000,31872,12548,19457,19190,19190,-0.0,0,19190,5000,12
M3GNet,100,31872,14633,17299,17178,17178,-0.0,0,17178,100,12
M3GNet,300,31872,14633,17299,17178,17178,-0.0,0,17178,300,12
M3GNet,500,31872,14633,17299,17178,17178,-0.0,0,17178,500,12
M3GNet,1000,31872,14633,17299,17178,17178,-0.0,0,17178,1000,12
M3GNet,5000,31872,14633,17299,17178,17178,-0.0,0,17178,5000,12
MACE-MP,100,31872,14458,17464,17364,17364,-0.0,0,17364,100,12
MACE-MP,300,31872,14458,17464,17364,17364,-0.0,0,17364,300,12
MACE-MP,500,31872,14458,17464,17364,17364,-0.0,0,17364,500,12
MACE-MP,1000,31872,14458,17464,17364,17364,-0.0,0,17364,1000,12
MACE-MP,5000,31872,14458,17464,17364,17364,-0.0,0,17364,5000,12
