model_name,endpoint,support_n,positive_n,positive_rate,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
CHGNet,mp_native,36650,15001,0.4093042291950887,100,1.951856791973,99,63,1,1,1,64.0,0.64,64,64,0.64,0.64,64,64,0.64,0.64,0.95,12
CHGNet,mp_native,36650,15001,0.4093042291950887,300,0.999785372189,299,203,1,1,1,204.0,0.68,204,204,0.68,0.68,204,204,0.68,0.68,0.95,12
CHGNet,mp_native,36650,15001,0.4093042291950887,500,0.634941526822,499,352,1,1,1,353.0,0.706,353,353,0.706,0.706,353,353,0.706,0.706,0.95,12
CHGNet,mp_native,36650,15001,0.4093042291950887,1000,0.328830438502,999,729,1,0,1,729.0,0.729,729,729,0.729,0.729,729,729,0.729,0.729,0.95,12
CHGNet,mp_native,36650,15001,0.4093042291950887,5000,0.104039101374,4999,3968,1,1,1,3969.0,0.7938,3969,3969,0.7938,0.7938,3969,3969,0.7938,0.7938,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,100,1.951856791973,99,68,1,1,1,69.0,0.69,69,69,0.69,0.69,69,69,0.69,0.69,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,300,0.999785372189,299,187,1,0,1,187.0,0.6233333333333333,187,187,0.6233333333333333,0.6233333333333333,187,187,0.6233333333333333,0.6233333333333333,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,500,0.634941526822,499,314,1,0,1,314.0,0.628,314,314,0.628,0.628,314,314,0.628,0.628,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,1000,0.328830438502,999,645,1,0,1,645.0,0.645,645,645,0.645,0.645,645,645,0.645,0.645,0.95,12
CHGNet,alexmp20_native,36650,13266,0.36196452933151435,5000,0.104039101374,4999,3540,1,1,1,3541.0,0.7082,3541,3541,0.7082,0.7082,3541,3541,0.7082,0.7082,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,100,1.951856791973,99,44,1,1,1,45.0,0.45,45,45,0.45,0.45,45,45,0.45,0.45,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,300,0.999785372189,299,152,1,0,1,152.0,0.5066666666666667,152,152,0.5066666666666667,0.5066666666666667,152,152,0.5066666666666667,0.5066666666666667,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,500,0.634941526822,499,277,1,0,1,277.0,0.554,277,277,0.554,0.554,277,277,0.554,0.554,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,1000,0.328830438502,999,575,1,1,1,576.0,0.576,576,576,0.576,0.576,576,576,0.576,0.576,0.95,12
CHGNet,alex_pbe_native,36650,12148,0.3314597544338336,5000,0.104039101374,4999,3316,1,1,1,3317.0,0.6634,3317,3317,0.6634,0.6634,3317,3317,0.6634,0.6634,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,100,1.951856791973,99,96,1,1,1,97.0,0.97,97,97,0.97,0.97,97,97,0.97,0.97,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,300,0.999785372189,299,292,1,1,1,293.0,0.9766666666666667,293,293,0.9766666666666667,0.9766666666666667,293,293,0.9766666666666667,0.9766666666666667,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,500,0.634941526822,499,481,1,1,1,482.0,0.964,482,482,0.964,0.964,482,482,0.964,0.964,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,1000,0.328830438502,999,969,1,1,1,970.0,0.97,970,970,0.97,0.97,970,970,0.97,0.97,0.95,12
CHGNet,mp_common_pool,36650,17844,0.48687585266030015,5000,0.104039101374,4999,4755,1,1,1,4756.0,0.9512,4756,4756,0.9512,0.9512,4756,4756,0.9512,0.9512,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,100,1.951856791973,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,300,0.999785372189,299,299,1,1,1,300.0,1.0,300,300,1.0,1.0,300,300,1.0,1.0,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,500,0.634941526822,499,499,1,1,1,500.0,1.0,500,500,1.0,1.0,500,500,1.0,1.0,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,1000,0.328830438502,999,999,1,1,1,1000.0,1.0,1000,1000,1.0,1.0,1000,1000,1.0,1.0,0.95,12
CHGNet,alex_pbe_common_pool,36650,19985,0.545293315143247,5000,0.104039101374,4999,4952,1,1,1,4953.0,0.9906,4953,4953,0.9906,0.9906,4953,4953,0.9906,0.9906,0.95,12
