model_name,metric,label_view_band,median_between_model_margin,ci_low_95,ci_high_95,uncertainty_dominance_ratio,ratio_ci_low_95,ratio_ci_high_95
ALIGNN-FF,auprc,0.2855430307990127,0.1258233314983048,0.2788164349296794,0.2921764641302102,2.2693965212871494,2.2159358809652554,2.3221167382151746
ALIGNN-FF,auroc,0.0561063624654348,0.1449681770344267,0.0511530033327646,0.0616307194161114,0.3870253707619625,0.35285677435687773,0.4251327475924284
ALIGNN-FF,f1_fixed_threshold,0.138337274776309,0.1053729786124152,0.1432446605150931,0.155468267027603,1.3128344343870517,1.359406010927889,1.4754092469896785
ALIGNN-FF,stable_yield_at_1000,0.195,0.1109999999999999,0.2729999999999999,0.3299999999999999,1.7567567567567584,2.459459459459461,2.9729729729729746
CHGNet,auprc,0.3293005126180496,0.1258233314983048,0.3226196905143935,0.3356568325852493,2.6171657410174856,2.5640688946369226,2.667683557478937
CHGNet,auroc,0.103351108794815,0.1449681770344267,0.0995914118186045,0.1069375426624179,0.7129227317956233,0.6869880952904152,0.7376621880057347
CHGNet,f1_fixed_threshold,0.1681709854049147,0.1053729786124152,0.1638410130879289,0.1764167980482307,1.5959593020852556,1.5548674360869297,1.674212880487418
CHGNet,stable_yield_at_1000,0.2339999999999999,0.1109999999999999,0.304975,0.365,2.1081081081081092,2.747522522522525,3.288288288288291
M3GNet,auprc,0.3283127192387027,0.1258233314983048,0.3210597204902378,0.3353443982178045,2.6093151034005646,2.551670796402044,2.6652004379833367
M3GNet,auroc,0.0954894350816502,0.1449681770344267,0.0911197406748234,0.0996726771869116,0.6586923905304651,0.6285499517123989,0.6875486691347549
M3GNet,f1_fixed_threshold,0.1605459109134325,0.1053729786124152,0.1637758103232523,0.1766196867496177,1.523596590203219,1.5542486553944297,1.6761383143515705
M3GNet,stable_yield_at_1000,0.2229999999999999,0.1109999999999999,0.309,0.3699999999999999,2.00900900900901,2.783783783783786,3.3333333333333353
MACE-MP,auprc,0.3536416824191558,0.1258233314983048,0.3463619019458816,0.3604747598042215,2.8106208777655866,2.7527637189494394,2.864927796074754
MACE-MP,auroc,0.1116756506391813,0.1449681770344267,0.1068422983476619,0.1159832263694516,0.770345967809617,0.7370051864712989,0.8000599079197098
MACE-MP,f1_fixed_threshold,0.165409463997774,0.1053729786124152,0.1718298209089147,0.1842615070144025,1.5697521905135292,1.6306820132791564,1.748659945280246
MACE-MP,stable_yield_at_1000,0.236,0.1109999999999999,0.3299999999999999,0.391,2.126126126126128,2.9729729729729746,3.5225225225225256
