label_view,metric,model_name,point_estimate_winner,winner_probability,bootstrap_replicates,cluster
mp_native,f1_fixed_threshold,ALIGNN-FF,False,0.0,1000,chemical_system
mp_native,f1_fixed_threshold,CHGNet,False,0.0,1000,chemical_system
mp_native,f1_fixed_threshold,M3GNet,False,0.0,1000,chemical_system
mp_native,f1_fixed_threshold,MACE-MP,True,1.0,1000,chemical_system
mp_native,auroc,ALIGNN-FF,False,0.0,1000,chemical_system
mp_native,auroc,CHGNet,False,0.0,1000,chemical_system
mp_native,auroc,M3GNet,False,0.0,1000,chemical_system
mp_native,auroc,MACE-MP,True,1.0,1000,chemical_system
mp_native,auprc,ALIGNN-FF,False,0.0,1000,chemical_system
mp_native,auprc,CHGNet,False,0.0,1000,chemical_system
mp_native,auprc,M3GNet,False,0.0,1000,chemical_system
mp_native,auprc,MACE-MP,True,1.0,1000,chemical_system
mp_native,ap_lift,ALIGNN-FF,False,0.0,1000,chemical_system
mp_native,ap_lift,CHGNet,False,0.0,1000,chemical_system
mp_native,ap_lift,M3GNet,False,0.0,1000,chemical_system
mp_native,ap_lift,MACE-MP,True,1.0,1000,chemical_system
mp_native,stable_yield_at_1000,ALIGNN-FF,False,0.0,1000,chemical_system
mp_native,stable_yield_at_1000,CHGNet,False,0.0,1000,chemical_system
mp_native,stable_yield_at_1000,M3GNet,False,0.0,1000,chemical_system
mp_native,stable_yield_at_1000,MACE-MP,True,1.0,1000,chemical_system
alexmp20_native,f1_fixed_threshold,ALIGNN-FF,False,0.0,1000,chemical_system
alexmp20_native,f1_fixed_threshold,CHGNet,False,0.0,1000,chemical_system
alexmp20_native,f1_fixed_threshold,M3GNet,False,0.0,1000,chemical_system
alexmp20_native,f1_fixed_threshold,MACE-MP,True,1.0,1000,chemical_system
alexmp20_native,auroc,ALIGNN-FF,False,0.0,1000,chemical_system
alexmp20_native,auroc,CHGNet,False,0.0,1000,chemical_system
alexmp20_native,auroc,M3GNet,False,0.0,1000,chemical_system
alexmp20_native,auroc,MACE-MP,True,1.0,1000,chemical_system
alexmp20_native,auprc,ALIGNN-FF,False,0.0,1000,chemical_system
alexmp20_native,auprc,CHGNet,False,0.0,1000,chemical_system
alexmp20_native,auprc,M3GNet,False,0.0,1000,chemical_system
alexmp20_native,auprc,MACE-MP,True,1.0,1000,chemical_system
alexmp20_native,ap_lift,ALIGNN-FF,False,0.0,1000,chemical_system
alexmp20_native,ap_lift,CHGNet,False,0.0,1000,chemical_system
alexmp20_native,ap_lift,M3GNet,False,0.0,1000,chemical_system
alexmp20_native,ap_lift,MACE-MP,True,1.0,1000,chemical_system
alexmp20_native,stable_yield_at_1000,ALIGNN-FF,False,0.0,1000,chemical_system
