model_name,endpoint,support_n,positive_n,positive_rate,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
MACE-MP,mp_native,36650,15001,0.4093042291950887,100,1.754118760427,99,65,1,1,1,66.0,0.66,66,66,0.66,0.66,66,66,0.66,0.66,0.95,12
MACE-MP,mp_native,36650,15001,0.4093042291950887,300,0.874098658562,299,204,1,1,1,205.0,0.6833333333333333,205,205,0.6833333333333333,0.6833333333333333,205,205,0.6833333333333333,0.6833333333333333,0.95,12
MACE-MP,mp_native,36650,15001,0.4093042291950887,500,0.53250863817,499,355,1,1,1,356.0,0.712,356,356,0.712,0.712,356,356,0.712,0.712,0.95,12
MACE-MP,mp_native,36650,15001,0.4093042291950887,1000,0.293626475334,999,758,1,1,1,759.0,0.759,759,759,0.759,0.759,759,759,0.759,0.759,0.95,12
MACE-MP,mp_native,36650,15001,0.4093042291950887,5000,0.097941322327,4999,4053,1,1,1,4054.0,0.8108,4054,4054,0.8108,0.8108,4054,4054,0.8108,0.8108,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,100,1.754118760427,99,70,1,1,1,71.0,0.71,71,71,0.71,0.71,71,71,0.71,0.71,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,300,0.874098658562,299,188,1,0,1,188.0,0.6266666666666667,188,188,0.6266666666666667,0.6266666666666667,188,188,0.6266666666666667,0.6266666666666667,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,500,0.53250863817,499,320,1,1,1,321.0,0.642,321,321,0.642,0.642,321,321,0.642,0.642,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,1000,0.293626475334,999,666,1,1,1,667.0,0.667,667,667,0.667,0.667,667,667,0.667,0.667,0.95,12
MACE-MP,alexmp20_native,36650,13266,0.36196452933151435,5000,0.097941322327,4999,3669,1,1,1,3670.0,0.734,3670,3670,0.734,0.734,3670,3670,0.734,0.734,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,100,1.754118760427,99,45,1,1,1,46.0,0.46,46,46,0.46,0.46,46,46,0.46,0.46,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,300,0.874098658562,299,152,1,1,1,153.0,0.51,153,153,0.51,0.51,153,153,0.51,0.51,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,500,0.53250863817,499,281,1,1,1,282.0,0.564,282,282,0.564,0.564,282,282,0.564,0.564,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,1000,0.293626475334,999,597,1,1,1,598.0,0.598,598,598,0.598,0.598,598,598,0.598,0.598,0.95,12
MACE-MP,alex_pbe_native,36650,12148,0.3314597544338336,5000,0.097941322327,4999,3452,1,1,1,3453.0,0.6906,3453,3453,0.6906,0.6906,3453,3453,0.6906,0.6906,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,100,1.754118760427,99,96,1,1,1,97.0,0.97,97,97,0.97,0.97,97,97,0.97,0.97,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,300,0.874098658562,299,292,1,1,1,293.0,0.9766666666666667,293,293,0.9766666666666667,0.9766666666666667,293,293,0.9766666666666667,0.9766666666666667,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,500,0.53250863817,499,485,1,1,1,486.0,0.972,486,486,0.972,0.972,486,486,0.972,0.972,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,1000,0.293626475334,999,969,1,1,1,970.0,0.97,970,970,0.97,0.97,970,970,0.97,0.97,0.95,12
MACE-MP,mp_common_pool,36650,17844,0.48687585266030015,5000,0.097941322327,4999,4767,1,1,1,4768.0,0.9536,4768,4768,0.9536,0.9536,4768,4768,0.9536,0.9536,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,100,1.754118760427,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,300,0.874098658562,299,299,1,1,1,300.0,1.0,300,300,1.0,1.0,300,300,1.0,1.0,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,500,0.53250863817,499,499,1,1,1,500.0,1.0,500,500,1.0,1.0,500,500,1.0,1.0,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,1000,0.293626475334,999,995,1,1,1,996.0,0.996,996,996,0.996,0.996,996,996,0.996,0.996,0.95,12
MACE-MP,alex_pbe_common_pool,36650,19985,0.545293315143247,5000,0.097941322327,4999,4971,1,1,1,4972.0,0.9944,4972,4972,0.9944,0.9944,4972,4972,0.9944,0.9944,0.95,12
