model_name,endpoint,support_n,positive_n,positive_rate,K,boundary_score,strictly_before_boundary_n,strictly_before_boundary_positive_n,boundary_tie_n,boundary_tie_positive_n,selected_from_boundary_n,expected_stable_hits,expected_stable_yield,tie_interval_low_hits,tie_interval_high_hits,tie_interval_low_yield,tie_interval_high_yield,best_worst_low_hits,best_worst_high_hits,best_worst_low_yield,best_worst_high_yield,tie_interval_level,tie_decimals
M3GNet,mp_native,36650,15001,0.4093042291950887,100,1.754652756232,99,65,1,1,1,66.0,0.66,66,66,0.66,0.66,66,66,0.66,0.66,0.95,12
M3GNet,mp_native,36650,15001,0.4093042291950887,300,0.925812516894,299,211,1,1,1,212.0,0.7066666666666667,212,212,0.7066666666666667,0.7066666666666667,212,212,0.7066666666666667,0.7066666666666667,0.95,12
M3GNet,mp_native,36650,15001,0.4093042291950887,500,0.568228340149,499,354,1,1,1,355.0,0.71,355,355,0.71,0.71,355,355,0.71,0.71,0.95,12
M3GNet,mp_native,36650,15001,0.4093042291950887,1000,0.320195028517,999,753,1,1,1,754.0,0.754,754,754,0.754,0.754,754,754,0.754,0.754,0.95,12
M3GNet,mp_native,36650,15001,0.4093042291950887,5000,0.103128194809,4999,3948,1,0,1,3948.0,0.7896,3948,3948,0.7896,0.7896,3948,3948,0.7896,0.7896,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,100,1.754652756232,99,70,1,1,1,71.0,0.71,71,71,0.71,0.71,71,71,0.71,0.71,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,300,0.925812516894,299,195,1,1,1,196.0,0.6533333333333333,196,196,0.6533333333333333,0.6533333333333333,196,196,0.6533333333333333,0.6533333333333333,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,500,0.568228340149,499,319,1,1,1,320.0,0.64,320,320,0.64,0.64,320,320,0.64,0.64,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,1000,0.320195028517,999,676,1,1,1,677.0,0.677,677,677,0.677,0.677,677,677,0.677,0.677,0.95,12
M3GNet,alexmp20_native,36650,13266,0.36196452933151435,5000,0.103128194809,4999,3523,1,0,1,3523.0,0.7046,3523,3523,0.7046,0.7046,3523,3523,0.7046,0.7046,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,100,1.754652756232,99,47,1,1,1,48.0,0.48,48,48,0.48,0.48,48,48,0.48,0.48,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,300,0.925812516894,299,161,1,1,1,162.0,0.54,162,162,0.54,0.54,162,162,0.54,0.54,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,500,0.568228340149,499,282,1,1,1,283.0,0.566,283,283,0.566,0.566,283,283,0.566,0.566,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,1000,0.320195028517,999,604,1,1,1,605.0,0.605,605,605,0.605,0.605,605,605,0.605,0.605,0.95,12
M3GNet,alex_pbe_native,36650,12148,0.3314597544338336,5000,0.103128194809,4999,3335,1,0,1,3335.0,0.667,3335,3335,0.667,0.667,3335,3335,0.667,0.667,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,100,1.754652756232,99,96,1,1,1,97.0,0.97,97,97,0.97,0.97,97,97,0.97,0.97,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,300,0.925812516894,299,293,1,1,1,294.0,0.98,294,294,0.98,0.98,294,294,0.98,0.98,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,500,0.568228340149,499,485,1,1,1,486.0,0.972,486,486,0.972,0.972,486,486,0.972,0.972,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,1000,0.320195028517,999,972,1,1,1,973.0,0.973,973,973,0.973,0.973,973,973,0.973,0.973,0.95,12
M3GNet,mp_common_pool,36650,17844,0.48687585266030015,5000,0.103128194809,4999,4656,1,1,1,4657.0,0.9314,4657,4657,0.9314,0.9314,4657,4657,0.9314,0.9314,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,100,1.754652756232,99,99,1,1,1,100.0,1.0,100,100,1.0,1.0,100,100,1.0,1.0,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,300,0.925812516894,299,299,1,1,1,300.0,1.0,300,300,1.0,1.0,300,300,1.0,1.0,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,500,0.568228340149,499,499,1,1,1,500.0,1.0,500,500,1.0,1.0,500,500,1.0,1.0,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,1000,0.320195028517,999,998,1,1,1,999.0,0.999,999,999,0.999,0.999,999,999,0.999,0.999,0.95,12
M3GNet,alex_pbe_common_pool,36650,19985,0.545293315143247,5000,0.103128194809,4999,4907,1,1,1,4908.0,0.9816,4908,4908,0.9816,0.9816,4908,4908,0.9816,0.9816,0.95,12
