reduced_formula,official_alexandria_formula_prefilter_candidates
Ag,22
Ag(Bi2S3)3,1
Ag(Mo3S4)2,1
Ag(Mo3Se4)2,1
Ag(OsO3)2,1
Ag(TeMo)6,1
Ag11Hg9,1
Ag2BiSbSe4,2
Ag2BiSbTe4,2
Ag2Br3,5
Ag2CO3,7
Ag2F,3
Ag2F3,6
Ag2GeO4,1
Ag2GePbS4,2
Ag2GeS3,2
Ag2GeSe3,2
Ag2H2IOF,1
Ag2H3IO6,1
Ag2Hg,18
Ag2Hg5,1
Ag2HgGeS4,4
Ag2HgI4,6
Ag2HgO2,4
Ag2HgS2,7
Ag2HgSI2,1
Ag2MoO4,2
Ag2O,7
Ag2O3,3
Ag2PbO2,5
Ag2PdCl4,4
Ag2PdO2,2
Ag2S,16
Ag2SO4,3
Ag2Se,37
Ag2SeO4,4
Ag2SnBiS4,2
Ag2SnBiSe4,2
Ag2SnHgS4,3
Ag2SnHgSe4,3
Ag2Te,44
Ag2TeO4,6
Ag2TeS3,3
Ag3(AsO4)2,1
Ag3(PO4)2,1
Ag3As,20
Ag3AsF12,1
Ag3AsO4,5
Ag3AsS3,4
Ag3AsS4,4
Ag3AsSe3,2
Ag3Au,21
Ag3AuS2,4
Ag3BO3,3
Ag3Ge,7
Ag3Hg,18
Ag3O,4
Ag3O4,1
Ag3P11,1
Ag3PO4,4
Ag3PS4,3
Ag3PSe4,2
Ag3Pd,18
Ag3SBr,9
Ag3SI,6
Ag3Sb,18
Ag3SbS3,4
Ag3Se,18
Ag3Sn,14
Ag4Hg4S4BrCl3,1
Ag4Sn2(HgSe3)3,1
Ag5(PbO3)2,1
Ag5Au3S4,2
Ag5P(S2Cl)2,1
Ag5SbS4,2
Ag6HgNO11,1
Ag6Mo2ClO7F3,1
Ag6SbAsS6,1
Ag6SnSb,2
Ag7NO11,2
Ag8GeTe6,6
Ag9Ge2IO8,1
AgAsBr4,2
AgAsF6,7
AgAsO2,9
AgAsO3,9
AgAsS,3
AgAsSe,12
AgAsSe2,24
AgAu,39
AgAu3,29
AgAuCl4,13
AgAuF4,15
AgAuO2,12
AgAuO3,5
AgBF5,3
AgBO3,4
AgBi(PS3)2,1
AgBi(PSe3)2,1
AgBi2F12,1
AgBi2S3Cl,1
AgBi3S5,1
AgBiI4,3
AgBiO2,10
AgBiO3,7
AgBiPbS3,2
AgBiPd2,5
AgBiS2,16
AgBiSCl2,3
AgBiSe2,12
AgBiTe2,11
AgBr,46
AgBrO3,5
AgBrO4,5
AgCO3,6
AgCl,47
AgClO3,8
AgClO4,6
AgF,48
AgF2,8
AgGeBiTe3,2
AgGeO3,6
AgH3BrN,1
AgH4WS4N,1
AgHg,31
AgHgAsO4,2
AgHgAsS3,1
AgHgO2,11
AgHgPd2,7
AgHgSBr,4
AgHgSI,4
AgI,40
AgIO3,8
AgIO4,3
AgMoH4S4N,1
AgNO2,7
AgNO3,8
AgO,14
AgO2F,6
AgP2,26
AgPF6,5
AgPO3,13
AgPPd5,2
AgPPt5,1
AgPS3,5
AgPb2Br5,2
AgPb3,19
AgPb4ClO4,1
AgPbF6,3
AgPbO2,9
AgPd,37
AgPd2Au,21
AgPdAu2,16
AgPdF6,10
AgPdO2,12
AgPt,51
AgPt3,19
AgPt4,9
AgPtF6,7
AgPtO2,12
AgRh(SO4)2,1
AgRhF6,12
AgRhO2,11
AgRuO3,5
AgRuO4,4
AgSO4,4
AgSb(PbS2)2,2
AgSb2F12,1
AgSbO3,8
AgSbPbS3,5
AgSbS2,12
AgSbSe2,21
AgSbTe2,27
AgSbWO7,1
AgSe5,7
AgSnF6,2
AgSnO3,4
AgSnS2,9
AgSnSe2,9
AgSnTe2,9
AgTe3,27
AgTeO3,7
Al,39
Al(Ag3S2)3,1
Al(CoSi)2,6
Al(CrB)2,2
Al(FeB)2,4
Al(FeO2)2,3
Al(HO)3,31
Al(MoS2)4,2
Al(Ni4Pt)3,1
Al(NiO2)2,4
Al(Si2O5)2,1
Al(V4Ge)3,1
Al(V4Si)3,1
Al(V4Sn)3,1
Al11Cr4,1
Al11Re4,1
Al12Fe7,1
Al12Mo,1
Al12Re,1
Al12W,1
Al13Os4,2
Al2(FeSi)3,3
Al2(ZnS2)3,3
Al2Au,21
Al2B2Ru3,1
Al2CO,6
Al2CdO4,4
Al2CdS4,5
Al2CdSe4,5
Al2CdTe4,3
Al2CoIr,17
Al2CoNi,12
Al2CoOs,16
Al2CoRu,11
Al2Cr3CuS8,1
Al2CrB2Mo,1
Al2CrFeCo4,1
Al2CrO5,2
Al2CrS4,4
Al2Cu,17
Al2CuIr,18
Al2CuO4,4
Al2CuPd,6
Al2Fe3Si4,1
Al2FeCo,14
Al2FeIr,13
Al2FeNi,13
Al2FeO4,5
Al2FeRh,13
Al2Ga(PO4)3,1
Al2GaN3,3
Al2HgO4,2
Al2HgS4,3
Al2HgSe4,4
Al2HgTe4,3
Al2InN3,2
Al2IrOs,19
Al2IrRh,13
Al2IrRu,19
Al2Ni3,5
Al2Ni9Pd,1
Al2NiO4,9
Al2NiOs,13
Al2NiPt,12
Al2NiRu,12
Al2O3,53
Al2Os,20
Al2OsRh,21
Al2PbO4,3
