sensitivity_rule,pair,n,conflict_n,conflict_fraction,evidence_scope
single_match_primary,MP-official Alexandria PBE,36802,5666,0.1539590239660888,multiple_match_tie_break_sensitivity_not_common_hull
single_match_primary,alex-mp-20-official Alexandria PBE,36802,3862,0.10493994891581979,multiple_match_tie_break_sensitivity_not_common_hull
single_match_primary,MP-alex-mp-20,36802,4244,0.1153198195750231,multiple_match_tie_break_sensitivity_not_common_hull
include_multiple_lowest_official_alexandria_ehull,MP-official Alexandria PBE,41760,7015,0.16798371647509577,multiple_match_tie_break_sensitivity_not_common_hull
include_multiple_lowest_official_alexandria_ehull,alex-mp-20-official Alexandria PBE,41760,5152,0.12337164750957855,multiple_match_tie_break_sensitivity_not_common_hull
include_multiple_lowest_official_alexandria_ehull,MP-alex-mp-20,41760,4995,0.11961206896551724,multiple_match_tie_break_sensitivity_not_common_hull
include_multiple_first_official_alexandria_identifier,MP-official Alexandria PBE,41760,7261,0.17387452107279694,multiple_match_tie_break_sensitivity_not_common_hull
include_multiple_first_official_alexandria_identifier,alex-mp-20-official Alexandria PBE,41760,5158,0.12351532567049808,multiple_match_tie_break_sensitivity_not_common_hull
include_multiple_first_official_alexandria_identifier,MP-alex-mp-20,41760,4995,0.11961206896551724,multiple_match_tie_break_sensitivity_not_common_hull
