source_file,snapshot,retrieval_date,records_total,records_with_data,records_with_denominator_formula,records_with_e_above_hull,records_with_formula,records_with_structure,usable_formula_prefilter_candidates,field_path,field_units,scope
alexandria_00000.json.bz2,2025.07.02,2026-07-05,100000,100000,3291,100000,100000,100000,3291,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00001.json.bz2,2025.07.02,2026-07-05,100000,100000,3272,100000,100000,100000,3272,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00002.json.bz2,2025.07.02,2026-07-05,100000,100000,3274,100000,100000,100000,3274,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00003.json.bz2,2025.07.02,2026-07-05,100000,100000,3251,100000,100000,100000,3251,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00004.json.bz2,2025.07.02,2026-07-05,100000,100000,3261,100000,100000,100000,3261,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00005.json.bz2,2025.07.02,2026-07-05,100000,100000,3185,100000,100000,100000,3185,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00006.json.bz2,2025.07.02,2026-07-05,100000,100000,3265,100000,100000,100000,3265,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00007.json.bz2,2025.07.02,2026-07-05,100000,100000,3268,100000,100000,100000,3268,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00008.json.bz2,2025.07.02,2026-07-05,100000,100000,3138,100000,100000,100000,3138,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00009.json.bz2,2025.07.02,2026-07-05,100000,100000,3308,100000,100000,100000,3308,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00010.json.bz2,2025.07.02,2026-07-05,100000,100000,3218,100000,100000,100000,3218,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00011.json.bz2,2025.07.02,2026-07-05,100000,100000,3246,100000,100000,100000,3246,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00012.json.bz2,2025.07.02,2026-07-05,100000,100000,3278,100000,100000,100000,3278,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00013.json.bz2,2025.07.02,2026-07-05,100000,100000,3256,100000,100000,100000,3256,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00014.json.bz2,2025.07.02,2026-07-05,100000,100000,3228,100000,100000,100000,3228,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00015.json.bz2,2025.07.02,2026-07-05,100000,100000,3284,100000,100000,100000,3284,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00016.json.bz2,2025.07.02,2026-07-05,100000,100000,3329,100000,100000,100000,3329,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00017.json.bz2,2025.07.02,2026-07-05,100000,100000,3177,100000,100000,100000,3177,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00018.json.bz2,2025.07.02,2026-07-05,100000,100000,3189,100000,100000,100000,3189,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00019.json.bz2,2025.07.02,2026-07-05,100000,100000,3282,100000,100000,100000,3282,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00020.json.bz2,2025.07.02,2026-07-05,100000,100000,3326,100000,100000,100000,3326,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00021.json.bz2,2025.07.02,2026-07-05,100000,100000,3260,100000,100000,100000,3260,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00022.json.bz2,2025.07.02,2026-07-05,100000,100000,3353,100000,100000,100000,3353,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00023.json.bz2,2025.07.02,2026-07-05,100000,100000,3265,100000,100000,100000,3265,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00024.json.bz2,2025.07.02,2026-07-05,100000,100000,3261,100000,100000,100000,3261,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00025.json.bz2,2025.07.02,2026-07-05,100000,100000,3265,100000,100000,100000,3265,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00026.json.bz2,2025.07.02,2026-07-05,100000,100000,3157,100000,100000,100000,3157,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
alexandria_00027.json.bz2,2025.07.02,2026-07-05,100000,100000,3217,100000,100000,100000,3217,entries[].data.e_above_hull,eV/atom,complete_PBE_3D_json_schema_audit
